m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,2102,562154.0,5,5,3,3,1,1,1,1,BenchmarkParseText
2,1980,565414.0,5,5,3,3,2,1,1,1,BenchmarkParseText
3,2082,564273.0,5,5,3,3,3,1,1,1,BenchmarkParseText
4,2035,565675.0,5,5,3,3,4,1,1,1,BenchmarkParseText
5,1946,564577.0,5,5,3,3,5,1,1,1,BenchmarkParseText
6,1995,562984.0,5,5,3,3,1,2,1,1,BenchmarkParseText
7,1920,567404.0,5,5,3,3,2,2,1,1,BenchmarkParseText
8,2120,563206.0,5,5,3,3,3,2,1,1,BenchmarkParseText
9,2007,563370.0,5,5,3,3,4,2,1,1,BenchmarkParseText
10,1977,567534.0,5,5,3,3,5,2,1,1,BenchmarkParseText
11,1956,566363.0,5,5,3,3,1,3,1,1,BenchmarkParseText
12,2046,563003.0,5,5,3,3,2,3,1,1,BenchmarkParseText
13,1909,568477.0,5,5,3,3,3,3,1,1,BenchmarkParseText
14,2034,567959.0,5,5,3,3,4,3,1,1,BenchmarkParseText
15,1988,566904.0,5,5,3,3,5,3,1,1,BenchmarkParseText
16,1988,563210.0,5,5,3,3,1,4,1,1,BenchmarkParseText
17,2085,567937.0,5,5,3,3,2,4,1,1,BenchmarkParseText
18,1930,568024.0,5,5,3,3,3,4,1,1,BenchmarkParseText
19,2008,570877.0,5,5,3,3,4,4,1,1,BenchmarkParseText
20,1930,567784.0,5,5,3,3,5,4,1,1,BenchmarkParseText
21,2020,567722.0,5,5,3,3,1,5,1,1,BenchmarkParseText
22,1945,569129.0,5,5,3,3,2,5,1,1,BenchmarkParseText
23,1969,564851.0,5,5,3,3,3,5,1,1,BenchmarkParseText
24,1956,571662.0,5,5,3,3,4,5,1,1,BenchmarkParseText
25,2056,562096.0,5,5,3,3,5,5,1,1,BenchmarkParseText
26,2020,559872.0,5,5,3,3,1,1,2,1,BenchmarkParseText
27,1954,564643.0,5,5,3,3,2,1,2,1,BenchmarkParseText
28,2074,562042.0,5,5,3,3,3,1,2,1,BenchmarkParseText
29,2060,565142.0,5,5,3,3,4,1,2,1,BenchmarkParseText
30,1990,563750.0,5,5,3,3,5,1,2,1,BenchmarkParseText
31,1939,563772.0,5,5,3,3,1,2,2,1,BenchmarkParseText
32,1989,564444.0,5,5,3,3,2,2,2,1,BenchmarkParseText
33,2101,562011.0,5,5,3,3,3,2,2,1,BenchmarkParseText
34,2008,564997.0,5,5,3,3,4,2,2,1,BenchmarkParseText
35,2007,566329.0,5,5,3,3,5,2,2,1,BenchmarkParseText
36,1957,561453.0,5,5,3,3,1,3,2,1,BenchmarkParseText
37,2014,560775.0,5,5,3,3,2,3,2,1,BenchmarkParseText
38,1938,567342.0,5,5,3,3,3,3,2,1,BenchmarkParseText
39,1780,562166.0,5,5,3,3,4,3,2,1,BenchmarkParseText
40,2028,560126.0,5,5,3,3,5,3,2,1,BenchmarkParseText
41,1914,569389.0,5,5,3,3,1,4,2,1,BenchmarkParseText
42,1998,564301.0,5,5,3,3,2,4,2,1,BenchmarkParseText
43,1947,567739.0,5,5,3,3,3,4,2,1,BenchmarkParseText
44,1959,564795.0,5,5,3,3,4,4,2,1,BenchmarkParseText
45,1994,564492.0,5,5,3,3,5,4,2,1,BenchmarkParseText
46,2019,566385.0,5,5,3,3,1,5,2,1,BenchmarkParseText
47,1990,564091.0,5,5,3,3,2,5,2,1,BenchmarkParseText
48,1968,565944.0,5,5,3,3,3,5,2,1,BenchmarkParseText
49,2065,571711.0,5,5,3,3,4,5,2,1,BenchmarkParseText
50,1909,565800.0,5,5,3,3,5,5,2,1,BenchmarkParseText
51,2036,563312.0,5,5,3,3,1,1,3,1,BenchmarkParseText
52,2026,564401.0,5,5,3,3,2,1,3,1,BenchmarkParseText
53,1964,567898.0,5,5,3,3,3,1,3,1,BenchmarkParseText
54,1935,562352.0,5,5,3,3,4,1,3,1,BenchmarkParseText
55,2059,564386.0,5,5,3,3,5,1,3,1,BenchmarkParseText
56,2031,562088.0,5,5,3,3,1,2,3,1,BenchmarkParseText
57,2028,562281.0,5,5,3,3,2,2,3,1,BenchmarkParseText
58,1930,565524.0,5,5,3,3,3,2,3,1,BenchmarkParseText
59,2077,558276.0,5,5,3,3,4,2,3,1,BenchmarkParseText
60,2040,563445.0,5,5,3,3,5,2,3,1,BenchmarkParseText
61,2024,563504.0,5,5,3,3,1,3,3,1,BenchmarkParseText
62,2049,561019.0,5,5,3,3,2,3,3,1,BenchmarkParseText
63,2028,563343.0,5,5,3,3,3,3,3,1,BenchmarkParseText
64,1954,568778.0,5,5,3,3,4,3,3,1,BenchmarkParseText
65,2036,561116.0,5,5,3,3,5,3,3,1,BenchmarkParseText
66,2025,565643.0,5,5,3,3,1,4,3,1,BenchmarkParseText
67,2011,564087.0,5,5,3,3,2,4,3,1,BenchmarkParseText
68,1993,568775.0,5,5,3,3,3,4,3,1,BenchmarkParseText
69,2054,563378.0,5,5,3,3,4,4,3,1,BenchmarkParseText
70,2025,562659.0,5,5,3,3,5,4,3,1,BenchmarkParseText
71,2012,560048.0,5,5,3,3,1,5,3,1,BenchmarkParseText
72,2034,563231.0,5,5,3,3,2,5,3,1,BenchmarkParseText
73,1887,567222.0,5,5,3,3,3,5,3,1,BenchmarkParseText
74,2098,560521.0,5,5,3,3,4,5,3,1,BenchmarkParseText
75,2017,564305.0,5,5,3,3,5,5,3,1,BenchmarkParseText
76,1857,642402.0,5,5,3,3,1,1,1,1,BenchmarkParseTextGzip
77,1666,645801.0,5,5,3,3,2,1,1,1,BenchmarkParseTextGzip
78,1802,639048.0,5,5,3,3,3,1,1,1,BenchmarkParseTextGzip
79,1762,645644.0,5,5,3,3,4,1,1,1,BenchmarkParseTextGzip
80,1785,644465.0,5,5,3,3,5,1,1,1,BenchmarkParseTextGzip
81,1736,639622.0,5,5,3,3,1,2,1,1,BenchmarkParseTextGzip
82,1750,644455.0,5,5,3,3,2,2,1,1,BenchmarkParseTextGzip
83,1754,641865.0,5,5,3,3,3,2,1,1,BenchmarkParseTextGzip
84,1683,648156.0,5,5,3,3,4,2,1,1,BenchmarkParseTextGzip
85,1822,642143.0,5,5,3,3,5,2,1,1,BenchmarkParseTextGzip
86,1786,639734.0,5,5,3,3,1,3,1,1,BenchmarkParseTextGzip
87,1812,637302.0,5,5,3,3,2,3,1,1,BenchmarkParseTextGzip
88,1774,638824.0,5,5,3,3,3,3,1,1,BenchmarkParseTextGzip
89,1846,640245.0,5,5,3,3,4,3,1,1,BenchmarkParseTextGzip
90,1738,644067.0,5,5,3,3,5,3,1,1,BenchmarkParseTextGzip
91,1836,641032.0,5,5,3,3,1,4,1,1,BenchmarkParseTextGzip
92,1746,639296.0,5,5,3,3,2,4,1,1,BenchmarkParseTextGzip
93,1791,644049.0,5,5,3,3,3,4,1,1,BenchmarkParseTextGzip
94,1755,643971.0,5,5,3,3,4,4,1,1,BenchmarkParseTextGzip
95,1764,645587.0,5,5,3,3,5,4,1,1,BenchmarkParseTextGzip
96,1742,640354.0,5,5,3,3,1,5,1,1,BenchmarkParseTextGzip
97,1765,640390.0,5,5,3,3,2,5,1,1,BenchmarkParseTextGzip
98,1854,642628.0,5,5,3,3,3,5,1,1,BenchmarkParseTextGzip
99,1831,642097.0,5,5,3,3,4,5,1,1,BenchmarkParseTextGzip
100,1864,634633.0,5,5,3,3,5,5,1,1,BenchmarkParseTextGzip
101,1789,637598.0,5,5,3,3,1,1,2,1,BenchmarkParseTextGzip
102,1804,644448.0,5,5,3,3,2,1,2,1,BenchmarkParseTextGzip
103,1768,645001.0,5,5,3,3,3,1,2,1,BenchmarkParseTextGzip
104,1837,644026.0,5,5,3,3,4,1,2,1,BenchmarkParseTextGzip
105,1803,640980.0,5,5,3,3,5,1,2,1,BenchmarkParseTextGzip
106,1855,634208.0,5,5,3,3,1,2,2,1,BenchmarkParseTextGzip
107,1854,632263.0,5,5,3,3,2,2,2,1,BenchmarkParseTextGzip
108,1776,640481.0,5,5,3,3,3,2,2,1,BenchmarkParseTextGzip
109,1813,638564.0,5,5,3,3,4,2,2,1,BenchmarkParseTextGzip
110,1748,637959.0,5,5,3,3,5,2,2,1,BenchmarkParseTextGzip
111,1759,637732.0,5,5,3,3,1,3,2,1,BenchmarkParseTextGzip
112,1803,637965.0,5,5,3,3,2,3,2,1,BenchmarkParseTextGzip
113,1789,640914.0,5,5,3,3,3,3,2,1,BenchmarkParseTextGzip
114,1713,641322.0,5,5,3,3,4,3,2,1,BenchmarkParseTextGzip
115,1773,644375.0,5,5,3,3,5,3,2,1,BenchmarkParseTextGzip
116,1770,637849.0,5,5,3,3,1,4,2,1,BenchmarkParseTextGzip
117,1746,638115.0,5,5,3,3,2,4,2,1,BenchmarkParseTextGzip
118,1802,636446.0,5,5,3,3,3,4,2,1,BenchmarkParseTextGzip
119,1840,643288.0,5,5,3,3,4,4,2,1,BenchmarkParseTextGzip
120,1802,632440.0,5,5,3,3,5,4,2,1,BenchmarkParseTextGzip
121,1764,640776.0,5,5,3,3,1,5,2,1,BenchmarkParseTextGzip
122,1812,640305.0,5,5,3,3,2,5,2,1,BenchmarkParseTextGzip
123,1729,646739.0,5,5,3,3,3,5,2,1,BenchmarkParseTextGzip
124,1768,642414.0,5,5,3,3,4,5,2,1,BenchmarkParseTextGzip
125,1752,644340.0,5,5,3,3,5,5,2,1,BenchmarkParseTextGzip
126,1804,645946.0,5,5,3,3,1,1,3,1,BenchmarkParseTextGzip
127,1694,640496.0,5,5,3,3,2,1,3,1,BenchmarkParseTextGzip
128,1845,637865.0,5,5,3,3,3,1,3,1,BenchmarkParseTextGzip
129,1749,640720.0,5,5,3,3,4,1,3,1,BenchmarkParseTextGzip
130,1762,638662.0,5,5,3,3,5,1,3,1,BenchmarkParseTextGzip
131,1794,641183.0,5,5,3,3,1,2,3,1,BenchmarkParseTextGzip
132,1768,642145.0,5,5,3,3,2,2,3,1,BenchmarkParseTextGzip
133,1783,640780.0,5,5,3,3,3,2,3,1,BenchmarkParseTextGzip
134,1785,641428.0,5,5,3,3,4,2,3,1,BenchmarkParseTextGzip
135,1776,637553.0,5,5,3,3,5,2,3,1,BenchmarkParseTextGzip
136,1752,645255.0,5,5,3,3,1,3,3,1,BenchmarkParseTextGzip
137,1731,648765.0,5,5,3,3,2,3,3,1,BenchmarkParseTextGzip
138,1773,637715.0,5,5,3,3,3,3,3,1,BenchmarkParseTextGzip
139,1747,641153.0,5,5,3,3,4,3,3,1,BenchmarkParseTextGzip
140,1767,646059.0,5,5,3,3,5,3,3,1,BenchmarkParseTextGzip
141,1726,641712.0,5,5,3,3,1,4,3,1,BenchmarkParseTextGzip
142,1821,639765.0,5,5,3,3,2,4,3,1,BenchmarkParseTextGzip
143,1719,640436.0,5,5,3,3,3,4,3,1,BenchmarkParseTextGzip
144,1771,638895.0,5,5,3,3,4,4,3,1,BenchmarkParseTextGzip
145,1837,638416.0,5,5,3,3,5,4,3,1,BenchmarkParseTextGzip
146,1785,638600.0,5,5,3,3,1,5,3,1,BenchmarkParseTextGzip
147,1789,640188.0,5,5,3,3,2,5,3,1,BenchmarkParseTextGzip
148,1786,636310.0,5,5,3,3,3,5,3,1,BenchmarkParseTextGzip
149,1735,642729.0,5,5,3,3,4,5,3,1,BenchmarkParseTextGzip
150,1741,640290.0,5,5,3,3,5,5,3,1,BenchmarkParseTextGzip
151,7258,163727.0,5,5,3,3,1,1,1,1,BenchmarkParseProto
152,7317,164381.0,5,5,3,3,2,1,1,1,BenchmarkParseProto
153,6870,164606.0,5,5,3,3,3,1,1,1,BenchmarkParseProto
154,6830,164844.0,5,5,3,3,4,1,1,1,BenchmarkParseProto
155,6334,163808.0,5,5,3,3,5,1,1,1,BenchmarkParseProto
156,6166,165037.0,5,5,3,3,1,2,1,1,BenchmarkParseProto
157,6067,166227.0,5,5,3,3,2,2,1,1,BenchmarkParseProto
158,6213,164104.0,5,5,3,3,3,2,1,1,BenchmarkParseProto
159,7040,163189.0,5,5,3,3,4,2,1,1,BenchmarkParseProto
160,7287,163868.0,5,5,3,3,5,2,1,1,BenchmarkParseProto
161,7330,163552.0,5,5,3,3,1,3,1,1,BenchmarkParseProto
162,7380,162376.0,5,5,3,3,2,3,1,1,BenchmarkParseProto
163,6964,165379.0,5,5,3,3,3,3,1,1,BenchmarkParseProto
164,6276,164329.0,5,5,3,3,4,3,1,1,BenchmarkParseProto
165,7252,163952.0,5,5,3,3,5,3,1,1,BenchmarkParseProto
166,6319,163005.0,5,5,3,3,1,4,1,1,BenchmarkParseProto
167,7226,164603.0,5,5,3,3,2,4,1,1,BenchmarkParseProto
168,7220,165611.0,5,5,3,3,3,4,1,1,BenchmarkParseProto
169,6067,165058.0,5,5,3,3,4,4,1,1,BenchmarkParseProto
170,6140,164564.0,5,5,3,3,5,4,1,1,BenchmarkParseProto
171,7255,163919.0,5,5,3,3,1,5,1,1,BenchmarkParseProto
172,6910,164014.0,5,5,3,3,2,5,1,1,BenchmarkParseProto
173,6873,163984.0,5,5,3,3,3,5,1,1,BenchmarkParseProto
174,6337,161646.0,5,5,3,3,4,5,1,1,BenchmarkParseProto
175,6534,162855.0,5,5,3,3,5,5,1,1,BenchmarkParseProto
176,6228,163731.0,5,5,3,3,1,1,2,1,BenchmarkParseProto
177,6414,163453.0,5,5,3,3,2,1,2,1,BenchmarkParseProto
178,7243,164316.0,5,5,3,3,3,1,2,1,BenchmarkParseProto
179,7348,163354.0,5,5,3,3,4,1,2,1,BenchmarkParseProto
180,6961,165562.0,5,5,3,3,5,1,2,1,BenchmarkParseProto
181,7390,163074.0,5,5,3,3,1,2,2,1,BenchmarkParseProto
182,7346,162429.0,5,5,3,3,2,2,2,1,BenchmarkParseProto
183,7339,163662.0,5,5,3,3,3,2,2,1,BenchmarkParseProto
184,7273,165584.0,5,5,3,3,4,2,2,1,BenchmarkParseProto
185,6164,163404.0,5,5,3,3,5,2,2,1,BenchmarkParseProto
186,6210,163628.0,5,5,3,3,1,3,2,1,BenchmarkParseProto
187,7318,162192.0,5,5,3,3,2,3,2,1,BenchmarkParseProto
188,7318,163618.0,5,5,3,3,3,3,2,1,BenchmarkParseProto
189,6674,165279.0,5,5,3,3,4,3,2,1,BenchmarkParseProto
190,7383,163862.0,5,5,3,3,5,3,2,1,BenchmarkParseProto
191,6885,163005.0,5,5,3,3,1,4,2,1,BenchmarkParseProto
192,7215,164539.0,5,5,3,3,2,4,2,1,BenchmarkParseProto
193,7242,164245.0,5,5,3,3,3,4,2,1,BenchmarkParseProto
194,6823,165978.0,5,5,3,3,4,4,2,1,BenchmarkParseProto
