m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,88575717,12.12,5,5,3,3,1,1,1,1,BenchmarkBuffers/ByteSlice
2,98181602,12.11,5,5,3,3,2,1,1,1,BenchmarkBuffers/ByteSlice
3,98184004,12.13,5,5,3,3,3,1,1,1,BenchmarkBuffers/ByteSlice
4,86584334,12.11,5,5,3,3,4,1,1,1,BenchmarkBuffers/ByteSlice
5,87458814,12.12,5,5,3,3,5,1,1,1,BenchmarkBuffers/ByteSlice
6,86519440,12.12,5,5,3,3,1,2,1,1,BenchmarkBuffers/ByteSlice
7,88395523,12.11,5,5,3,3,2,2,1,1,BenchmarkBuffers/ByteSlice
8,86742380,12.13,5,5,3,3,3,2,1,1,BenchmarkBuffers/ByteSlice
9,88654191,12.11,5,5,3,3,4,2,1,1,BenchmarkBuffers/ByteSlice
10,96690345,12.11,5,5,3,3,5,2,1,1,BenchmarkBuffers/ByteSlice
11,86890981,12.12,5,5,3,3,1,3,1,1,BenchmarkBuffers/ByteSlice
12,97104685,12.14,5,5,3,3,2,3,1,1,BenchmarkBuffers/ByteSlice
13,87378502,12.13,5,5,3,3,3,3,1,1,BenchmarkBuffers/ByteSlice
14,96061555,12.13,5,5,3,3,4,3,1,1,BenchmarkBuffers/ByteSlice
15,86480833,12.12,5,5,3,3,5,3,1,1,BenchmarkBuffers/ByteSlice
16,86632134,12.11,5,5,3,3,1,4,1,1,BenchmarkBuffers/ByteSlice
17,86866569,12.12,5,5,3,3,2,4,1,1,BenchmarkBuffers/ByteSlice
18,86711992,12.1,5,5,3,3,3,4,1,1,BenchmarkBuffers/ByteSlice
19,92961021,12.12,5,5,3,3,4,4,1,1,BenchmarkBuffers/ByteSlice
20,87332100,12.12,5,5,3,3,5,4,1,1,BenchmarkBuffers/ByteSlice
21,98951680,12.1,5,5,3,3,1,5,1,1,BenchmarkBuffers/ByteSlice
22,86883148,12.1,5,5,3,3,2,5,1,1,BenchmarkBuffers/ByteSlice
23,99184635,12.12,5,5,3,3,3,5,1,1,BenchmarkBuffers/ByteSlice
24,97850653,12.1,5,5,3,3,4,5,1,1,BenchmarkBuffers/ByteSlice
25,87705442,12.14,5,5,3,3,5,5,1,1,BenchmarkBuffers/ByteSlice
26,86571710,12.11,5,5,3,3,1,1,2,1,BenchmarkBuffers/ByteSlice
27,86597942,12.13,5,5,3,3,2,1,2,1,BenchmarkBuffers/ByteSlice
28,98350562,12.12,5,5,3,3,3,1,2,1,BenchmarkBuffers/ByteSlice
29,96695378,12.12,5,5,3,3,4,1,2,1,BenchmarkBuffers/ByteSlice
30,86775537,12.1,5,5,3,3,5,1,2,1,BenchmarkBuffers/ByteSlice
31,85194822,12.11,5,5,3,3,1,2,2,1,BenchmarkBuffers/ByteSlice
32,86416201,12.14,5,5,3,3,2,2,2,1,BenchmarkBuffers/ByteSlice
33,86566639,12.11,5,5,3,3,3,2,2,1,BenchmarkBuffers/ByteSlice
34,86331213,12.1,5,5,3,3,4,2,2,1,BenchmarkBuffers/ByteSlice
