Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",0.010601025066068711,3,499480.0,496682.0,501977.0
BenchmarkParseTextGzip,"(1, 3, 1)",0.0027793497181252285,3,558404.0,557312.0,558864.0
BenchmarkParseProto,"(1, 3, 1)",0.008015250320168402,3,135866.0,135084.0,136173.0
BenchmarkParseProtoGzip,"(1, 3, 1)",0.014161317331844822,3,179150.0,177308.0,179845.0
BenchmarkParseProtoMap,"(1, 3, 1)",0.00463983540131427,3,142893.0,142635.0,143298.0
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",0.00231980115990058,3,6035.0,6023.0,6037.0
BenchmarkOpenMetricsCreate,"(1, 3, 1)",0.007919485233459825,3,6061.0,6042.0,6090.0
BenchmarkCreate,"(1, 3, 1)",0.006073597713469096,3,5598.0,5578.0,5612.0
BenchmarkCreateBuildInfo,"(1, 3, 1)",0.038292780215396865,3,250.7,250.4,260.0
BenchmarkTextParse,"(1, 3, 1)",0.003995101980234759,3,161698.0,161619.0,162265.0
BenchmarkParseError,"(1, 3, 1)",0.005622254758418741,3,51225.0,51200.0,51488.0
BenchmarkLabelNames,"(1, 3, 1)",0.007802340702210713,3,230.7,230.6,232.4
BenchmarkLabelValues,"(1, 3, 1)",0.0008718395815171991,3,229.4,229.2,229.4
BenchmarkMetric,"(1, 3, 1)",0.006896551724137931,3,1160.0,1157.0,1165.0
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",0.001445086705202153,3,2.076,2.075,2.078
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",0.00773860705073104,3,116.3,115.5,116.4
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",0.002386634844868735,3,209.5,209.5,210.0
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",0.006535947712418136,3,275.4,275.1,276.9
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.004634397528321265,3,1.942,1.941,1.95
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",0.006044905008635726,3,115.8,115.6,116.3
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",0.006226053639846525,3,208.8,208.3,209.6
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",0.005105762217359509,3,274.2,273.3,274.7
BenchmarkMetricToFastFingerprintScalar,"(1, 3, 1)",0.0033702455464612985,3,2.077,2.073,2.08
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",0.011588518452487049,3,56.09,56.06,56.71
BenchmarkMetricToFastFingerprintDouble,"(1, 3, 1)",0.009283503927636123,3,84.02,83.43,84.21
BenchmarkMetricToFastFingerprintTriple,"(1, 3, 1)",0.012601260126012781,3,111.1,111.0,112.4
BenchmarkEmptyLabelSignature,"(1, 3, 1)",0.22222222222222227,3,1.89e-05,1.76e-05,2.18e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",0.001800180018001442,3,111.1,110.9,111.1
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",0.0,3,105.4,105.4,105.4
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",0.0009496676163344989,3,105.3,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",0.0018975332068311465,3,105.4,105.3,105.5
