Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,72,0.002965845587275579,-0.0004699201334891769,-0.001321030524451129
BenchmarkParseTextGzip,72,-2.1489355605856567e-05,-0.0011920697870180562,-7.894415777348768e-05
BenchmarkParseProto,72,-0.0039806757618632204,-0.00725387845561647,-0.007997180057720694
BenchmarkParseProtoGzip,72,0.0,0.0007456416134794197,-0.007434111825164021
BenchmarkParseProtoMap,72,-0.0028262781057656074,-0.0029640143608583116,-0.0028383470473500607
BenchmarkDiscriminatorHTTPHeader,72,0.000663239927043608,-0.0014885874958650348,0.0006645622196378136
BenchmarkOpenMetricsCreate,72,-0.003125,-0.00016417665407978985,-0.004776807774666447
BenchmarkCreate,72,-0.005330490405117271,-0.005140932458783903,-0.006235524674861928
BenchmarkCreateBuildInfo,72,-0.012603387160299398,0.0,-0.004769475357710606
BenchmarkTextParse,72,-0.0011551409951508786,-0.0010711713320077075,-0.0004885651028460463
BenchmarkParseError,72,-0.0014425232460671747,0.0,-0.0008196401389485188
BenchmarkLabelNames,72,-0.0004332755632583307,0.0021561017680034496,0.0
BenchmarkLabelValues,72,-0.002174858634188778,-0.004340277777777778,-0.0021767522855899
BenchmarkMetric,72,-0.0025795356835769563,-0.0008576329331046312,-0.002586206896551724
BenchmarkLabelToSignatureScalar,72,-0.00048146364949441014,0.0,0.0
BenchmarkLabelToSignatureSingle,72,0.0025862068965517,0.0,-0.002590673575129509
BenchmarkLabelToSignatureDouble,72,-0.004277566539923981,-0.004739336492890996,-0.0028557829604949755
BenchmarkLabelToSignatureTriple,72,-0.002535313292285568,-0.0007217610970770317,-0.0010893246187362183
BenchmarkMetricToFingerprintScalar,72,-0.0015424164524422178,0.002055498458376158,-0.001029336078229543
BenchmarkMetricToFingerprintSingle,72,-0.0008628127696290641,-0.0034275921165381807,0.0
BenchmarkMetricToFingerprintDouble,72,-0.0028653295128939554,0.0,-0.0038259206121472166
BenchmarkMetricToFingerprintTriple,72,-0.0021834061135372006,-0.0039883973894127,-0.00473415877640208
BenchmarkMetricToFastFingerprintScalar,72,0.0,0.000481000481000428,-0.001445086705202367
BenchmarkMetricToFastFingerprintSingle,72,-0.0005345687811830726,0.007819441976186205,0.000178412132025069
BenchmarkMetricToFastFingerprintDouble,72,-0.004030346135609334,-0.005080340264650364,-0.009380194728092995
BenchmarkMetricToFastFingerprintTriple,72,-0.001796945193171634,0.006266786034019721,-0.0017985611510791622
BenchmarkEmptyLabelSignature,72,-0.17467248908296953,-0.16793893129770987,-0.16190476190476183
BenchmarkMetricToFastFingerprintTripleConc1,72,-0.001796945193171634,-0.0035874439461883916,-0.0026978417266186796
BenchmarkMetricToFastFingerprintTripleConc2,72,0.0,0.0,0.000949667616334364
BenchmarkMetricToFastFingerprintTripleConc4,72,-0.0009487666034156406,0.0,0.0
BenchmarkMetricToFastFingerprintTripleConc8,72,0.0,0.0009487666034155058,0.0
