Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,72,0.003680934574161251,0.009584823319232653,8.474131704147885e-05
BenchmarkParseTextGzip,72,-0.003660908157079045,-0.004558680892337536,-0.0020348611914661995
BenchmarkParseProto,72,-0.0020885117147857804,0.000940346752865119,-0.0004937689308797193
BenchmarkParseProtoGzip,72,-0.0017669925786311697,-0.0003078679862075142,-0.001680625035130122
BenchmarkParseProtoMap,72,0.0005111794239778162,-0.0005523509875895822,-0.00137424276419116
BenchmarkDiscriminatorHTTPHeader,72,0.0023325558147284237,0.0013313363288400732,-0.0031698365031698366
BenchmarkOpenMetricsCreate,72,-0.002967359050445104,0.00032927230819888045,-0.0036369647875681933
BenchmarkCreate,72,-0.004095441595441595,-0.005511111111111111,-0.0016082916368834882
BenchmarkCreateBuildInfo,72,0.0011909487892019966,0.005933544303797468,-0.0019880715705765406
BenchmarkTextParse,72,-0.003286196119689328,-0.0006862484466673674,-0.002808866842350023
BenchmarkParseError,72,0.0019152221071351795,0.0014639287945034355,0.0009589979450044036
BenchmarkLabelNames,72,-0.002172024326672459,0.0,-0.0013049151805133161
BenchmarkLabelValues,72,-0.0008714596949890572,-0.0008703220191471586,-0.001744439598778917
BenchmarkMetric,72,0.0,0.009490940465918895,-0.0025929127052722557
BenchmarkLabelToSignatureScalar,72,0.0009643201542913327,0.0033734939759034565,0.0004821600771457734
BenchmarkLabelToSignatureSingle,72,-0.0017301038062282755,-0.0034512510785160108,-0.006926406926406902
BenchmarkLabelToSignatureDouble,72,0.0014285714285714828,0.0009501187648455517,-0.0009537434430137751
BenchmarkLabelToSignatureTriple,72,0.0050946142649198585,0.011256354393609379,-0.002185792349726859
BenchmarkMetricToFingerprintScalar,72,0.0010303967027305522,0.002058672156459086,0.0005154639175258309
BenchmarkMetricToFingerprintSingle,72,0.0017346053772766942,0.0025974025974025727,-0.002606429192006926
BenchmarkMetricToFingerprintDouble,72,0.0,0.0009546539379474397,-0.0014360938247966078
BenchmarkMetricToFingerprintTriple,72,0.0007291286912139578,0.014571948998178506,-0.0014593214155418973
BenchmarkMetricToFastFingerprintScalar,72,-0.0004819277108435344,0.0,0.0
BenchmarkMetricToFastFingerprintSingle,72,0.00945247012662745,0.029228301550525762,0.0008923790826342523
BenchmarkMetricToFastFingerprintDouble,72,0.0013068789354876967,0.0009497803632909687,0.0007132667617689286
BenchmarkMetricToFastFingerprintTriple,72,0.0009000900090009769,0.01258992805755388,0.0
BenchmarkEmptyLabelSignature,72,0.11320754716981135,0.012552301255230004,0.04975124378109456
BenchmarkMetricToFastFingerprintTripleConc1,72,-0.000900090009000849,-0.0017985611510791622,0.0
BenchmarkMetricToFastFingerprintTripleConc2,72,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintTripleConc4,72,0.000949667616334364,0.0,0.0
BenchmarkMetricToFastFingerprintTripleConc8,72,-0.0009487666034156406,0.0,0.0
