Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",0.003928676930125818,3,497623.0,495668.0,501350.0
BenchmarkParseTextGzip,"(1, 3, 1)",0.00024917033500770983,3,553838.0,553700.0,554202.0
BenchmarkParseProto,"(1, 3, 1)",0.0005453285973264161,3,135698.0,135624.0,136248.0
BenchmarkParseProtoGzip,"(1, 3, 1)",0.0019274644009125955,3,177954.0,177611.0,178593.0
BenchmarkParseProtoMap,"(1, 3, 1)",0.00046192609182530797,3,142880.0,142428.0,142946.0
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",0.00016622340425531914,3,6016.0,5975.0,6017.0
BenchmarkOpenMetricsCreate,"(1, 3, 1)",0.003472222222222222,3,6048.0,6027.0,6076.0
BenchmarkCreate,"(1, 3, 1)",0.00017879492222420883,3,5593.0,5587.0,5594.0
BenchmarkCreateBuildInfo,"(1, 3, 1)",0.004758128469468631,3,252.2,251.0,254.3
BenchmarkTextParse,"(1, 3, 1)",0.001440510636184137,3,161054.0,160822.0,161638.0
BenchmarkParseError,"(1, 3, 1)",0.0007802289972106813,3,51267.0,51144.0,51307.0
BenchmarkLabelNames,"(1, 3, 1)",0.00043535045711795523,3,229.7,229.6,230.5
BenchmarkLabelValues,"(1, 3, 1)",0.0013083296990840949,3,229.3,228.9,229.6
BenchmarkMetric,"(1, 3, 1)",0.0025929127052722557,3,1157.0,1154.0,1170.0
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",0.00048169556840071764,3,2.076,2.075,2.082
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",0.0008665511265164152,3,115.4,114.7,115.5
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",0.001902044698050296,3,210.3,209.5,210.7
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",0.008327299058653191,3,276.2,273.9,278.5
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.001029336078229543,3,1.943,1.941,1.947
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",0.0025974025974025727,3,115.5,114.8,115.8
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",0.0023912003825920613,3,209.1,208.6,209.7
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",0.002914389799635743,3,274.5,273.7,278.5
BenchmarkMetricToFastFingerprintScalar,"(1, 3, 1)",0.0,3,2.074,2.074,2.076
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",0.009187279151943518,3,56.6,56.08,57.75
BenchmarkMetricToFastFingerprintDouble,"(1, 3, 1)",0.0003559563360227947,3,84.28,84.18,84.31
BenchmarkMetricToFastFingerprintTriple,"(1, 3, 1)",0.0017985611510791622,3,111.2,111.0,112.6
BenchmarkEmptyLabelSignature,"(1, 3, 1)",0.02542372881355922,3,2.36e-05,2.11e-05,2.42e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",0.0,3,111.0,111.0,111.0
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",0.0,3,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",0.0,3,105.4,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",0.0,3,105.3,105.3,105.4
