Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",12614588.294892713,3,555249.0,-2790133131778.9175,4214104404371.9663
BenchmarkParseTextGzip,"(1, 3, 1)",36323640.0991417,3,627644.0,-10830890156030.629,11967424610355.068
BenchmarkParseProto,"(1, 3, 1)",4970625.390903326,3,159678.66666666666,-462939604494.02246,330763230424.8995
BenchmarkParseProtoGzip,"(1, 3, 1)",173191690.95571432,3,225319.33333333334,-22034431595021.547,16989004749992.707
BenchmarkParseProtoMap,"(1, 3, 1)",3237281.037396601,3,167242.66666666666,-227971869239.9673,313439644203.6733
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",357455.1006852123,3,6987.0,-1391478909.4430792,1106059879.044499
BenchmarkOpenMetricsCreate,"(1, 3, 1)",113063.78787376639,3,7122.666666666667,-429494569.6509522,375821103.44459456
BenchmarkCreate,"(1, 3, 1)",44375.185514989615,3,6738.0,-194993262.0,104006738.00000001
BenchmarkCreateBuildInfo,"(1, 3, 1)",15925.489195305412,3,322.3333333333333,-2673279.7590035694,2460036.2582832077
BenchmarkTextParse,"(1, 3, 1)",13005049.172195029,3,199260.0,-890902562318.389,1700483535733.1924
BenchmarkParseError,"(1, 3, 1)",15618059.866842391,3,57837.666666666664,-511445700720.1852,391866439838.2894
BenchmarkLabelNames,"(1, 3, 1)",96062.21469552943,3,278.56666666666666,-15361789.195386862,11397941.74496445
BenchmarkLabelValues,"(1, 3, 1)",23762.64696627937,3,269.3333333333333,-4078208.505454287,2321864.4107969576
BenchmarkMetric,"(1, 3, 1)",85965.42201965848,3,1355.3333333333333,-67316574.69800217,49195227.27930827
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",1.9276117617594934,3,2.377333333333333,-0.16854205275376577,4.41403364220247
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",53593.71039097076,3,148.6,-4696584.307032321,3267441.0570659335
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",47013223426.44958,3,246.76666666666665,-11601295777724.031,656476.1755146822
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",7092.1508304497065,3,317.8,-788542.1368709081,1465343.3970460086
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.273064923154664,3,2.114333333333333,1.7294331538732401,2.3067834230632513
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",7649.43574320646,3,147.93333333333334,-377054.24253722525,754552.2850744505
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",158294989765.2817,3,245.53333333333333,-950457.9099322559,38866695536577.59
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",3315.459417898586,3,319.7333333333333,-655909.6755147661,404153.21570134157
BenchmarkMetricToFastFingerprintScalar,"(1, 3, 1)",29.273428117492788,3,2.56,-41.154985988789925,33.784989991991615
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",6.962989812028006,3,65.81333333333333,-188.77420527531098,269.4833642202922
BenchmarkMetricToFastFingerprintDouble,"(1, 3, 1)",139100591209.72437,3,100.5,-425692.8771208791,13979608990884.422
BenchmarkMetricToFastFingerprintTriple,"(1, 3, 1)",2146.9893643023584,3,131.76666666666668,-94168.77730096532,188732.85460194212
BenchmarkEmptyLabelSignature,"(1, 3, 1)",49877655009926.58,3,4.5333333333333335e-05,2.9390187963064663e-05,2261120360.4500346
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",17871297.563550536,3,153.70000000000002,-1824586911.2821007,922231524.2356164
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",14830303535.450983,3,99.18,-1470869478946.8486,25699.18000000232
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",26693414828.009773,3,99.29333333333334,-63529.25837572801,2650478072793.259
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",1799456411.4933302,3,99.7,-4271.798598878061,179405799954.08646
