Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10ValidUtf8,"(1, 3, 1)",0.0005645228404909552,3,22.093333333333334,22.08,22.11
BenchmarkScanComments/1kValidUtf8,"(1, 3, 1)",0.0008535605099652416,3,2407.3333333333335,2405.0,2410.0
BenchmarkScanComments/1MValidUtf8,"(1, 3, 1)",0.0021904359444629828,3,2368491.0,2362184.0,2374891.0
BenchmarkScanComments/10Valid,"(1, 3, 1)",0.0013690620624346823,3,32.846666666666664,32.81,32.91
BenchmarkScanComments/1kValid,"(1, 3, 1)",0.0030103712345770648,3,2783.6666666666665,2775.0,2795.0
BenchmarkScanComments/1MValid,"(1, 3, 1)",0.0013725702716563097,3,2858199.0,2852832.0,2862100.0
BenchmarkParseLiteralStringValid/1MValid,"(1, 3, 1)",0.004370621791609098,3,3146583.0,3128405.0,3161661.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(1, 3, 1)",0.00036256508922189547,3,22.52,22.51,22.53
BenchmarkParseLiteralStringValid/1kValidUtf8,"(1, 3, 1)",0.0015168032157631503,3,2427.3333333333335,2423.0,2432.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(1, 3, 1)",0.00141030156476546,3,2477555.0,2473988.0,2482300.0
BenchmarkParseLiteralStringValid/10Valid,"(1, 3, 1)",0.0016622926531767177,3,35.419999999999995,35.36,35.5
BenchmarkParseLiteralStringValid/1kValid,"(1, 3, 1)",0.0025517351031959716,3,3074.6666666666665,3066.0,3085.0
BenchmarkParseBasicStringWithUnicode/4,"(1, 3, 1)",0.0016711288015962117,3,149.26666666666668,149.0,149.6
BenchmarkParseBasicStringWithUnicode/8,"(1, 3, 1)",0.0020241587161341085,3,246.46666666666667,245.80000000000004,247.0
BenchmarkParseBasicStringsEasy/1,"(1, 3, 1)",0.0019034865045369645,3,9.556333333333335,9.542,9.582
BenchmarkParseBasicStringsEasy/4,"(1, 3, 1)",0.003897144417282084,3,15.443333333333333,15.36,15.5
BenchmarkParseBasicStringsEasy/8,"(1, 3, 1)",0.010871677185816168,3,20.25,20.07,20.56
BenchmarkParseBasicStringsEasy/16,"(1, 3, 1)",0.0007835613368506188,3,33.49666666666667,33.46,33.52
BenchmarkParseBasicStringsEasy/21,"(1, 3, 1)",0.0008166650032148678,3,43.580000000000005,43.53,43.60999999999999
BenchmarkUnmarshalDataset/config,"(1, 3, 1)",0.004151109203278103,3,26098724.333333332,25976139.0,26239613.0
BenchmarkUnmarshalDataset/canada,"(1, 3, 1)",0.009552790536786811,3,123544809.66666667,122346638.0,125150170.0
BenchmarkUnmarshalDataset/citm_catalog,"(1, 3, 1)",0.01007636346473926,3,41507120.333333336,41037537.0,42053371.0
BenchmarkUnmarshalDataset/twitter,"(1, 3, 1)",0.0030210406343554957,3,15639439.0,15583292.0,15698883.0
BenchmarkUnmarshalDataset/code,"(1, 3, 1)",0.0009593602498141757,3,112163746.33333333,112048936.0,112307652.0
BenchmarkUnmarshalDataset/example,"(1, 3, 1)",0.017187562525416603,3,193516.0,190080.0,198016.0
BenchmarkUnmarshal/SimpleDocument/struct,"(1, 3, 1)",0.002080746514472164,3,736.5666666666666,734.4,737.7000000000002
BenchmarkUnmarshal/SimpleDocument/map,"(1, 3, 1)",0.005775812936855449,3,999.6333333333333,992.9,1007.0
BenchmarkUnmarshal/ReferenceFile/struct,"(1, 3, 1)",0.0029238262585532877,3,55718.666666666664,55521.0,55920.0
BenchmarkUnmarshal/ReferenceFile/map,"(1, 3, 1)",0.008841105327385482,3,83846.66666666667,83128.0,84867.0
BenchmarkUnmarshal/HugoFrontMatter,"(1, 3, 1)",0.0028724847622521145,3,14201.0,14145.0,14241.0
BenchmarkMarshal/SimpleDocument/struct,"(1, 3, 1)",0.0027708199680945914,3,460.3,458.5,461.3
BenchmarkMarshal/SimpleDocument/map,"(1, 3, 1)",0.0030462424218512026,3,661.6333333333333,658.9,663.7
BenchmarkMarshal/ReferenceFile/struct,"(1, 3, 1)",0.0034576803778167717,3,40847.666666666664,40728.0,41046.0
BenchmarkMarshal/ReferenceFile/map,"(1, 3, 1)",0.002461078544700516,3,54738.333333333336,54612.0,54925.0
BenchmarkMarshal/HugoFrontMatter,"(1, 3, 1)",0.003029460563831031,3,9707.666666666666,9683.0,9749.0
