Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/1MValid,72,0.0006233060480029494,0.0029595843774789625,-0.0006640599808762816
BenchmarkScanComments/10ValidUtf8,72,-0.0005142452197144327,0.00011911777613375826,-0.001160529452355642
BenchmarkScanComments/1kValidUtf8,72,0.0006867458059452225,0.0015286109829256906,0.0002251877832581356
BenchmarkScanComments/1MValidUtf8,72,-0.0005708216256401769,-0.0006463029925181486,-0.0004800658127889384
BenchmarkScanComments/10Valid,72,-0.00020302549420101734,0.0007739649770501837,-0.0017503328535815057
BenchmarkScanComments/1kValid,72,0.0012372934811616333,0.001867411979060188,0.0007183767350486726
BenchmarkParseLiteralStringValid/10Valid,72,0.005271545911486974,0.016819395055838866,-0.0028830818304505057
BenchmarkParseLiteralStringValid/1kValid,72,-0.0011681110529479998,-0.00035855308507901133,-0.0021334367726920534
BenchmarkParseLiteralStringValid/1MValid,72,-0.008343781794575575,-0.030076117806450652,-0.0008525536955790938
BenchmarkParseLiteralStringValid/10ValidUtf8,72,0.0021865889212829134,0.0009638582714417389,0.002997596100124486
BenchmarkParseLiteralStringValid/1kValidUtf8,72,-0.0020549332870250826,0.002374843988351138,-0.004174639067663902
BenchmarkParseLiteralStringValid/1MValidUtf8,72,-0.0010859330418431365,-0.0010310878801489832,-0.0012393951585233864
BenchmarkParseBasicStringWithUnicode/4,72,-0.0027758442131712983,-0.003476491287573755,-0.0018526702246999128
BenchmarkParseBasicStringWithUnicode/8,72,-0.0017020865325757444,-0.00035402619718782034,-0.00308520873533304
BenchmarkParseBasicStringsEasy/1,72,0.0017806901955196817,0.0072159605428773884,-0.002736314830850745
BenchmarkParseBasicStringsEasy/4,72,0.00045682960255843903,0.000748860623562363,0.00013714469139697004
BenchmarkParseBasicStringsEasy/8,72,0.0008763099385132182,0.00056430958892201,0.0005942330408062556
BenchmarkParseBasicStringsEasy/16,72,-0.001530154209471928,-0.0014577921111983572,-0.0022356782857197704
BenchmarkParseBasicStringsEasy/21,72,-0.001559001402055036,-0.0017248035079078436,-0.0014452077747990938
BenchmarkUnmarshalDataset/config,72,-0.0011074730622985742,-0.0006131488458540138,-0.0010291788808843721
BenchmarkUnmarshalDataset/canada,72,9.086348688777294e-05,0.00567217849236618,-0.002558303687457764
BenchmarkUnmarshalDataset/citm_catalog,72,-0.0014248990864588348,0.007492502406524673,-0.0076478399161821154
BenchmarkUnmarshalDataset/twitter,72,-0.0034995237985600033,0.002741647843159392,-0.009852718111632706
BenchmarkUnmarshalDataset/code,72,0.0016816621723148549,0.006997648148635012,-0.0009161595359231139
BenchmarkUnmarshalDataset/example,72,-0.00047938822713887745,0.004545893237416873,-0.0023534460908442314
BenchmarkUnmarshal/SimpleDocument/struct,72,-0.002051291319513611,0.002376564691966377,-0.0034039608408635577
BenchmarkUnmarshal/SimpleDocument/map,72,0.005257118458623539,0.021125173336746773,-0.007304105786607238
BenchmarkUnmarshal/ReferenceFile/struct,72,0.003183754310534155,0.0034605662205562074,0.002942207768532183
BenchmarkUnmarshal/ReferenceFile/map,72,-0.0008293708285101317,0.00019317067558257463,-0.0016084183079447402
BenchmarkUnmarshal/HugoFrontMatter,72,-0.00211227580044502,0.002036344686782514,-0.008502277109080959
BenchmarkMarshal/SimpleDocument/struct,72,-0.0016076712952424247,-0.0027388318101831542,-0.001981609317449812
BenchmarkMarshal/SimpleDocument/map,72,-0.0007682510159107014,-0.0003169852201057152,-0.002506123655899628
BenchmarkMarshal/ReferenceFile/struct,72,0.002175343157922223,0.005058819803092009,-0.001284588145246646
BenchmarkMarshal/ReferenceFile/map,72,0.0005643891768748149,0.001369696131334146,-0.0015471053081817395
BenchmarkMarshal/HugoFrontMatter,72,0.005599025441596666,0.010802505020749191,0.00042229012345768475
