Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.0006412965504859095,75,2799951.44,2799088.5063333334,2800892.5387333333
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.0006020431840558233,75,21.260933333333334,21.25466666666667,21.267466666666667
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0008425909361095043,75,2310.4133333333334,2309.4533333333334,2311.4666666666667
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.000777089358391349,75,2316824.16,2315958.0482,2317763.2606666666
BenchmarkScanComments/10Valid,"(3, 5, 5)",0.0021214092455323907,75,32.17986666666666,32.14693333333333,32.215066666666665
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.0006744462505155874,75,2747.9333333333334,2747.0266666666666,2748.8400666666666
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.0017572024028441008,75,32.62800000000001,32.60373333333334,32.65986733333334
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.0007464278097675234,75,2750.88,2749.8933333333334,2751.9466666666667
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.030680327062697917,75,2828784.4266666668,2806323.52,2893104.5007999996
BenchmarkParseLiteralStringValid/10ValidUtf8,"(3, 5, 5)",0.003822115954395713,75,22.500799999999998,22.461465333333337,22.5476
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.0034152701803131396,75,2303.4,2299.4533333333334,2307.4
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.000981014818273327,75,2338597.2266666666,2337488.506666667,2339748.906866667
BenchmarkParseBasicStringWithUnicode/4,"(3, 5, 5)",0.0023089591008640885,75,157.06933333333333,156.89333333333335,157.248
BenchmarkParseBasicStringWithUnicode/8,"(3, 5, 5)",0.0020886803191546258,75,248.32266666666663,248.0546666666667,248.58133333333336
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.0009530396381639621,75,9.35966666666667,9.35548,9.364520066666667
BenchmarkParseBasicStringsEasy/4,"(3, 5, 5)",0.0007309730470536186,75,14.59333333333333,14.587999999999996,14.598799999999995
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0016222597208844353,75,18.410533333333337,18.39946666666667,18.430000000000003
BenchmarkParseBasicStringsEasy/16,"(3, 5, 5)",0.002158136572896692,75,30.14946666666667,30.117066000000005,30.18200066666666
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.001862431205139407,75,38.229600000000005,38.19426600000001,38.26626666666667
BenchmarkUnmarshalDataset/config,"(3, 5, 5)",0.0020047544540179284,75,26292889.333333332,26266617.527200002,26320938.293199997
BenchmarkUnmarshalDataset/canada,"(3, 5, 5)",0.005206487433330491,75,123187142.78666666,122860886.91106667,123499938.25406666
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.00827317850818574,75,40896117.17333333,40734010.3166,41066004.6536
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.011568941968530396,75,15587675.106666667,15499911.710533334,15682396.900333332
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.0028887882715569546,75,113506341.01333334,113355857.8392,113670107.43933333
BenchmarkUnmarshalDataset/example,"(3, 5, 5)",0.0043539522426504305,75,190882.17333333334,190460.37946666667,191311.76366666667
BenchmarkUnmarshal/SimpleDocument/struct,"(3, 5, 5)",0.004693688890495409,75,737.7466666666667,736.0026466666668,739.4920133333334
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.004926233554826025,75,999.28,996.9386600000001,1001.7826866666666
BenchmarkUnmarshal/ReferenceFile/struct,"(3, 5, 5)",0.003272374164558384,75,55565.426666666666,55469.42046666666,55660.0268
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.0020744953588217666,75,82874.06666666667,82788.0508,82967.97493333333
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.003512942755535034,75,14145.88,14119.84,14168.466666666667
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.004569784315956992,75,468.58666666666664,467.63197999999994,469.73867333333334
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.002650496330590538,75,659.5066666666665,658.6679666666666,660.44934
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.003737000027889072,75,40637.26666666667,40559.74346666667,40713.34846666666
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.0023858675576541267,75,54359.653333333335,54294.9998,54423.280999999995
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.0028305395624961373,75,9675.493333333334,9661.96,9689.64
