Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/10Valid,72,-0.0009272707876877659,-0.0009500341728525022,-0.0020621993875412103
BenchmarkScanComments/1kValid,72,0.000270637302519262,0.0003332029495704843,-6.286631719436416e-05
BenchmarkScanComments/1MValid,72,-0.000973167617206682,-0.0002975759040513626,-0.0020525354675522394
BenchmarkScanComments/10ValidUtf8,72,-4.303534431377596e-05,0.0004362411983729157,-0.00035674086466625394
BenchmarkScanComments/1kValidUtf8,72,-0.0008023170461074769,0.0009211715937973825,-0.0016567885630348732
BenchmarkScanComments/1MValidUtf8,72,0.0021126980539438968,0.006899020593470007,-0.00043562210850763315
BenchmarkParseLiteralStringValid/1kValid,72,-0.00043293072233840436,-0.0005374596157056671,-0.0011160714285714584
BenchmarkParseLiteralStringValid/1MValid,72,0.00010970470479142209,0.00330171160463522,-0.0013653863272728478
BenchmarkParseLiteralStringValid/10ValidUtf8,72,-5.996641880570199e-05,-0.0002636009082249184,-0.0007021792704880219
BenchmarkParseLiteralStringValid/1kValidUtf8,72,0.0007415975339115648,0.001708919564640252,-0.0010688494085330457
BenchmarkParseLiteralStringValid/1MValidUtf8,72,-0.001417961523872154,0.0004053575320124955,-0.0028853489874656325
BenchmarkParseLiteralStringValid/10Valid,72,-0.002291351859534803,0.0006844236582446819,-0.005687770721505165
BenchmarkParseBasicStringWithUnicode/4,72,0.0006427357651636624,0.000509613987836324,0.0001500225033753729
BenchmarkParseBasicStringWithUnicode/8,72,0.43300895478923473,1.228865989247328,-0.006857702669605709
BenchmarkParseBasicStringsEasy/1,72,-0.001309408548262825,-0.0009717581236981872,-0.002725669780088277
BenchmarkParseBasicStringsEasy/4,72,-0.0016825821910572269,0.000756948967556849,-0.004161450159581045
BenchmarkParseBasicStringsEasy/8,72,-0.0014062883020035694,-0.0014242351985874226,-0.0015494867325200258
BenchmarkParseBasicStringsEasy/16,72,0.28328688303515226,0.8346715072755084,-0.0011330546457173026
BenchmarkParseBasicStringsEasy/21,72,0.0002941820987191147,0.0010049648856279613,-0.00022826394196096827
BenchmarkUnmarshalDataset/config,72,-0.00211879997420985,-0.0008089504602226925,-0.0032372746779016637
BenchmarkUnmarshalDataset/canada,72,0.012064898396028843,0.04617924893435555,-0.0058694506924998925
BenchmarkUnmarshalDataset/citm_catalog,72,0.24787417534898717,0.779884557335355,-0.028806405250055254
BenchmarkUnmarshalDataset/twitter,72,-0.00931972454136616,-0.014173255076054249,-0.004492442735104811
BenchmarkUnmarshalDataset/code,72,-0.030595548699737955,-0.039069664032964524,-0.02490482824369906
BenchmarkUnmarshalDataset/example,72,0.00011044857758721793,0.0012274883226989725,-4.761076773735998e-05
BenchmarkUnmarshal/SimpleDocument/struct,72,0.15936443842698858,0.49401302063215524,-0.013309786703174634
BenchmarkUnmarshal/SimpleDocument/map,72,0.3556209309612508,1.015099311783089,-0.022078859365781536
BenchmarkUnmarshal/ReferenceFile/struct,72,0.0035171795469886276,0.022642725384937196,-0.0039234134918549775
BenchmarkUnmarshal/ReferenceFile/map,72,-0.004303268890553528,-0.00716780944077159,-0.001834367603736935
BenchmarkUnmarshal/HugoFrontMatter,72,-0.010775457074630714,0.00018818335325351896,-0.014573246395591464
BenchmarkMarshal/SimpleDocument/struct,72,-0.014306619888609231,0.006545490901071746,-0.021609535429245593
BenchmarkMarshal/SimpleDocument/map,72,0.04143945737143162,0.14335257706695625,-0.00737525572676984
BenchmarkMarshal/ReferenceFile/struct,72,-0.039361569642017806,-0.06766746748568596,-0.016264714899695828
BenchmarkMarshal/ReferenceFile/map,72,-0.023913087193655664,-0.025070825209656897,-0.01971104149590265
BenchmarkMarshal/HugoFrontMatter,72,0.016208610178910277,0.044824976816947686,-0.023546081359273517
