Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10Valid,"(1, 3, 1)",305.9272619641678,3,32.46666666666667,-4460.779293578412,5471.659144858238
BenchmarkScanComments/1kValid,"(1, 3, 1)",4559.629445144794,3,2759.6666666666665,-5869333.782988742,6713723.609129174
BenchmarkScanComments/1MValid,"(1, 3, 1)",21619359.605585497,3,2816818.3333333335,-28018681164313.73,32879127327625.594
BenchmarkScanComments/10ValidUtf8,"(1, 3, 1)",6618105128.354226,3,21.686666666666667,-111630275443.2956,31894364440.279736
BenchmarkScanComments/1kValidUtf8,"(1, 3, 1)",18961.82193658011,3,2341.3333333333335,-27950661.55312466,16445284.207721574
BenchmarkScanComments/1MValidUtf8,"(1, 3, 1)",100091570.24270125,3,2353061.0,-149185679466512.62,86335890900348.22
BenchmarkParseLiteralStringValid/1kValid,"(1, 3, 1)",9282.564756740128,3,3047.6666666666665,-9427006.730097834,18863156.46019383
BenchmarkParseLiteralStringValid/1MValid,"(1, 3, 1)",74263501.63466184,3,3109414.6666666665,-147248498225770.3,83667522955071.19
BenchmarkParseLiteralStringValid/10ValidUtf8,"(1, 3, 1)",64.91944556105422,3,22.233333333333334,-458.8918909913344,984.4837819827711
BenchmarkParseLiteralStringValid/1kValidUtf8,"(1, 3, 1)",21947.335637201082,3,2411.0,-21163599.488516726,31751426.73277509
BenchmarkParseLiteralStringValid/1MValidUtf8,"(1, 3, 1)",31723087.829522215,3,2452456.3333333335,-41667934837723.58,36131552822677.76
BenchmarkParseLiteralStringValid/10Valid,"(1, 3, 1)",1205.2913657902798,3,34.95,-20301.224664868052,21823.70856950223
BenchmarkParseBasicStringWithUnicode/4,"(1, 3, 1)",1209.6548248894428,3,151.53333333333333,-81316.47902144401,101986.54877680287
BenchmarkParseBasicStringWithUnicode/8,"(1, 3, 1)",2839812926975751.5,3,393.6666666666667,-77337767977.94592,1.1179396115816863e+18
BenchmarkParseBasicStringsEasy/1,"(1, 3, 1)",50.97162623974772,3,9.366,-155.25477633154082,322.1454750299363
BenchmarkParseBasicStringsEasy/4,"(1, 3, 1)",76050084910.97702,3,15.11,-1149116780489.7527,2515.1099999999383
BenchmarkParseBasicStringsEasy/8,"(1, 3, 1)",38.75968992247897,3,20.64,-379.35999999998296,420.63999999998293
BenchmarkParseBasicStringsEasy/16,"(1, 3, 1)",18772342.441382203,3,47.580000000000005,-594929021.761573,298259031.59939235
BenchmarkParseBasicStringsEasy/21,"(1, 3, 1)",1440020660.206685,3,44.43000000000001,-3296.2286176977304,63980114636.75441
BenchmarkUnmarshalDataset/config,"(1, 3, 1)",751096500.813444,3,26135432.666666668,-1.037377410499532e+16,9256457918183394.0
BenchmarkUnmarshalDataset/canada,"(1, 3, 1)",369145881696.33374,3,127458359.66666667,-2.921344853136683e+19,1.7837280027353258e+19
BenchmarkUnmarshalDataset/citm_catalog,"(1, 3, 1)",22500952099300.63,3,57270908.0,-8.578158206461135e+20,4.3083413694533986e+20
BenchmarkUnmarshalDataset/twitter,"(1, 3, 1)",22683976.8573533,3,15135116.666666666,-186142016642836.94,157182619557171.94
BenchmarkUnmarshalDataset/code,"(1, 3, 1)",2782594205.7414393,3,113121595.66666667,-1.0492511100445622e+17,2.0984638564183635e+17
BenchmarkUnmarshalDataset/example,"(1, 3, 1)",8845744.571123999,3,187619.33333333334,-985007852240.7578,674624847030.4794
BenchmarkUnmarshal/SimpleDocument/struct,"(1, 3, 1)",133051244.74529505,3,906.5333333333333,-79761929508.35995,40853458894.741516
BenchmarkUnmarshal/SimpleDocument/map,"(1, 3, 1)",673483462.5460935,3,1453.6666666666667,-642730910330.0833,336289549724.4213
BenchmarkUnmarshal/ReferenceFile/struct,"(1, 3, 1)",61245149.47822315,3,56158.333333333336,-2264008327300.163,1175417192147.7188
BenchmarkUnmarshal/ReferenceFile/map,"(1, 3, 1)",543138.889348798,3,83297.33333333333,-26970131791.278152,18271889321.10512
BenchmarkUnmarshal/HugoFrontMatter,"(1, 3, 1)",10939866.95947955,3,14388.666666666666,-99066540490.8876,58343558566.743805
BenchmarkMarshal/SimpleDocument/struct,"(1, 3, 1)",1136672.3173144124,3,485.8666666666666,-346182083.9065898,206089105.99923933
BenchmarkMarshal/SimpleDocument/map,"(1, 3, 1)",30992896378241.69,3,789.4,-7015780635.359467,2.4465785385203356e+16
BenchmarkMarshal/ReferenceFile/struct,"(1, 3, 1)",232060.78794370437,3,41448.333333333336,-5747328823.106906,3871204069.179734
BenchmarkMarshal/ReferenceFile/map,"(1, 3, 1)",31651541.214471165,3,57600.333333333336,-1092378162660.2587,730761161807.0187
BenchmarkMarshal/HugoFrontMatter,"(1, 3, 1)",52827058.48744849,3,10630.666666666666,-261293870855.154,300292978905.4151
