Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10Valid,"(3, 5, 5)",0.0031670363524341086,75,32.46,32.43,32.5
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.0013971960357746422,75,2758.0,2756.0,2761.0
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.0021401129466090004,75,2816493.0,2814474.0,2821286.0
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.0010455104551045178,75,21.68,21.67,21.69
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0012462654716176153,75,2343.0,2342.0,2344.0
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.001455138467831254,75,2346935.0,2345542.0,2348263.0
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.001796743169398858,75,3050.0,3045.0,3052.0
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.001923855220783523,75,3108052.0,3105860.0,3110319.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(3, 5, 5)",0.0017942094209419408,75,22.22,22.2,22.24
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.001356053687560555,75,2409.0,2407.0,2411.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0016951163042884213,75,2456043.0,2452972.0,2458565.0
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.0018890412263163443,75,35.01,34.98,35.06
BenchmarkParseBasicStringWithUnicode/4,"(3, 5, 5)",0.0036236587511000286,75,151.6,151.1,151.8
BenchmarkParseBasicStringWithUnicode/8,"(3, 5, 5)",0.2691386960664216,75,244.9,244.3,245.3
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.0013310651308305142,75,9.376,9.369,9.383
BenchmarkParseBasicStringsEasy/4,"(3, 5, 5)",0.0016556583003081691,75,15.14,15.12,15.15
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.001871571474668956,75,20.66,20.64,20.67
BenchmarkParseBasicStringsEasy/16,"(3, 5, 5)",0.16670543625459472,75,34.46,34.44,34.48
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.0012642792792791223,75,44.4,44.38,44.44
BenchmarkUnmarshalDataset/config,"(3, 5, 5)",0.005096973229369128,75,26133838.0,26087011.0,26210502.0
BenchmarkUnmarshalDataset/canada,"(3, 5, 5)",0.021352111211188893,75,124948411.0,123155278.0,126375798.0
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.16571895077410365,75,42418371.0,42193483.0,42879626.0
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.011459670653129505,75,15209557.0,15087111.0,15369403.0
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.021463389583052488,75,115205849.0,113945200.0,117119447.0
BenchmarkUnmarshalDataset/example,"(3, 5, 5)",0.008136380864768665,75,186971.0,186494.0,187321.0
BenchmarkUnmarshal/SimpleDocument/struct,"(3, 5, 5)",0.06544346514001685,75,751.1,749.5,758.5
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.1254898113207536,75,1007.0,1003.0,1030.0
BenchmarkUnmarshal/ReferenceFile/struct,"(3, 5, 5)",0.017400356667329416,75,55327.0,55196.0,55540.0
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.008981227566834098,75,83303.0,83168.0,83472.0
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.022703579996739186,75,14311.0,14240.0,14412.0
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.03834655751469332,75,476.4,474.7,494.2
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.027893039996400547,75,740.9,738.1,745.0
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.05683799977565177,75,41602.0,41526.0,41730.0
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.03934322612256321,75,57146.0,57008.0,57600.0
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.03282007686795642,75,10234.0,10198.0,10285.0
