Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkBuffers/ByteSlice,72,0.001386916751973048,0.0031899681003192317,0.00025329838549816225
BenchmarkBuffers/BytesBuffer,72,0.008530506539436176,0.016993553825473972,-0.012780040811626316
BenchmarkBuffers/CustomBuffer,72,0.07715585565185155,0.05703733325455527,0.10105275651873707
BenchmarkBufferedWriteSyncer/write_file_with_buffer,72,0.002722025449298124,0.004418251776203222,0.002497650349918021
BenchmarkMultiWriteSyncer/2_discarder,72,-0.0032263170479537168,-0.0032520328750299627,-0.0028184534331070266
BenchmarkMultiWriteSyncer/4_discarder,72,-0.0022209976120098262,-0.002284248032743342,-0.00260665030681955
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,72,-0.002247972417035465,-0.0037818957232671627,-0.0024161283707944095
BenchmarkWriteSyncer/write_file_with_no_buffer,72,-0.014411210999019104,0.018307604593226005,-0.05963501218436479
BenchmarkZapConsole,72,0.007998136980141155,0.013999999999999953,-0.0053690721659458915
BenchmarkJSONLogMarshalerFunc,72,-0.00457919572571889,0.0029520050632853576,-0.020908604798340717
BenchmarkZapJSON,72,-0.002379274898649822,-0.0011176076870394488,-0.005454798137724944
BenchmarkStandardJSON,72,-0.013147374966687435,-0.00869176520487458,-0.017676914214350192
BenchmarkSampler_Check/7_keys,72,0.0010601859403035132,0.0026084121291166927,-8.703172850451333e-05
BenchmarkSampler_Check/50_keys,72,-0.0011857078820655073,-0.001703528324767574,-0.001186565760342719
BenchmarkSampler_Check/100_keys,72,-0.0008245096337441472,-0.0001349540674193098,-0.0019245239335534201
BenchmarkSampler_CheckWithHook/7_keys,72,-0.0011140872780714159,-0.0004167890195036596,-0.0017319683432658604
BenchmarkSampler_CheckWithHook/50_keys,72,-0.0038255154175973484,-0.004914004914004885,-0.0032251432683165163
BenchmarkSampler_CheckWithHook/100_keys,72,-0.0012955472511307605,-0.002054280746019356,-0.0020812724025850585
BenchmarkTeeCheck,72,-0.014435410312686872,-0.01723168285600451,-0.010433917069848198
BenchmarkWriter/single,72,0.012506200882483354,0.02752553457539553,0.004692255849373649
BenchmarkWriter/splits,72,0.0006086672425134065,0.005608630149996219,-0.003575954231662458
