Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0012328148906427256,75,12.1132,12.106933333333332,12.121333333333334
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.011268808420974337,75,14.364133333333333,14.281999333333335,14.44706866666667
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.05235034069621431,75,12.953866666666668,12.616265333333333,13.291868000000001
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.004584907516725717,75,60.984,60.856931333333314,61.141467333333324
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.005684918820070451,75,39.59106666666667,39.49933333333334,39.72600200000001
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.0030655253935650707,75,55.89079999999999,55.809997333333335,55.980268
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.0064012606276690346,75,54.44906666666667,54.30106599999999,54.649606000000006
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.01507822099327092,75,623.9586666666667,618.9119933333334,628.3760066666666
BenchmarkZapConsole,"(3, 5, 5)",0.007628825414160673,75,1660.3866666666668,1653.72,1666.7335333333333
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.011578098142045707,75,487.1306666666666,484.21329333333324,490.0280133333333
BenchmarkZapJSON,"(3, 5, 5)",0.005058904378558786,75,1154.4133333333334,1151.4666666666667,1157.3067333333333
BenchmarkStandardJSON,"(3, 5, 5)",0.01414236475082168,75,3752.3333333333335,3726.5998666666665,3780.5866666666666
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.0009623226227368411,75,24.523999999999997,24.512399333333335,24.53573333333333
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.0022991406027827576,75,27.6628,27.642933333333335,27.706667333333332
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0007425408397461685,75,27.6528,27.643066666666673,27.663866666666667
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.001915305662881786,75,28.124666666666666,28.098800000000004,28.152
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.0023449682062869973,75,31.159200000000002,31.130000000000006,31.204801333333343
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.004784545788829747,75,31.18373333333333,31.13426666666667,31.285067333333338
BenchmarkTeeCheck,"(3, 5, 5)",0.011139903942080418,75,748.4373333333332,744.4519599999999,752.7333600000001
BenchmarkWriter/single,"(3, 5, 5)",0.006501161849559762,75,255.34,254.58266666666663,256.22400666666664
BenchmarkWriter/splits,"(3, 5, 5)",0.005549680225922893,75,297.9186666666667,297.164,298.80803333333336
