Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkBuffers/ByteSlice,72,-0.00040698697641692965,-0.0010989010989012706,-0.00022015520942261874
BenchmarkBuffers/BytesBuffer,72,0.014120786464800006,0.015381544303398319,0.007593190607889734
BenchmarkBuffers/CustomBuffer,72,-0.04492995124359685,0.045144057694358086,-0.08092114308689756
BenchmarkBufferedWriteSyncer/write_file_with_buffer,72,0.00010548824575243823,0.0026777186954711004,-0.005047723448060265
BenchmarkMultiWriteSyncer/2_discarder,72,-2.7076606488725397e-05,0.0025735422817955607,-0.0018580951953240722
BenchmarkMultiWriteSyncer/4_discarder,72,0.0010010010010007623,0.000805162654873725,0.0009610382103011158
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,72,-0.003247748023776017,0.004082621096559075,-0.012503451295218891
BenchmarkWriteSyncer/write_file_with_no_buffer,72,-0.0325856636254844,0.011181795446061746,-0.07303321091348472
BenchmarkZapConsole,72,0.013314551300417131,0.017822260115870316,0.011125616424226133
BenchmarkJSONLogMarshalerFunc,72,0.009339501112542605,0.014281195774890523,0.000478820162297054
BenchmarkZapJSONFloat32AndComplex64,72,-0.009863094851787262,-0.009135390438989614,-0.009255906835577338
BenchmarkZapJSON,72,-0.006212553337312909,0.007027382388041054,-0.018764648828434868
BenchmarkStandardJSON,72,-0.012548304147333015,-0.013355127234194035,-0.009724764716384173
BenchmarkSampler_Check/7_keys,72,-0.0001359804188197112,0.00034785255399878034,-0.0007238764946960645
BenchmarkSampler_Check/50_keys,72,-0.0006320685529007873,-0.0012146165306366665,-0.00047320592183399107
BenchmarkSampler_Check/100_keys,72,-0.0010176717984335735,-0.0013638028413361838,-0.0006032818532820761
BenchmarkSampler_CheckWithHook/7_keys,72,-0.0029164457238089856,-0.004622221378675217,-0.001617716126400316
BenchmarkSampler_CheckWithHook/50_keys,72,-0.0027426449194751005,-0.00336066867923215,-0.002592039643367213
BenchmarkSampler_CheckWithHook/100_keys,72,-0.0006125036407560388,-0.00033792598993059533,-0.0013760604913612908
BenchmarkTeeCheck,72,0.03740707952166157,0.07117949225521064,-0.007103371918849039
BenchmarkWriter/single,72,-0.0014213493127452049,-0.0031028892300754944,-0.0010037995857103544
BenchmarkWriter/splits,72,0.005942587162540983,0.021874226634036466,-0.0031328465135565683
