Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0008257638315441608,75,12.11,12.11,12.12
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.011913104414856338,75,14.27,14.16,14.66
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.002159827213822848,75,13.89,11.64,13.9
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.005282271376691982,75,60.58,60.47,60.78
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.0025425883549453705,75,39.33,39.26,39.38
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.0019866353621094354,75,55.37,55.31,55.43
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.004227941176470662,75,54.4,54.26,54.5
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.008911211924821775,75,617.2,614.8,620.6
BenchmarkZapConsole,"(3, 5, 5)",0.007761194029850746,75,1675.0,1668.0,1684.0
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.011602320464092842,75,499.9,497.0,504.0
BenchmarkZapJSONFloat32AndComplex64,"(3, 5, 5)",0.009589041095890467,75,803.0,797.7,805.6
BenchmarkZapJSON,"(3, 5, 5)",0.01077943615257048,75,1206.0,1199.0,1217.0
BenchmarkStandardJSON,"(3, 5, 5)",0.011360562618339193,75,3697.0,3675.0,3721.0
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.0008163265306122275,75,24.5,24.49,24.51
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.0007243752263672429,75,27.61,27.6,27.62
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0007238508867173208,75,27.63,27.61,27.65
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.001778726431874803,75,28.11,28.08,28.13
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.0012857602057216055,75,31.11,31.1,31.14
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.0009643201542912613,75,31.11,31.09,31.13
BenchmarkTeeCheck,"(3, 5, 5)",0.042872312184762354,75,753.4,728.9,766.4
BenchmarkWriter/single,"(3, 5, 5)",0.0036466774716369756,75,246.8,246.5,247.7
BenchmarkWriter/splits,"(3, 5, 5)",0.003799654576856728,75,289.5,288.8,290.3
