Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBoolsArrayMarshaler,"(1, 3, 1)",0.0012747875354107326,3,706.0,705.1,708.8
BenchmarkBoolsReflect,"(1, 3, 1)",0.0026402640264026403,3,1515.0,1511.0,1532.0
BenchmarkNoContext,"(1, 3, 1)",0.002171814671814754,3,414.4,413.3,415.3
BenchmarkBoolField,"(1, 3, 1)",0.018065268065267977,3,514.8,505.5,532.3
BenchmarkByteStringField,"(1, 3, 1)",0.0038300835654594915,3,574.4,572.2,598.2
BenchmarkFloat64Field,"(1, 3, 1)",0.006107802717972209,3,654.9,641.9,658.9
BenchmarkIntField,"(1, 3, 1)",0.0003815337657381377,3,524.2,510.7,524.4
BenchmarkInt64Field,"(1, 3, 1)",0.0020183486238532526,3,545.0,543.9,558.4
BenchmarkStringField,"(1, 3, 1)",0.003927435945389768,3,534.7,521.6,536.8
BenchmarkStringerField,"(1, 3, 1)",0.0009238728750923872,3,541.2,540.7,551.4
BenchmarkTimeField,"(1, 3, 1)",0.0035124692658939235,3,569.4,567.4,609.2
BenchmarkDurationField,"(1, 3, 1)",0.010161585873729841,3,600.3,592.2,606.4
BenchmarkErrorField,"(1, 3, 1)",0.004141159524666825,3,555.4,553.1,574.1
BenchmarkErrorsField,"(1, 3, 1)",0.009389671361502348,3,1065.0,1054.0,1075.0
BenchmarkStackField,"(1, 3, 1)",0.001336898395721925,3,2992.0,2972.0,2996.0
BenchmarkObjectField,"(1, 3, 1)",0.002515406867060747,3,795.1,793.1,855.1
BenchmarkReflectField,"(1, 3, 1)",0.0012539184952978057,3,1595.0,1567.0,1597.0
BenchmarkAddCallerHook,"(1, 3, 1)",0.001141552511415525,3,1752.0,1740.0,1754.0
BenchmarkAddCallerAndStacktrace,"(1, 3, 1)",0.0016823687752355316,3,2972.0,2967.0,2979.0
Benchmark10Fields,"(1, 3, 1)",0.008035714285714285,3,1120.0,1111.0,1148.0
Benchmark100Fields,"(1, 3, 1)",0.0032733224222585926,3,4277.0,4263.0,4446.0
BenchmarkTakeStacktrace,"(1, 3, 1)",0.004074505238649592,3,1718.0,1711.0,1742.0
BenchmarkSugarSingleStrArg,"(1, 3, 1)",0.0006357279084551812,3,786.5,786.0,796.1
BenchmarkLnSugarSingleStrArg,"(1, 3, 1)",0.042490118577075096,3,1012.0,924.4,1055.0
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0,3,12.1,12.1,12.12
BenchmarkBuffers/BytesBuffer,"(1, 3, 1)",0.007802340702210612,3,15.38,14.31,15.5
BenchmarkBuffers/CustomBuffer,"(1, 3, 1)",0.006849315068493157,3,11.68,11.6,13.86
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 1)",0.005930193154862782,3,59.02,58.67,59.91
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.0015224562293832827,3,39.41,39.35,39.51
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.002695417789757387,3,55.65,55.27,55.8
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(1, 3, 1)",0.00519866320089122,3,53.86,53.33,54.14
BenchmarkWriteSyncer/write_file_with_no_buffer,"(1, 3, 1)",0.002664159222692261,3,638.1,632.2,639.8
BenchmarkZapConsole,"(1, 3, 1)",0.009667673716012085,3,1655.0,1639.0,1688.0
BenchmarkJSONLogMarshalerFunc,"(1, 3, 1)",0.006555423122765107,3,503.4,500.1,508.3
BenchmarkZapJSONFloat32AndComplex64,"(1, 3, 1)",0.010193808205386387,3,794.6,786.5,811.3
BenchmarkZapJSON,"(1, 3, 1)",0.007323026851098454,3,1229.0,1214.0,1238.0
BenchmarkStandardJSON,"(1, 3, 1)",0.006423982869379015,3,3736.0,3681.0,3760.0
BenchmarkSampler_Check/7_keys,"(1, 3, 1)",0.0,3,24.49,24.49,24.51
BenchmarkSampler_Check/50_keys,"(1, 3, 1)",0.0,3,27.49,27.49,27.51
BenchmarkSampler_Check/100_keys,"(1, 3, 1)",0.0014545454545454234,3,27.5,27.43,27.54
BenchmarkSampler_CheckWithHook/7_keys,"(1, 3, 1)",0.001067235859124907,3,28.11,28.03,28.14
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.0032102728731941534,3,31.15,31.05,32.11
BenchmarkSampler_CheckWithHook/100_keys,"(1, 3, 1)",0.0006424670735624662,3,31.13,31.1,31.15
BenchmarkTeeCheck,"(1, 3, 1)",0.022016852405544893,3,735.8,719.6,816.6
BenchmarkWriter/single,"(1, 3, 1)",0.0007964954201514021,3,251.1,250.5,251.3
BenchmarkWriter/splits,"(1, 3, 1)",0.009850543478260794,3,294.4,291.5,298.9
