Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,72,-0.04109073655678898,-0.054118746557055925,-0.02821767842297872
BenchmarkParseTextGzip,72,-0.01850861887028265,-0.03260178513594598,-0.006934394133357871
BenchmarkParseProto,72,-0.0525259613234602,-0.0722463839410737,-0.03427869489517646
BenchmarkParseProtoGzip,72,-0.0665965617250689,-0.09101516437296431,-0.04438485339091317
BenchmarkParseProtoMap,72,-0.027491210985780216,-0.04479724625587455,-0.013603976634251105
BenchmarkDiscriminatorHTTPHeader,72,-0.03843292465182715,-0.060660161254635664,-0.018761301296833854
BenchmarkOpenMetricsCreate,72,-0.04624653213917995,-0.06379525617318653,-0.029630042679575214
BenchmarkCreate,72,-0.04179832331829554,-0.06125590689219819,-0.02457500901017802
BenchmarkCreateBuildInfo,72,-0.08444604835799352,-0.09634867168699794,-0.0632481575842057
BenchmarkTextParse,72,-0.04606228359780822,-0.07158024126310875,-0.022950492465359074
BenchmarkParseError,72,-0.028638297474874768,-0.04261798343741994,-0.014889194319700743
BenchmarkLabelNames,72,-0.05355846735683994,-0.07505199515874864,-0.031238673803553715
BenchmarkLabelValues,72,-0.03769225174418277,-0.0583853358115049,-0.01917134871128863
BenchmarkMetric,72,-0.045096038876273795,-0.06288238822720726,-0.028101067408793104
BenchmarkLabelToSignatureScalar,72,-0.01901804162677032,-0.03344656303737787,-0.006359205313387527
BenchmarkLabelToSignatureSingle,72,-0.036887059656576536,-0.0625608550218146,-0.01698697571574819
BenchmarkLabelToSignatureDouble,72,-0.04744308888915824,-0.06728024426716371,-0.02797453710863812
BenchmarkLabelToSignatureTriple,72,-0.04065116063353663,-0.05654623690059266,-0.024011077716698134
BenchmarkMetricToFingerprintScalar,72,-0.011677555778458625,-0.018397117329331514,-0.005288489740942204
BenchmarkMetricToFingerprintSingle,72,-0.07219630906509822,-0.10293788998033294,-0.04115141457814805
BenchmarkMetricToFingerprintDouble,72,-0.014659824157578978,-0.025925893222702924,-0.005791072108832603
BenchmarkMetricToFingerprintTriple,72,-0.035578723144703,-0.05247575747555359,-0.020944737339736976
BenchmarkMetricToFastFingerprintScalar,72,-0.04422052578610184,-0.06729820144601055,-0.02291945946628757
BenchmarkMetricToFastFingerprintSingle,72,-0.03769219371530804,-0.051646961960825494,-0.022213645516132648
BenchmarkMetricToFastFingerprintDouble,72,-0.05457654676626578,-0.07476813937883475,-0.03791003477477225
BenchmarkMetricToFastFingerprintTriple,72,-0.04537671232876733,-0.060389795565675176,-0.028735374373512635
BenchmarkEmptyLabelSignature,72,-0.2997501681560489,-0.3122177884457632,-0.2761171582443537
BenchmarkMetricToFastFingerprintTripleConc1,72,-0.057207227606194906,-0.07770234596217925,-0.03665728939741587
BenchmarkMetricToFastFingerprintTripleConc2,72,0.007948833686530191,0.0025300599380449554,0.014203024893558824
BenchmarkMetricToFastFingerprintTripleConc4,72,0.007555390038720754,0.0026101919492459457,0.01394455250473542
BenchmarkMetricToFastFingerprintTripleConc8,72,0.007899997959974956,0.003422708146392506,0.013400549303518304
