Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",28086967.667087488,3,499379.6666666667,-6880142013398.19,7145918537869.403
BenchmarkParseTextGzip,"(1, 3, 1)",2216417.8365734597,3,558193.3333333334,-534626932450.0778,702562727806.317
BenchmarkParseProto,"(1, 3, 1)",4505814.563242491,3,135707.66666666666,-261284565489.52655,350189015320.7976
BenchmarkParseProtoGzip,"(1, 3, 1)",18605222.199577417,3,178767.66666666666,-1412386012602.7961,1913626147830.5261
BenchmarkParseProtoMap,"(1, 3, 1)",1550124.7557017016,3,142942.0,-118976846631.61462,102601086197.898
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",17574.958130136245,3,6031.666666666667,-40377316.57013299,65628972.551472135
BenchmarkOpenMetricsCreate,"(1, 3, 1)",191332.39299668287,3,6064.333333333333,-620433952.7632623,539869455.8329548
BenchmarkCreate,"(1, 3, 1)",103822.77603316512,3,5596.0,-273402523.85016096,307589730.8314311
BenchmarkCreateBuildInfo,"(1, 3, 1)",1854130278846.7058,3,253.70000000000002,-34385282.50346779,470392817358126.8
BenchmarkTextParse,"(1, 3, 1)",1406394.345726158,3,161860.66666666666,-142480349345.5807,85159577049.88571
BenchmarkParseError,"(1, 3, 1)",895645.9444352498,3,51304.333333333336,-29304040666.912533,16646477415.041666
BenchmarkLabelNames,"(1, 3, 1)",67028740202.60511,3,231.23333333333332,-1179968.0593161911,15499277846214.328
BenchmarkLabelValues,"(1, 3, 1)",1928613064.2502182,3,229.33333333333334,-7468.670255861896,442295255266.0465
BenchmarkMetric,"(1, 3, 1)",27856.07272368096,3,1160.6666666666667,-17511797.498751674,14819817.575867368
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",2.207052028393722,3,2.076333333333333,-0.46954205275336225,4.113033642201469
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",81396591629.38873,3,116.06666666666666,-9447430788804.957,279646.0955312528
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",688.414470416883,3,209.66666666666666,-96015.37819827371,48322.189099132745
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",6293.898248653583,3,275.8,-1060525.783709174,675331.3532694842
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",22.833505448746145,3,1.9443333333333335,-26.008669553124328,18.387276207721094
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",53622082438.581474,3,115.89999999999999,-144106.15101856212,6214799210525.441
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",54106722963.743835,3,208.9,-458811.79670112615,11302893968314.291
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",3624.0957571526237,3,274.06666666666666,-449050.52935783414,544193.3144857949
BenchmarkMetricToFastFingerprintScalar,"(1, 3, 1)",11.837813205452903,3,2.0766666666666667,-9.629615280947945,14.953576809042584
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",4237.250363810161,3,56.28666666666667,-155274.93768716042,83225.76112383413
BenchmarkMetricToFastFingerprintDouble,"(1, 3, 1)",3781.927293349422,3,83.88666666666666,-131427.0859779222,185826.18823684962
BenchmarkMetricToFastFingerprintTriple,"(1, 3, 1)",523199804989.7756,3,111.5,-40387000331214.3,17949777925145.68
BenchmarkEmptyLabelSignature,"(1, 3, 1)",0.46824273936784816,3,1.9433333333333332e-05,1.434454136433875e-05,2.3444058599387266e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",11950337121.968147,3,111.03333333333335,-442295254925.23987,884590510183.9568
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",0.0,3,105.40000000000002,105.40000000000002,105.40000000000002
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",2099502811.1663685,3,105.33333333333333,-221147627413.02325,2029.8342306321406
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",189.7533206831173,3,105.40000000000002,-9894.599999998154,10105.400000002415
