Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 1)",16642642.94429396,3,563833.6666666666,-5638977974852.515,3744704419452.878
BenchmarkParseTextGzip,"(1, 3, 1)",6829501.02052991,3,640586.0,-2857836430341.5923,1517046310395.5808
BenchmarkParseProto,"(1, 3, 1)",7344020.043424242,3,164105.33333333334,-756119709287.638,449073147945.1786
BenchmarkParseProtoGzip,"(1, 3, 1)",2636945.8135200185,3,225973.66666666666,-205027603517.39813,390852710765.03674
BenchmarkParseProtoMap,"(1, 3, 1)",20128466.434761457,3,171268.33333333334,-1934968920583.3481,1512399978254.189
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",120676.10588945747,3,7080.666666666667,-382071784.5683191,472395495.8662995
BenchmarkOpenMetricsCreate,"(1, 3, 1)",80670.96010574729,3,7202.0,-307576932.8314311,273415321.85016096
BenchmarkCreate,"(1, 3, 1)",32323.004141161644,3,6815.666666666667,-80770885.69352615,139531936.1979179
BenchmarkCreateBuildInfo,"(1, 3, 1)",47272.7466164207,3,323.9,-9073242.102405205,6238400.526653457
BenchmarkTextParse,"(1, 3, 1)",4398873.366284505,3,201977.66666666666,-419742611667.1734,468731566817.11633
BenchmarkParseError,"(1, 3, 1)",7865828.568287683,3,58367.333333333336,-201787669299.72916,257319768688.37408
BenchmarkLabelNames,"(1, 3, 1)",6084.015825906367,3,279.63333333333327,-1007894.3669339402,693399.25851701
BenchmarkLabelValues,"(1, 3, 1)",4743.604119029697,3,272.6333333333333,-700245.6932834276,593018.9097013689
BenchmarkMetric,"(1, 3, 1)",6110.565556162817,3,1362.6666666666667,-4855857.998754153,3470805.9991103793
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",8.119829436704155,3,2.3753333333333337,-9.41135093010083,9.875950591883775
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",1692.7470776826988,3,149.1,-108017.43826392591,144371.15101856447
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",1027412824932.71,3,247.0,-203016774206459.38,50754193551920.0
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",1390.9956896347817,3,319.1666666666667,-164110.26207719275,279849.1955312417
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.2729358347886064,3,2.1153333333333335,1.7304331538736677,2.3077834230631664
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",22723.03887106014,3,149.33333333333334,-1783512.1110411417,1609795.0270371723
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",66103418412.83549,3,246.79999999999998,-16314322187524.826,1476762.9699080528
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",10459.672384714799,3,320.96666666666664,-2058765.490245042,1298440.6895022509
BenchmarkMetricToFastFingerprintScalar,"(1, 3, 1)",7.155615919253923,3,2.561666666666667,-7.621834877678209,10.708467902143925
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",7851.514593755873,3,65.67666666666668,-175440.1014380629,340221.20536451036
BenchmarkMetricToFastFingerprintDouble,"(1, 3, 1)",19684639480.577602,3,101.26666666666667,-48470.939987543716,1993397776262.2188
BenchmarkMetricToFastFingerprintTriple,"(1, 3, 1)",5677.270907634779,3,132.0,-312117.8999199158,437281.859887875
BenchmarkEmptyLabelSignature,"(1, 3, 1)",978408802982718.5,3,3.5233333333333334e-05,-34472603491.75753,0.0002547695133516552
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",2019.4238466142094,3,131.23333333333335,-100827.13725866438,164188.58554534038
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",48671753.10560491,3,99.02666666666669,-4819800700.747975,770.123060913385
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",20.920593548895923,3,99.35000000000001,-593.4703230274393,1484.990646055371
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 1)",532400147967605.25,3,125.92,-2358014709.1540456,6.703982427406614e+16
