Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0008250825082508075,3,12.12,12.11,12.16
BenchmarkBuffers/BytesBuffer,"(1, 3, 1)",0.0013633265167007208,3,14.67,14.1,14.69
BenchmarkBuffers/CustomBuffer,"(1, 3, 1)",0.0021551724137930574,3,13.92,13.89,14.05
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 1)",0.0003277076847452585,3,61.03,61.01,61.41
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.00025380710659893426,3,39.4,39.39,39.6
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.001075461552249548,3,55.79,55.66,55.85
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(1, 3, 1)",0.0012874747103181954,3,54.37,54.17,54.44
BenchmarkWriteSyncer/write_file_with_no_buffer,"(1, 3, 1)",0.027131160699951803,3,622.9,582.2,639.8
BenchmarkZapConsole,"(1, 3, 1)",0.002372479240806643,3,1686.0,1645.0,1690.0
BenchmarkJSONLogMarshalerFunc,"(1, 3, 1)",0.005112474437627812,3,489.0,474.2,491.5
BenchmarkZapJSON,"(1, 3, 1)",0.0017331022530329288,3,1154.0,1145.0,1156.0
BenchmarkStandardJSON,"(1, 3, 1)",0.010807889759524453,3,3701.0,3661.0,3747.0
BenchmarkSampler_Check/7_keys,"(1, 3, 1)",0.001222493887530464,3,24.54,24.51,24.6
BenchmarkSampler_Check/50_keys,"(1, 3, 1)",0.0003620564808110631,3,27.62,27.61,27.66
BenchmarkSampler_Check/100_keys,"(1, 3, 1)",0.0007235890014471626,3,27.64,27.59,27.66
BenchmarkSampler_CheckWithHook/7_keys,"(1, 3, 1)",0.0014239943040227536,3,28.09,28.05,28.14
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.00032216494845354416,3,31.04,31.03,31.05
BenchmarkSampler_CheckWithHook/100_keys,"(1, 3, 1)",0.002247912652536939,3,31.14,31.07,31.22
BenchmarkTeeCheck,"(1, 3, 1)",0.00013574046423241854,3,736.7,736.6,739.6
BenchmarkWriter/single,"(1, 3, 1)",0.0027290448343079477,3,256.5,255.8,263.3
BenchmarkWriter/splits,"(1, 3, 1)",0.005374538125629714,3,297.7,296.1,300.5
