Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0,3,12.12,12.12,12.12
BenchmarkBuffers/BytesBuffer,"(1, 3, 1)",0.016642363675849307,3,14.323333333333332,14.14,14.660000000000002
BenchmarkBuffers/CustomBuffer,"(1, 3, 1)",0.0014077527257374287,3,11.6,11.58,11.62
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 1)",0.006509215561895745,3,60.95000000000001,60.64000000000001,61.51
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.002923376064834361,3,39.4,39.25,39.53
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.0011170342683083415,3,55.346666666666664,55.26,55.4
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(1, 3, 1)",0.0028443364024001647,3,54.56666666666666,54.38,54.76
BenchmarkWriteSyncer/write_file_with_no_buffer,"(1, 3, 1)",0.033704027025787814,3,611.2333333333332,582.1,626.0
BenchmarkZapConsole,"(1, 3, 1)",0.009497074284291203,3,1676.6666666666667,1657.0,1696.0
BenchmarkJSONLogMarshalerFunc,"(1, 3, 1)",0.008111599056580114,3,507.2,503.8999999999999,513.0
BenchmarkZapJSON,"(1, 3, 1)",0.007810217093027998,3,1211.6666666666667,1204.0,1225.0
BenchmarkStandardJSON,"(1, 3, 1)",0.011677845857195576,3,3694.6666666666665,3650.0,3753.0
BenchmarkSampler_Check/7_keys,"(1, 3, 1)",0.0007685943273766658,3,24.53333333333333,24.52,24.56
BenchmarkSampler_Check/50_keys,"(1, 3, 1)",0.0008525521837310797,3,27.646666666666665,27.63,27.679999999999996
BenchmarkSampler_Check/100_keys,"(1, 3, 1)",0.0011932853105848463,3,27.653333333333332,27.61,27.69
BenchmarkSampler_CheckWithHook/7_keys,"(1, 3, 1)",0.014616498041957748,3,28.403333333333332,28.09,28.99
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.004417296760385808,3,31.00333333333333,30.81,31.11
BenchmarkSampler_CheckWithHook/100_keys,"(1, 3, 1)",0.0010602436474897595,3,31.123333333333335,31.08,31.16
BenchmarkTeeCheck,"(1, 3, 1)",0.07645295774461815,3,798.3666666666667,723.1,872.6
BenchmarkWriter/single,"(1, 3, 1)",0.0036885133460647958,3,243.83333333333334,243.1,245.1
BenchmarkWriter/splits,"(1, 3, 1)",0.0030004622487069103,3,286.7,285.7,287.8
