Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 1, 1)",0.000287761619895271,3,493464.0,493322.0,493767.0
BenchmarkParseTextGzip,"(3, 1, 1)",0.001052883378215281,3,551818.0,551237.0,552810.0
BenchmarkParseProto,"(1, 3, 1)",0.0003909967466119763,3,135551.0,134406.0,135604.0
BenchmarkParseProtoGzip,"(3, 1, 1)",0.004410335354034754,3,177991.0,177206.0,179084.0
BenchmarkParseProtoMap,"(3, 1, 1)",0.003693850332725838,3,143211.0,142520.0,143740.0
BenchmarkDiscriminatorHTTPHeader,"(1, 3, 1)",0.0005022601707684581,3,5973.0,5970.0,5978.0
BenchmarkOpenMetricsCreate,"(3, 1, 1)",0.0052761747732893655,3,6065.0,6033.0,6107.0
BenchmarkCreate,"(3, 1, 1)",0.004097630500623553,3,5613.0,5563.0,5636.0
BenchmarkCreateBuildInfo,"(1, 3, 1)",0.00039651070578914646,3,252.2,250.8,252.3
BenchmarkTextParse,"(1, 3, 1)",0.002843560610774419,3,160714.0,159820.0,161171.0
BenchmarkParseError,"(1, 3, 1)",9.799310128566949e-05,3,51024.0,51019.0,51466.0
BenchmarkLabelNames,"(3, 1, 1)",0.001745962461807096,3,229.1,228.7,230.6
BenchmarkLabelValues,"(1, 3, 1)",0.0,3,228.5,228.5,228.5
BenchmarkMetric,"(3, 1, 1)",0.0008673026886383347,3,1153.0,1152.0,1168.0
BenchmarkLabelToSignatureScalar,"(3, 1, 1)",0.0,3,2.073,2.072,2.073
BenchmarkLabelToSignatureSingle,"(3, 1, 1)",0.004332755632582322,3,115.4,114.9,116.8
BenchmarkLabelToSignatureDouble,"(1, 3, 1)",0.00477326968973747,3,209.5,208.4,210.5
BenchmarkLabelToSignatureTriple,"(1, 3, 1)",0.002567865003668545,3,272.6,271.9,275.9
BenchmarkMetricToFingerprintScalar,"(1, 3, 1)",0.0005157297576070716,3,1.939,1.938,1.944
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",0.0008710801393727729,3,114.8,114.7,115.5
BenchmarkMetricToFingerprintDouble,"(1, 3, 1)",0.00047824007651838505,3,209.1,208.5,209.2
BenchmarkMetricToFingerprintTriple,"(3, 1, 1)",0.0007320644216690653,3,273.2,273.0,274.1
BenchmarkMetricToFastFingerprintScalar,"(3, 1, 1)",0.00048146364949441014,3,2.077,2.072,2.078
BenchmarkMetricToFastFingerprintSingle,"(1, 3, 1)",0.0005372492836675149,3,55.84,55.69,55.87
BenchmarkMetricToFastFingerprintDouble,"(3, 1, 1)",0.000603791812582987,3,82.81,82.76,84.1
BenchmarkMetricToFastFingerprintTriple,"(3, 1, 1)",0.0009099181073704142,3,109.9,109.8,110.3
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.13744075829383884,75,2.1099999999999998e-05,1.99e-05,2.385e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 1)",0.0018165304268845473,3,110.1,109.9,112.1
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 3, 1)",0.0,3,105.3,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 3, 1)",0.0,3,105.3,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 1, 1)",0.0009505703422052691,3,105.2,104.8,105.3
