Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0008253094910591296,3,12.116666666666665,12.11,12.12
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.011081806052295001,75,14.390133333333333,14.313333333333333,14.4664
BenchmarkBuffers/CustomBuffer,"(2, 2, 1)",0.1839530332681019,4,12.774999999999999,11.6025,13.9525
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 1)",0.013184639894522834,3,60.67666666666667,60.21,61.01
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.008377051954645411,3,39.39333333333334,39.25,39.58
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.0019831730769231948,3,55.46666666666667,55.41,55.52
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 1, 1)",0.016644311669308562,3,54.673333333333325,54.32,55.23
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.024775336780738465,75,607.2199999999999,598.9385533333332,614.21078
BenchmarkZapConsole,"(3, 5, 3)",0.008481493261241098,45,1676.8666666666666,1669.8443333333332,1684.1333333333334
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.010026416229279472,75,500.95466666666664,498.4853266666666,503.43335333333346
BenchmarkZapJSON,"(1, 3, 1)",0.03337041156840934,3,1198.6666666666667,1179.0,1219.0
BenchmarkStandardJSON,"(3, 5, 5)",0.012142728879056429,75,3712.5866666666666,3691.599533333333,3737.2670000000003
BenchmarkSampler_Check/7_keys,"(3, 1, 1)",0.002042205582028765,3,24.483333333333334,24.459999999999997,24.51
BenchmarkSampler_Check/50_keys,"(1, 3, 1)",0.0010863005431500556,3,27.616666666666664,27.600000000000005,27.63
BenchmarkSampler_Check/100_keys,"(3, 1, 1)",0.0007241129616219976,3,27.62,27.61,27.63
BenchmarkSampler_CheckWithHook/7_keys,"(1, 3, 1)",0.001780626780626806,3,28.08,28.06,28.11
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.0025742786656655038,3,31.076666666666664,31.040000000000003,31.12
BenchmarkSampler_CheckWithHook/100_keys,"(3, 1, 1)",0.0016085790884718728,3,31.083333333333332,31.06,31.11
BenchmarkTeeCheck,"(1, 3, 1)",0.10527429732475445,3,787.4666666666667,742.5,825.4
BenchmarkWriter/single,"(2, 2, 1)",0.006592960746526017,4,246.475,245.7,247.325
BenchmarkWriter/splits,"(1, 4, 4)",0.01726797694821929,16,290.65,288.54375,293.631375
