Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0010310436447434172,3,12.096666666666666,12.08,12.11
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.018434517067177022,75,14.359199999999998,14.281199333333332,14.43773466666667
BenchmarkBuffers/CustomBuffer,"(3, 1, 1)",0.08170033432013483,3,13.126666666666667,11.61,13.89
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 1)",0.013198469008541254,3,60.31666666666666,59.24,61.14000000000001
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.0012643978636924116,3,39.28,39.24,39.35
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.002042923167025073,3,55.379999999999995,55.29999999999999,55.54
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 1, 1)",0.0006778374358506782,3,54.31666666666666,54.27,54.35999999999999
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 1, 3)",0.0069646088010478,9,633.0333333333333,629.5221666666665,636.889
BenchmarkZapConsole,"(3, 1, 1)",0.018934072091207007,3,1668.6666666666667,1624.0,1692.0
BenchmarkJSONLogMarshalerFunc,"(3, 1, 1)",0.008619869342708633,3,510.8,507.2,517.0
BenchmarkZapJSON,"(1, 3, 1)",0.00349258268685094,3,1199.6666666666667,1194.0,1204.0
BenchmarkStandardJSON,"(1, 3, 1)",0.005761093902601726,3,3696.6666666666665,3667.0,3716.0
BenchmarkSampler_Check/7_keys,"(3, 1, 1)",0.0013527596251177514,3,24.393333333333334,24.37,24.44
BenchmarkSampler_Check/50_keys,"(1, 3, 1)",0.0006192639681312371,3,27.44666666666667,27.429999999999996,27.47
BenchmarkSampler_Check/100_keys,"(3, 1, 1)",0.0011243475382511942,3,27.493333333333336,27.45,27.52
BenchmarkSampler_CheckWithHook/7_keys,"(1, 3, 1)",0.015178132261469118,3,28.450000000000003,28.12,29.06
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.015670318474504702,3,31.463333333333335,31.09,32.16
BenchmarkSampler_CheckWithHook/100_keys,"(3, 1, 1)",0.0008016405756344643,3,31.116666666666664,31.09,31.149999999999995
BenchmarkTeeCheck,"(1, 3, 1)",0.05678193015663914,3,760.5666666666666,721.7000000000002,820.7999999999998
BenchmarkWriter/single,"(2, 2, 1)",0.009046915765775742,4,245.225,242.975,247.85
BenchmarkWriter/splits,"(1, 3, 1)",0.001887914716056554,3,283.59999999999997,282.9,284.2
