Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 2)",0.003817191862410522,6,12.100000000000001,12.076905989232422,12.12309401076759
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.02244288606451509,75,14.797200000000002,14.641684464139713,14.963276613334845
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.054304316080024284,75,12.907733333333335,12.541179756187422,13.23486380279138
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 4, 2)",0.03636919290102062,8,59.6,58.95194850459026,61.205848477660275
BenchmarkMultiWriteSyncer/2_discarder,"(1, 4, 2)",0.00884053419741933,8,39.43875,39.35264007522651,39.669647115511744
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 3)",0.00717893825651746,9,55.68111111111111,55.44261234710059,55.846904793703956
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(1, 3, 2)",0.020872951253487596,6,53.86500000000001,53.137567428887046,54.26188894815616
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.029150221673345737,75,623.8679999999999,612.4983985795001,630.6193195929205
BenchmarkZapConsole,"(3, 4, 5)",0.010759155355543963,60,1667.55,1658.2516786324697,1675.86444161717
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.011854972060047332,75,499.176,496.2786386672926,502.31252045022853
BenchmarkZapJSON,"(3, 5, 1)",0.02667793816846421,15,1207.4666666666667,1189.6862871133026,1221.697939155457
BenchmarkStandardJSON,"(3, 5, 5)",0.01558870448964165,75,3751.3866666666668,3726.7555983867533,3785.405992201458
BenchmarkSampler_Check/7_keys,"(1, 5, 1)",4.7799670257880065,5,24.483999999999998,-92.47753213771334,24.555180521680196
BenchmarkSampler_Check/50_keys,"(1, 5, 1)",1.9523553022848394,5,27.496,27.47967006838144,81.16163146000538
BenchmarkSampler_Check/100_keys,"(1, 5, 1)",6.880948724918407,5,27.503999999999998,27.141889519621436,216.3955032497773
BenchmarkSampler_CheckWithHook/7_keys,"(2, 4, 1)",0.005953180876450345,8,28.09375,28.022418316652626,28.183862976913392
BenchmarkSampler_CheckWithHook/50_keys,"(3, 1, 2)",0.00975728859536084,6,31.10166666666667,31.023341860080276,31.33207800040713
BenchmarkSampler_CheckWithHook/100_keys,"(2, 3, 1)",0.0037127488107874295,6,31.12,31.02762395692967,31.177747815717783
BenchmarkTeeCheck,"(3, 5, 5)",0.018187373714515974,75,732.3586666666666,727.490016897196,740.8552866178946
BenchmarkWriter/single,"(2, 5, 4)",0.007439071644832326,40,252.10500000000002,251.41788933133202,253.3273869280672
BenchmarkWriter/splits,"(1, 4, 5)",0.02315292235565921,20,294.47499999999997,292.75507340666144,299.3827768043779
