Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.00483045066204392,75,496605.1066666667,495945.6898666667,497383.1933333333
BenchmarkParseTextGzip,"(3, 5, 5)",0.003974493097395068,75,556128.2266666667,555495.8198666667,556785.2288
BenchmarkParseProto,"(3, 5, 5)",0.004433256820226089,75,135934.38666666666,135759.03793333334,136111.30913333333
BenchmarkParseProtoGzip,"(3, 5, 5)",0.005288670110254348,75,178400.34666666668,178130.045,178700.38973333332
BenchmarkParseProtoMap,"(3, 5, 5)",0.004127524148986041,75,142947.61333333334,142780.02980000002,143125.627
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.0064038561093388265,75,6008.28,5999.026533333334,6021.6538666666665
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.004287570227219805,75,6064.386666666666,6056.879666666667,6072.306799999999
BenchmarkCreate,"(3, 5, 5)",0.005576559545522268,75,5616.826666666667,5607.72,5626.560266666667
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.012095529211741358,75,252.8346666666667,252.03061333333332,253.84668
BenchmarkTextParse,"(3, 5, 5)",0.005570651124032078,75,161602.10666666666,161335.6524,161877.494
BenchmarkParseError,"(3, 5, 5)",0.0045170278205245475,75,51202.346666666665,51140.0224,51279.054000000004
BenchmarkLabelNames,"(3, 5, 5)",0.004102911975893477,75,230.30666666666662,230.03733333333332,230.60533333333336
BenchmarkLabelValues,"(3, 5, 5)",0.0038315632814436146,75,229.63066666666666,229.37333333333333,229.89733333333334
BenchmarkMetric,"(3, 5, 5)",0.003954294010174097,75,1158.5866666666666,1157.3066666666666,1159.9866666666667
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0022312323022911167,75,2.0756666666666668,2.0744800000000003,2.0772134000000007
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.005540585777853258,75,115.78666666666666,115.60799333333331,115.98667333333336
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.005387957887873634,75,210.2,209.88266666666667,210.53866666666667
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.004915782212501271,75,275.12666666666667,274.75600000000003,275.5493333333333
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.003255572221401002,75,1.9427466666666666,1.9409999333333332,1.9447333333333332
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.008706459465965955,75,115.58533333333335,115.32399333333338,115.91333999999999
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.004308690069483242,75,209.28666666666666,209.03466,209.56668666666667
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.007293023612306598,75,274.91333333333336,274.40133333333324,275.5786800000001
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0034624955762806537,75,2.0770133333333334,2.0750933333333332,2.0794533333333334
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.008050401424906171,75,55.971466666666664,55.84066533333333,56.102266666666665
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.0064999523464932376,75,84.26813333333332,84.114664,84.43906933333334
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.0062082665264165,75,111.30133333333333,111.12399333333333,111.52799999999998
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.29909575357143886,75,2.3798666666666666e-05,2.193066e-05,2.6065366666666663e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.00346918915862624,75,111.188,111.08532666666666,111.31867333333335
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0022663896039427866,75,105.39733333333332,105.33466666666666,105.47333333333331
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.004247264880628345,75,105.44133333333332,105.34133333333332,105.59466666666665
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.0007732939910885737,75,105.36133333333332,105.3373333333333,105.38666666666666
