Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.002154581644908719,75,494503.29333333333,494011.19588599756,495082.4108934278
BenchmarkParseTextGzip,"(3, 5, 5)",0.002363906184745111,75,553224.6133333333,552614.2511623502,553934.210757024
BenchmarkParseProto,"(3, 5, 5)",0.002814749425049436,75,135385.05333333334,135208.74227393974,135583.24855848416
BenchmarkParseProtoGzip,"(3, 5, 5)",0.00234276600449529,75,177483.89333333334,177282.09127866672,177698.2903167413
BenchmarkParseProtoMap,"(3, 5, 5)",0.0026142322123458863,75,142375.50666666665,142189.2396668089,142570.56600247917
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.004775242564938715,75,5982.733333333334,5974.8178464131615,6003.008383002807
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.002233110085879991,75,6060.866666666667,6053.897693018549,6067.187879593155
BenchmarkCreate,"(3, 5, 5)",0.0029970055215849476,75,5611.293333333333,5603.0757246878675,5619.662373039281
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.007144480292947155,75,252.14399999999998,251.56552821228675,253.3688639981704
BenchmarkTextParse,"(3, 5, 5)",0.0029532195274471432,75,160742.97333333333,160535.6504204429,160997.43636861682
BenchmarkParseError,"(3, 5, 5)",0.004251969587919326,75,51004.0,50938.12588608191,51151.650727533255
BenchmarkLabelNames,"(3, 5, 5)",0.0027228933048045116,75,229.68,229.37787635890228,230.0304437075446
BenchmarkLabelValues,"(3, 5, 5)",0.0021688374733902544,75,228.70533333333336,228.4958137648184,229.00101136422552
BenchmarkMetric,"(3, 5, 5)",0.0021746361155362518,75,1155.6,1154.5241860239169,1157.1004083066985
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.000794741528245898,75,2.074333333333333,2.073641547199288,2.0752912618105
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.002798308605508256,75,115.488,115.34590385425396,115.66045332171866
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.0022867861922671756,75,209.46933333333334,209.23860726686115,209.72240730469352
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.0022326627121892735,75,273.78400000000005,273.52191702615863,274.109356555927
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.001157143010616791,75,1.9421333333333333,1.9410404967189678,1.9432821503338948
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.005642238854175295,75,115.52666666666667,115.27401243372948,115.92396689355785
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.0016479821085810158,75,208.53466666666668,208.37295424705445,208.72714182179715
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.0016717726948577557,75,273.864,273.64997940713135,274.09728662675906
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0007358375082295125,75,2.07416,2.073433637505595,2.075006732675823
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.004176915011963533,75,55.645333333333326,55.51852588989631,55.74961518997291
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.0038791628059921344,75,83.43346666666667,83.28008725777121,83.601334356635
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.002990521555751174,75,110.204,110.06690375460711,110.38061101727241
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.16120739401974102,75,2.3318571428571425e-05,2.172951572564191e-05,2.539737747919261e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.003429688490982733,75,110.01066666666668,109.90429140299914,110.29391997224498
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0005853761722358488,75,105.29866666666668,105.27099191559317,105.33058707204987
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.0006245538295188439,75,105.31599999999997,105.29293477081205,105.35801457473056
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.0007247105600564448,75,105.28666666666665,105.24559985516461,105.32173292655314
