Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.002061933431891784,75,494461.0,493649.0,494859.0
BenchmarkParseTextGzip,"(3, 5, 5)",0.00228882741662827,75,553095.0,552332.0,553719.0
BenchmarkParseProto,"(3, 5, 5)",0.002665224083117104,75,135359.0,135051.0,135579.0
BenchmarkParseProtoGzip,"(3, 5, 5)",0.0023172079319176146,75,177393.0,177202.0,177745.0
BenchmarkParseProtoMap,"(3, 5, 5)",0.002481717077372808,75,142397.0,142186.0,142518.0
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.0036362389158440646,75,5977.0,5970.0,5983.0
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.0021720472657322624,75,6065.0,6053.0,6072.0
BenchmarkCreate,"(3, 5, 5)",0.0029740483401627673,75,5613.0,5593.0,5625.0
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.0057597719437814535,75,251.4,251.0,252.0
BenchmarkTextParse,"(3, 5, 5)",0.002743098946983993,75,160618.0,160425.0,160939.0
BenchmarkParseError,"(3, 5, 5)",0.0034062657379247637,75,50965.0,50899.0,51005.0
BenchmarkLabelNames,"(3, 5, 5)",0.0026597560975612326,75,229.6,229.1,230.0
BenchmarkLabelValues,"(3, 5, 5)",0.0020890153172866436,75,228.5,228.4,228.8
BenchmarkMetric,"(3, 5, 5)",0.002066378066377959,75,1155.0,1154.0,1156.0
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0007457409193185079,75,2.074,2.074,2.075
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.0025996533795493684,75,115.4,115.3,115.6
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.0022657438345267617,75,209.5,209.1,209.7
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.0021101851851853034,75,273.6,273.4,274.0
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.0011191211809131619,75,1.942,1.94,1.944
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.0050419774501299485,75,115.3,115.1,115.5
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.0016051159072740294,75,208.5,208.3,208.6
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.001597297297297527,75,273.8,273.6,274.0
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0007007714561238314,75,2.074,2.073,2.075
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.0038509382096329104,75,55.78,55.73,55.84
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.003626946275214644,75,83.45,83.35,83.53
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.0026643051771118513,75,110.1,109.9,110.2
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.16391503046716313,75,2.1099999999999998e-05,1.995e-05,2.39e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.0025113739763422244,75,109.9,109.9,110.0
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0005571383349161188,75,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.0005444761000316463,75,105.3,105.3,105.3
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.0007090851535296548,75,105.3,105.3,105.3
