Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,72,-0.005294008937030808,-0.004073209483069263,-0.007219282236961324
BenchmarkParseTextGzip,72,-0.0005715245714376209,0.0007329288656214688,-0.0005092765541323828
BenchmarkParseProto,72,-0.0034416371100804083,-0.007726685054246094,-0.0015738120274307902
BenchmarkParseProtoGzip,72,-0.00803427837029201,-0.00843506698837046,-0.009123069949914749
BenchmarkParseProtoMap,69,-0.0006971280881746951,0.0011631121181688469,-0.003490718416161311
BenchmarkDiscriminatorHTTPHeader,72,-0.0030579950352109084,-0.0029830828555186236,-0.0030336442987928553
BenchmarkOpenMetricsCreate,72,0.0014609853864381134,0.003100999210856791,-2.4120394164327008e-05
BenchmarkCreate,72,-0.000621952579049554,-0.0007520313940144772,-0.0011277867413797505
BenchmarkCreateBuildInfo,63,-0.001688558426583687,-0.0021047297796563595,-0.0028376966304977367
BenchmarkTextParse,72,-0.0034924327548025397,-0.0027876001710735315,-0.00317804459762288
BenchmarkParseError,67,-0.0021264237003560636,0.0011679173786290939,-0.004492140706325307
BenchmarkLabelNames,72,-0.0005813759548623517,0.0018702529838387333,-0.0018086030331086378
BenchmarkLabelValues,72,0.0039672602827164295,0.005805575980171374,0.002512142785455545
BenchmarkMetric,72,-0.0021090454616465313,-0.00149227528089885,-0.002218871684760339
BenchmarkLabelToSignatureScalar,72,-0.0013121446274967246,-0.0007790868429606312,-0.0016155904478212248
BenchmarkLabelToSignatureSingle,72,-0.0013128282070517493,-0.001221219873014849,-0.0022455179218041315
BenchmarkLabelToSignatureDouble,72,-0.0040028445517138606,-0.0032298898506551944,-0.004383573476141439
BenchmarkLabelToSignatureTriple,72,-0.0029863552304950306,-0.0033399186725374835,-0.0035155113684615566
BenchmarkMetricToFingerprintScalar,72,-0.0009445843828714325,-0.0011518223739540117,-0.0005733511429221372
BenchmarkMetricToFingerprintSingle,72,-0.0030202031935520164,-0.0016149480458354862,-0.006164775777531417
BenchmarkMetricToFingerprintDouble,72,0.002587670826706864,0.004604917202431054,0.0008418187245190389
BenchmarkMetricToFingerprintTriple,72,0.0030177824702585098,0.0043307989733343865,0.0014480478982395895
BenchmarkMetricToFastFingerprintScalar,72,0.00028114603453941876,0.0012074340465173738,-0.000390624999999957
BenchmarkMetricToFastFingerprintSingle,60,0.002067315036407179,0.004383084683973059,-0.0007575120463536594
BenchmarkMetricToFastFingerprintDouble,72,0.0013730097958966616,0.0007911392405063122,0.0023795359904816645
BenchmarkMetricToFastFingerprintTriple,72,0.0004948195423422664,0.0028356913637557577,-0.0017988337897792454
BenchmarkEmptyLabelSignature,0,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintTripleConc1,72,0.0016180571102928224,0.002938903351773526,-0.0010081569058748433
BenchmarkMetricToFastFingerprintTripleConc2,72,-0.0028677453828762716,-0.003988751035881919,-0.0019061039369817113
BenchmarkMetricToFastFingerprintTripleConc4,72,0.0001261692466488369,-0.0003353341604909101,0.0004015977951070978
BenchmarkMetricToFastFingerprintTripleConc8,0,0.0,0.0,0.0
