Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/1MValidUtf8,69,-0.00024967140728862836,0.00097648199275824,-0.002369553412736389
BenchmarkScanComments/10Valid,69,-0.0008156606851548442,0.003367932417597115,-0.0019970656837145903
BenchmarkScanComments/1kValid,69,-0.0006789030865844342,-0.00023475540112419192,-0.001586488064314996
BenchmarkScanComments/1MValid,69,-0.0004520060025967848,-0.000196344655646047,-0.0013802961992331396
BenchmarkScanComments/10ValidUtf8,69,-0.0002759156952132923,0.0005360088424003292,-0.0015606662148748324
BenchmarkScanComments/1kValidUtf8,70,-0.0003922744998500494,0.0022723283333080237,-0.0035756373066984635
BenchmarkParseLiteralStringValid/10Valid,69,-0.0031103406077909288,-0.03975382026502392,-0.0010625502345653728
BenchmarkParseLiteralStringValid/1kValid,69,0.0006540222367561159,0.0017895084305560604,-0.0005712341723125207
BenchmarkParseLiteralStringValid/1MValid,70,-0.00024381542604342893,0.0014138258695115006,-0.0036870936044647983
BenchmarkParseLiteralStringValid/10ValidUtf8,69,0.002274010879581708,0.006401384005702664,0.0007799328958116103
BenchmarkParseLiteralStringValid/1kValidUtf8,69,-0.001686472804537364,0.002959178540444715,-0.003688797812033408
BenchmarkParseLiteralStringValid/1MValidUtf8,70,-0.0011458334152755466,-0.001136503344662482,-0.007829732358814177
BenchmarkParseBasicStringWithUnicode/4,69,-0.0003893487718583021,0.0017712209226959643,-0.0016341128356373925
BenchmarkParseBasicStringWithUnicode/8,69,-0.002032253835059485,-0.0006920573838477458,-0.005523165551212715
BenchmarkParseBasicStringsEasy/1,69,0.0015695528320255254,0.0032483379063451023,0.0014330938997984199
BenchmarkParseBasicStringsEasy/4,67,-0.0009254344623099913,-0.003098154660621997,-0.0016423660739883854
BenchmarkParseBasicStringsEasy/8,69,-0.0017414538424220818,-0.0016729504406174653,-0.0020739351004260146
BenchmarkParseBasicStringsEasy/16,69,-0.00035715394888031636,0.0003394895241643924,-0.0023868680150394847
BenchmarkParseBasicStringsEasy/21,69,-0.00021194753510265742,0.0002840749400234242,-0.0007942628274288996
BenchmarkUnmarshalDataset/config,67,0.0010300127872893902,0.003300550929353921,-0.0011896054029736027
BenchmarkUnmarshalDataset/canada,59,-0.001653072990140656,0.0004537688016364751,-0.0035423227537337686
BenchmarkUnmarshalDataset/citm_catalog,15,0.0021740022698494353,0.002930307989463836,0.0014764951921469288
BenchmarkUnmarshalDataset/twitter,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/code,69,0.0032769119194865502,0.007891909977752487,0.00036276222839216996
BenchmarkUnmarshalDataset/example,51,-0.0006275117515227111,0.0018565790128036008,-0.002573531150475876
BenchmarkUnmarshal/SimpleDocument/struct,51,-0.000634317382461932,0.0008212843688882705,-0.002931625646644762
BenchmarkUnmarshal/SimpleDocument/map,66,0.00014696753333630802,0.003445279331627372,-0.0004333996201813941
BenchmarkUnmarshal/ReferenceFile/struct,67,-0.0015680303437078421,0.001446381968849096,-0.0026637911743697543
BenchmarkUnmarshal/ReferenceFile/map,67,-0.0026989658025328954,-0.0025173457871671455,-0.004973018921757364
BenchmarkUnmarshal/HugoFrontMatter,45,0.0008788778083588138,0.004156392901684542,-0.00037508107024264453
BenchmarkMarshal/SimpleDocument/struct,67,0.0001981491795553523,0.002830293411346579,-0.0018893495766733163
BenchmarkMarshal/SimpleDocument/map,69,-0.0017574923078163638,-0.0019961836497056234,-0.0036505156625398698
BenchmarkMarshal/ReferenceFile/struct,67,0.0007366676884105258,0.003454482183006859,-0.0008135129310746853
BenchmarkMarshal/ReferenceFile/map,66,-0.0012249490399848305,0.0014195638358335994,-0.0031300870296745082
BenchmarkMarshal/HugoFrontMatter,67,-0.00159706314804043,0.0006352767807508978,-0.005012085655280597
