Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/1MValidUtf8,72,0.0010127136974703293,0.0007371712798069387,0.001094451699550567
BenchmarkScanComments/10Valid,72,-0.001246494234964358,-0.0015566625155665368,-0.0009354536950421309
BenchmarkScanComments/1kValid,72,0.0,-0.0003636363636363636,-0.000363901018922853
BenchmarkScanComments/1MValid,72,0.0,-0.00022150503576182751,9.81772588623719e-05
BenchmarkScanComments/10ValidUtf8,72,0.0,0.00047036688617111994,0.0
BenchmarkScanComments/1kValidUtf8,72,-0.00043271311120726956,0.00043252595155709344,0.0
BenchmarkParseLiteralStringValid/10Valid,72,-0.0012277470841006491,-0.0006134969325154333,-0.0006142506142507102
BenchmarkParseLiteralStringValid/1kValid,72,0.0010901162790697674,0.0010897203051216855,0.0007270083605961468
BenchmarkParseLiteralStringValid/1MValid,72,-8.947391122548245e-05,0.0010441473165718113,0.0
BenchmarkParseLiteralStringValid/10ValidUtf8,72,0.002676181980374608,0.00534283170080131,0.0026797677534613094
BenchmarkParseLiteralStringValid/1kValidUtf8,72,-0.0008718395815170009,-0.0026064291920069507,-0.0017452006980802793
BenchmarkParseLiteralStringValid/1MValidUtf8,72,-0.000401157626293017,-0.0007279821727724408,-0.00012792565765125925
BenchmarkParseBasicStringWithUnicode/4,72,-0.0006353240152477402,-0.0006345177664974259,-0.0006361323155215923
BenchmarkParseBasicStringWithUnicode/8,72,-0.0007874015748031048,-0.0023584905660377136,-0.0031520882584712816
BenchmarkParseBasicStringsEasy/1,72,0.0017254394478593783,0.0020478551411942368,0.0019423761735190119
BenchmarkParseBasicStringsEasy/4,72,0.0,-0.0006863417982154967,0.0
BenchmarkParseBasicStringsEasy/8,72,-0.00162954915806633,-0.00162954915806633,-0.0016304347826085644
BenchmarkParseBasicStringsEasy/16,72,0.0006657789613848061,0.0006653359946772979,0.0
BenchmarkParseBasicStringsEasy/21,72,-0.0005256241787121162,0.0,-0.00026295030239279545
BenchmarkUnmarshalDataset/config,72,0.002222396643055776,0.0012433533464272781,0.0013035425607730443
BenchmarkUnmarshalDataset/canada,69,-0.002313615802341099,0.0031751811236410713,-0.004051508754824242
BenchmarkUnmarshalDataset/citm_catalog,72,-0.020300570877502668,-0.01928413727524184,-0.014536974909123705
BenchmarkUnmarshalDataset/twitter,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/code,72,0.0035626993541990584,0.0030183297374774586,0.0034797156287697186
BenchmarkUnmarshalDataset/example,60,0.0003411346344690705,-6.696543553289033e-05,-0.0002954470061370045
BenchmarkUnmarshal/SimpleDocument/struct,63,-0.001082690485857294,0.0030360275266494213,-0.005218923681713464
BenchmarkUnmarshal/SimpleDocument/map,72,-0.0049261083743842365,-0.002952755905511811,-0.003952569169960474
BenchmarkUnmarshal/ReferenceFile/struct,72,-0.0022766483467620015,-0.0027688047992616522,-0.0009800253024714457
BenchmarkUnmarshal/ReferenceFile/map,72,-0.000540475618544319,-0.0029830004911767876,-0.0013102851372794153
BenchmarkUnmarshal/HugoFrontMatter,51,0.00024592467678471053,0.003579952267303103,0.0
BenchmarkMarshal/SimpleDocument/struct,71,0.0005355612682089614,0.005777872886796466,-0.004290924694271616
BenchmarkMarshal/SimpleDocument/map,72,-0.0010607667828457824,-0.0018162554866051844,-0.0012137763617054592
BenchmarkMarshal/ReferenceFile/struct,72,0.004505047098219663,0.007627526467757459,0.0037170234848301997
BenchmarkMarshal/ReferenceFile/map,72,-0.0015843242947935826,-0.0014895820087558356,-0.0014584966545732987
BenchmarkMarshal/HugoFrontMatter,72,-0.004599816007359705,-0.002346699316396286,-0.004913501893745522
