Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.000895397630301705,75,2318523.0,2317142.0,2319678.0
BenchmarkScanComments/10Valid,"(3, 5, 5)",0.0015581177937051154,75,32.09,32.07,32.12
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.0007275372862859222,75,2749.0,2748.0,2750.0
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.0008307592168595589,75,2802256.0,2801056.0,2803548.0
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.000940733772342407,75,21.26,21.25,21.26
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0008654262224145391,75,2311.0,2310.0,2312.0
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.0012277470841006491,75,32.58,32.56,32.6
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.0007267441860465116,75,2752.0,2751.0,2753.0
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.0006751537364982621,75,2805287.0,2804378.0,2806542.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(3, 5, 5)",0.002676181980374608,75,22.42,22.39,22.46
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.0026155187445510027,75,2294.0,2292.0,2302.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0008348184291300311,75,2338233.0,2337295.0,2339343.0
BenchmarkParseBasicStringWithUnicode/4,"(3, 5, 5)",0.0025412960609911416,75,157.4,157.2,157.6
BenchmarkParseBasicStringWithUnicode/8,"(3, 5, 5)",0.0023622047244094262,75,254.0,253.8,254.4
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.0012940795858945816,75,9.273,9.267,9.278
BenchmarkParseBasicStringsEasy/4,"(3, 5, 5)",0.0006868131868131721,75,14.56,14.55,14.57
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0005431830526888411,75,18.41,18.4,18.41
BenchmarkParseBasicStringsEasy/16,"(3, 5, 5)",0.00099866844207715,75,30.04,30.02,30.06
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.0007884362680683611,75,38.05,38.03,38.06
BenchmarkUnmarshalDataset/config,"(3, 5, 5)",0.0030059607095713043,75,26322034.0,26282993.0,26367404.0
BenchmarkUnmarshalDataset/canada,"(3, 5, 5)",0.006454367536256217,75,125025728.0,124633570.0,125523233.0
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.011164900372776367,75,41705970.0,41457181.0,41916109.0
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.011457597963183205,75,15889107.0,15809445.0,16011281.0
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.0026860558040782538,75,114191224.0,114054435.0,114379816.0
BenchmarkUnmarshalDataset/example,"(3, 5, 5)",0.0043313761164406215,75,193472.0,192928.0,194130.0
BenchmarkUnmarshal/SimpleDocument/struct,"(3, 5, 5)",0.005548788740018978,75,738.9,737.7,741.1
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.003940886699507389,75,1015.0,1012.0,1016.0
BenchmarkUnmarshal/ReferenceFile/struct,"(3, 5, 5)",0.003023673585543283,75,56223.0,56121.0,56342.0
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.0029425894787412925,75,83260.0,83188.0,83473.0
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.0037942664418212477,75,14232.0,14204.0,14246.0
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.003213367609254499,75,466.8,466.1,467.3
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.002424609789362059,75,659.9,659.1,660.7
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.003300489050567347,75,41509.0,41431.0,41560.0
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.0027862254839473347,75,54913.0,54851.0,55049.0
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.0036798528058877645,75,9783.0,9769.0,9801.0
