Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.001372921369834317,75,12.1132,12.107073684475479,12.123943183873
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.012384485090804729,75,14.364133333333333,14.280932499729387,14.45359645347894
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.05506308909258819,75,12.953866666666668,12.577247985639048,13.292154974761289
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.005097142296934867,75,60.984,60.860384731912816,61.17540122740613
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.007511689794824821,75,39.59106666666667,39.50656486750342,39.80459621705273
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.0032250844212371745,75,55.89079999999999,55.807086846894464,55.98475407585504
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.007713874228320403,75,54.44906666666667,54.31289144180342,54.73370363237327
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.01688485649051156,75,623.9586666666667,617.6345161794442,628.1484287331123
BenchmarkZapConsole,"(3, 5, 5)",0.008095439619460984,75,1660.3866666666668,1653.4992268911667,1666.7136326175105
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.012437398554217799,75,487.1306666666666,484.2612856917499,490.16726001394966
BenchmarkZapJSON,"(3, 5, 5)",0.005287726419936032,75,1154.4133333333334,1151.2798091886566,1157.3470358805946
BenchmarkStandardJSON,"(3, 5, 5)",0.01481936803823181,75,3752.3333333333335,3727.0599650626223,3782.5759716919697
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.0010294425769666713,75,24.523999999999997,24.51207754811953,24.53704741789327
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.004681555841018668,75,27.6628,27.639514627417785,27.771012802853402
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0008022892925298967,75,27.6528,27.643803966816822,27.66541505161795
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.001959287869926203,75,28.124666666666666,28.09819080090728,28.154006767963505
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.0027897718327182168,75,31.159200000000002,31.132221672270507,31.219285125379294
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.009340360837976715,75,31.18373333333333,31.130336177157858,31.421792613022802
BenchmarkTeeCheck,"(3, 5, 5)",0.011858418774318017,75,748.4373333333332,744.5322248730554,753.1164232547989
BenchmarkWriter/single,"(3, 5, 5)",0.00694537498072134,75,255.34,254.62494263588616,256.444028402276
BenchmarkWriter/splits,"(3, 5, 5)",0.006027716363271601,75,297.9186666666667,297.2055136126078,299.00619467528963
