Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkBuffers/ByteSlice,72,0.0008257638315441608,0.0,0.0
BenchmarkBuffers/BytesBuffer,0,0.0,0.0,0.0
BenchmarkBuffers/CustomBuffer,0,0.0,0.0,0.0
BenchmarkBufferedWriteSyncer/write_file_with_buffer,71,0.005447342357213574,0.008226390259953932,0.0018190838432280375
BenchmarkMultiWriteSyncer/2_discarder,72,-0.0020340706839562244,0.0020314880650075745,-0.0007641365257259586
BenchmarkMultiWriteSyncer/4_discarder,72,0.001806032147372249,0.0016236694930543642,0.0018079913216415533
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,66,0.0012867647058823581,0.0027522935779816255,0.0011057869517140117
BenchmarkWriteSyncer/write_file_with_no_buffer,0,0.0,0.0,0.0
BenchmarkZapConsole,51,0.006567164179104477,0.007422802850356294,-0.00029976019184652276
BenchmarkJSONLogMarshalerFunc,0,0.0,0.0,0.0
BenchmarkZapJSONFloat32AndComplex64,72,-0.013449564134495585,-0.010675273088381359,-0.008649868371568373
BenchmarkZapJSON,39,0.005804311774461028,0.0016433853738701725,0.0029190992493744786
BenchmarkStandardJSON,72,-0.011090073032188261,-0.009137328675087342,-0.005442176870748299
BenchmarkSampler_Check/7_keys,72,-0.0008163265306122275,0.0,-0.0012249897917516368
BenchmarkSampler_Check/50_keys,72,0.0,0.0,0.0
BenchmarkSampler_Check/100_keys,72,-0.0003619254433585961,-0.0007233273056057712,0.0
BenchmarkSampler_CheckWithHook/7_keys,72,-0.001422981145499792,-0.0007109847138286376,-0.0007122507122506971
BenchmarkSampler_CheckWithHook/50_keys,72,-0.0012857602057216055,-0.0006422607578676806,-0.0019292604501608447
BenchmarkSampler_CheckWithHook/100_keys,72,-0.0009643201542912613,-0.0006424670735624662,-0.0009649404953361575
BenchmarkTeeCheck,0,0.0,0.0,0.0
BenchmarkWriter/single,72,0.002836304700162028,-0.00040371417036735695,0.0012170385395537987
BenchmarkWriter/splits,72,0.0020725388601037053,0.0,-0.0010387811634349424
