Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(1, 3, 1)",0.0,3,12.12,12.12,12.12
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.011011704119850411,75,14.24,14.16,14.66
BenchmarkBuffers/CustomBuffer,"(1, 3, 1)",0.003448275862068892,3,11.6,11.58,11.62
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(2, 3, 1)",0.009963768115941978,6,60.72,60.59,61.51
BenchmarkMultiWriteSyncer/2_discarder,"(3, 1, 1)",0.004066073697585862,3,39.35,39.26,39.42
BenchmarkMultiWriteSyncer/4_discarder,"(1, 3, 1)",0.0025279884434814114,3,55.38,55.26,55.4
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(1, 3, 1)",0.0069648093841641395,3,54.56,54.38,54.76
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.015598846153846232,75,624.0,620.6,625.6
BenchmarkZapConsole,"(3, 5, 5)",0.011053039332538617,75,1678.0,1669.0,1693.0
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.01077260582010549,75,504.0,498.0,507.7
BenchmarkZapJSONFloat32AndComplex64,"(2, 4, 1)",0.009097161435538298,8,799.7,793.4000000000001,804.1500000000001
BenchmarkZapJSON,"(2, 5, 5)",0.009648324369052613,50,1208.5,1201.5,1214.5
BenchmarkStandardJSON,"(3, 1, 1)",0.009038619556285949,3,3651.0,3648.0,3681.0
BenchmarkSampler_Check/7_keys,"(1, 3, 1)",0.0016313213703099162,3,24.52,24.52,24.56
BenchmarkSampler_Check/50_keys,"(3, 1, 1)",0.0007238508867173208,3,27.63,27.61,27.63
BenchmarkSampler_Check/100_keys,"(3, 1, 1)",0.0010838150289017752,3,27.68,27.66,27.69
BenchmarkSampler_CheckWithHook/7_keys,"(3, 1, 1)",0.003559985760056884,3,28.09,28.07,28.17
BenchmarkSampler_CheckWithHook/50_keys,"(1, 3, 1)",0.009649404953361232,3,31.09,30.81,31.11
BenchmarkSampler_CheckWithHook/100_keys,"(1, 3, 1)",0.0025698682942499793,3,31.13,31.08,31.16
BenchmarkTeeCheck,"(3, 5, 5)",0.026862574781933737,75,729.9,723.3,741.6
BenchmarkWriter/single,"(1, 3, 1)",0.008220304151253596,3,243.3,243.1,245.1
BenchmarkWriter/splits,"(1, 3, 1)",0.007327285415212919,3,286.6,285.7,287.8
