Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0017030063684475814,75,12.109866666666667,12.103733333333334,12.116399999999999
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.018434517067177022,75,14.359199999999998,14.284265333333336,14.441200666666672
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.08999907119998617,75,12.835733333333334,12.494666666666669,13.168674666666668
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.009418495921380426,75,60.578266666666664,60.415332,60.74266866666667
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.0030629755793355287,75,39.3204,39.28586666666667,39.35946733333333
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.002982781138948387,75,55.38626666666667,55.338666666666676,55.43706733333334
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.009933772359032367,75,54.44693333333334,54.315466,54.63387066666667
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.054793993209323835,75,615.2786666666667,604.5866533333334,624.3429066666665
BenchmarkZapConsole,"(3, 5, 5)",0.014398955822247062,75,1680.32,1673.1333333333334,1687.3600666666666
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.015188234775644679,75,502.10533333333336,499.8573333333334,504.30268
BenchmarkZapJSONFloat32AndComplex64,"(3, 5, 5)",0.011985343039368808,75,797.9373333333334,795.1719866666668,800.7653733333334
BenchmarkZapJSON,"(3, 5, 5)",0.010548683063516405,75,1212.4666666666667,1208.7199333333333,1216.04
BenchmarkStandardJSON,"(3, 5, 5)",0.01299101797746583,75,3687.9333333333334,3674.3064000000004,3702.5068666666666
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.0038203243324288266,75,24.363733333333336,24.3324,24.388
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.0016170839098599156,75,27.4676,27.454933333333333,27.481733333333334
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0012397744947857654,75,27.476800000000004,27.466666666666665,27.486799999999995
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.018848903026672015,75,28.21066666666667,28.099865333333337,28.407734666666673
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.010548113128650774,75,31.215999999999998,31.1344,31.328670666666664
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.010755066635410296,75,31.2016,31.121598000000006,31.31746933333333
BenchmarkTeeCheck,"(3, 5, 5)",0.042519734860223986,75,760.3280000000001,751.1586399999999,770.2374199999999
BenchmarkWriter/single,"(3, 5, 5)",0.0078086616692890215,75,244.40400000000002,243.86666,245.00666666666663
BenchmarkWriter/splits,"(3, 5, 5)",0.008372391306630993,75,284.2306666666667,283.56665999999996,285.0000133333334
