Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkBoolsArrayMarshaler,67,0.001572887101711766,0.0038035036219575442,-0.0015921792701357742
BenchmarkBoolsReflect,51,0.0015283438310485003,0.0029497234535409834,-0.0004993557792475413
BenchmarkNoContext,69,-0.008712390636612125,-0.043530804379103054,-0.0036216669746747957
BenchmarkBoolField,0,0.0,0.0,0.0
BenchmarkByteStringField,0,0.0,0.0,0.0
BenchmarkFloat64Field,0,0.0,0.0,0.0
BenchmarkIntField,0,0.0,0.0,0.0
BenchmarkInt64Field,0,0.0,0.0,0.0
BenchmarkStringField,0,0.0,0.0,0.0
BenchmarkStringerField,0,0.0,0.0,0.0
BenchmarkTimeField,0,0.0,0.0,0.0
BenchmarkDurationField,0,0.0,0.0,0.0
BenchmarkErrorField,0,0.0,0.0,0.0
BenchmarkErrorsField,0,0.0,0.0,0.0
BenchmarkStackField,63,-0.006904253339123875,-0.0066255328503240325,-0.008280567290221334
BenchmarkObjectField,0,0.0,0.0,0.0
BenchmarkReflectField,63,0.0005098944813403579,0.0028769766514734497,-0.002109690698377998
BenchmarkAddCallerHook,67,0.001344291344596815,0.0029309828425662945,-0.004107751187241205
BenchmarkAddCallerAndStacktrace,69,0.0030773474666714678,0.004109300337596091,0.0023496327490184765
Benchmark10Fields,0,0.0,0.0,0.0
Benchmark100Fields,66,-0.0014446829746551037,-0.00042027744536684213,-0.0039889570590330705
BenchmarkTakeStacktrace,63,0.0017612744869584006,0.005647172966997836,1.0416718770941783e-05
BenchmarkSugarSingleStrArg,30,0.0018048358802947985,0.0026165321384427564,0.0009715499795289311
BenchmarkLnSugarSingleStrArg,0,0.0,0.0,0.0
BenchmarkBuffers/ByteSlice,69,-0.00024236548715460247,3.265211325032265e-05,-0.0014732130263619802
BenchmarkBuffers/BytesBuffer,0,0.0,0.0,0.0
BenchmarkBuffers/CustomBuffer,0,0.0,0.0,0.0
BenchmarkBufferedWriteSyncer/write_file_with_buffer,0,0.0,0.0,0.0
BenchmarkMultiWriteSyncer/2_discarder,67,-2.4532528440726776e-05,0.0037720397494842087,-0.0013493365210367457
BenchmarkMultiWriteSyncer/4_discarder,69,0.0024134616997766507,0.004772631864832221,-0.0021709565774429476
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,63,-0.00574506924096949,-0.005560198687360537,-0.008752255708500157
BenchmarkWriteSyncer/write_file_with_no_buffer,0,0.0,0.0,0.0
BenchmarkZapConsole,15,-0.0007703729722825193,-0.00039985258772678306,-0.001399888311107594
BenchmarkJSONLogMarshalerFunc,0,0.0,0.0,0.0
BenchmarkZapJSONFloat32AndComplex64,27,-0.0011202467452571109,-9.203007290507973e-05,-0.0016432882693685254
BenchmarkZapJSON,25,0.0013520643714548483,0.001955080621383606,0.0006807577602821518
BenchmarkStandardJSON,0,0.0,0.0,0.0
BenchmarkSampler_Check/7_keys,69,-0.0004109671063018312,4.3681307468363626e-05,-0.0020199977960558245
BenchmarkSampler_Check/50_keys,69,0.0006790018672551894,0.00345484546080061,-0.00093179977444974
BenchmarkSampler_Check/100_keys,69,-0.000925540059893582,0.0004465845959953424,-0.0030761047290123033
BenchmarkSampler_CheckWithHook/7_keys,69,-0.0021870522710237357,-0.0024561700259901537,-0.002249738198322117
BenchmarkSampler_CheckWithHook/50_keys,69,-0.0015687264851538816,-0.00456923935057063,-0.002110365647783648
BenchmarkSampler_CheckWithHook/100_keys,69,-0.0017530190884303225,-0.0058903014230406985,-0.001917713062378755
BenchmarkTeeCheck,0,0.0,0.0,0.0
BenchmarkWriter/single,69,-0.005042176698167136,-0.0038312115709822937,-0.006836974082680584
BenchmarkWriter/splits,69,-0.004154891822881943,-0.007915782559162395,-0.004330641916717011
