Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 4, 3)",0.00466080214909876,12,498098.6666666667,496524.2295833333,499957.1791666667
BenchmarkParseTextGzip,"(3, 5, 5)",0.049394763756280456,75,568719.5466666666,561299.535,577644.8991333332
BenchmarkParseProto,"(1, 3, 1)",0.0033783123830870973,3,135707.66666666666,135084.0,136173.0
BenchmarkParseProtoGzip,"(1, 3, 4)",0.006782109981108631,12,179388.75,178475.90583333332,180297.66666666666
BenchmarkParseProtoMap,"(2, 4, 3)",0.004207698022957452,24,143129.33333333334,142813.53354166666,143454.335625
BenchmarkDiscriminatorHTTPHeader,"(2, 3, 1)",0.0027977419926156766,6,6020.0,6002.666666666667,6035.0
BenchmarkOpenMetricsCreate,"(2, 2, 3)",0.002160788356864203,12,6082.583333333333,6072.582916666666,6091.833333333333
BenchmarkCreate,"(3, 5, 5)",0.07667655971663992,75,5840.106666666667,5718.544466666667,5986.107
BenchmarkCreateBuildInfo,"(2, 3, 2)",0.010520463476880263,12,252.00833333333333,250.68333333333337,254.35833333333332
BenchmarkTextParse,"(2, 3, 2)",0.003761083422573222,12,161939.0,161521.73375,162382.66708333333
BenchmarkParseError,"(2, 4, 1)",0.0031821220152053868,8,51246.75,51119.75,51399.25125
BenchmarkLabelNames,"(2, 4, 2)",0.0039233157561554405,16,230.7875,230.20625,231.36249999999998
BenchmarkLabelValues,"(3, 5, 5)",0.07247645132885909,75,238.316,233.6479933333333,243.69738000000004
BenchmarkMetric,"(2, 2, 1)",0.002052806544904122,4,1161.75,1159.25,1164.5
BenchmarkLabelToSignatureScalar,"(2, 2, 4)",0.000896929535421483,16,2.0753125,2.074125,2.0764375
BenchmarkLabelToSignatureSingle,"(2, 4, 4)",0.005080262205842187,32,116.08125000000001,115.81250000000001,116.356265625
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.07526577207137741,75,220.10933333333335,215.54132666666666,225.17867999999996
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.06888927886462055,75,287.4866666666667,282.07848666666666,293.5760333333333
BenchmarkMetricToFingerprintScalar,"(1, 3, 3)",0.0048897147747640314,9,1.9473333333333334,1.9421111111111111,1.957333888888889
BenchmarkMetricToFingerprintSingle,"(2, 3, 2)",0.005803639940603318,12,115.80000000000001,115.30833333333334,116.325
BenchmarkMetricToFingerprintDouble,"(2, 2, 2)",0.002461891473215423,8,209.10000000000002,208.66250000000002,209.575
BenchmarkMetricToFingerprintTriple,"(2, 2, 1)",0.0022973111802997363,4,274.225,273.47499999999997,274.85
BenchmarkMetricToFastFingerprintScalar,"(1, 4, 1)",0.001419947744496178,4,2.07575,2.073,2.07925
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.07251670663406827,75,58.49133333333332,57.26305866666666,59.785737999999995
BenchmarkMetricToFastFingerprintDouble,"(2, 3, 4)",0.0060122068287027305,24,84.28208333333333,84.03874166666667,84.56500208333333
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.0777434975851751,75,116.80000000000003,114.26388666666668,119.5987
BenchmarkEmptyLabelSignature,"(2, 3, 1)",0.12069080991892701,6,1.991666666666667e-05,1.801666666666667e-05,2.2666666666666668e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 4, 4)",0.0016182088145245928,16,111.1375,111.025,111.25625
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 4, 4)",0.0006891020721560064,16,105.38125,105.33125,105.42500000000001
BenchmarkMetricToFastFingerprintTripleConc4,"(1, 4, 2)",0.00045959218538124447,8,105.33749999999999,105.3,105.3875
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 3)",0.0006327111673521276,9,105.36666666666666,105.3111111111111,105.42222222222223
