Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.0020699119307518257,75,494503.29333333333,494019.2518666667,495025.2022
BenchmarkParseTextGzip,"(3, 5, 5)",0.002322072751354808,75,553224.6133333333,552625.0924000001,553859.8756
BenchmarkParseProto,"(3, 5, 5)",0.0026716164334833602,75,135385.05333333334,135203.9142,135572.39693333334
BenchmarkParseProtoGzip,"(3, 5, 5)",0.0022766512822347987,75,177483.89333333334,177285.5592,177686.33606666667
BenchmarkParseProtoMap,"(3, 5, 5)",0.0024305280786593164,75,142375.50666666665,142197.38566666667,142559.17546666667
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.003737455566574782,75,5982.733333333334,5974.32,5996.053466666666
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.002166950821114711,75,6060.866666666667,6054.1466,6067.173466666666
BenchmarkCreate,"(3, 5, 5)",0.0028490282691809336,75,5611.293333333333,5603.239933333333,5619.786733333333
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.00570044630581442,75,252.14399999999998,251.50266666666673,252.93467999999993
BenchmarkTextParse,"(3, 5, 5)",0.0027621134792165693,75,160742.97333333333,160533.50366666666,160972.48213333334
BenchmarkParseError,"(3, 5, 5)",0.003411853972237302,75,51004.0,50933.799600000006,51109.121
BenchmarkLabelNames,"(3, 5, 5)",0.002652995471960879,75,229.68,229.39600000000002,229.97866666666664
BenchmarkLabelValues,"(3, 5, 5)",0.002011321700703457,75,228.70533333333336,228.49333333333337,228.9560066666667
BenchmarkMetric,"(3, 5, 5)",0.00203069112726426,75,1155.6,1154.5066,1156.8666666666666
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0007584766189940993,75,2.074333333333333,2.073586666666667,2.0751600666666667
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.002690149625935205,75,115.488,115.33866666666667,115.64800666666667
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.002221550330358529,75,209.46933333333334,209.23066666666665,209.704
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.002118482696821913,75,273.78400000000005,273.5133333333333,274.08666666666664
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.0011328092818891885,75,1.9421333333333333,1.941066666666667,1.9432399999999999
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.005032084944312732,75,115.52666666666667,115.26000000000002,115.83468
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.0016559996419459346,75,208.53466666666668,208.37066,208.71200666666667
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.0015725566948072607,75,273.864,273.65066,274.0840066666667
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0006942890937379014,75,2.07416,2.0734266666666668,2.0749066666666667
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.003922473283174328,75,55.645333333333326,55.52999866666667,55.75307000000001
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.0036948642511161266,75,83.43346666666667,83.28759733333334,83.59093466666667
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.00273438350695084,75,110.204,110.06666666666666,110.36266666666667
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.14832046805121582,75,2.3318571428571425e-05,2.1668521428571422e-05,2.5131442857142858e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.0024724875163618415,75,110.01066666666668,109.89733333333335,110.17867333333335
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0005444829944032119,75,105.29866666666668,105.27066666666667,105.32799999999999
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.0005443933811893004,75,105.31599999999997,105.29066666666665,105.348
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.0007345026277464229,75,105.28666666666665,105.24799999999999,105.32399999999998
