Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.019004865930548617,75,560684.48,557687.3595333333,564031.0156666667
BenchmarkParseTextGzip,"(3, 5, 5)",0.018990341129064614,75,633351.2133333334,630050.7568666666,637149.6146666666
BenchmarkParseProto,"(3, 5, 5)",0.0236637722419556,75,162598.92,161486.26473333332,163795.09519999998
BenchmarkParseProtoGzip,"(3, 5, 5)",0.007741271153852903,75,222238.98666666666,221758.6324666667,222764.296
BenchmarkParseProtoMap,"(3, 5, 5)",0.025279520497233657,75,170149.08,168934.06633333332,171488.31559999997
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.020840548123766366,75,7107.426666666666,7065.693266666667,7153.000466666666
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.0043215393736680974,75,7142.333333333333,7134.0266,7153.120266666667
BenchmarkCreate,"(3, 5, 5)",0.00390777544297608,75,6759.546666666667,6752.213133333333,6768.013333333333
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.011523630662442408,75,322.59866666666665,321.5332866666667,323.71202
BenchmarkTextParse,"(3, 5, 5)",0.01803899026740643,75,201289.86666666667,200285.3732,202392.83373333333
BenchmarkParseError,"(3, 5, 5)",0.015277104516414574,75,57536.986666666664,57298.5728,57819.3878
BenchmarkLabelNames,"(3, 5, 5)",0.014982880633611298,75,279.4893333333333,278.26664,280.7946866666667
BenchmarkLabelValues,"(3, 5, 5)",0.015340100816721125,75,271.3733333333334,270.2293199999999,272.7040066666667
BenchmarkMetric,"(3, 5, 5)",0.005440378956679995,75,1357.1733333333334,1355.0665999999999,1359.4000666666668
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0009911665349402214,75,2.3759733333333326,2.3753199333333326,2.3767066666666667
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.010349369250498279,75,148.91066666666669,148.46532,149.39467333333337
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.008191087888280713,75,246.4546666666666,245.87198666666663,247.06802
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.005966740050578986,75,319.3853333333333,318.8319933333334,320.0013333333333
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.0018463777587608228,75,2.115053333333333,2.1138933333333334,2.1162133333333335
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.011178514393127803,75,149.04133333333334,148.56798666666668,149.55867333333333
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.00875451865510322,75,246.99733333333333,246.37332,247.65066666666667
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.004000340429968027,75,318.9026666666667,318.53600000000006,319.27867333333336
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0016011844447945814,75,2.557186666666667,2.5560932666666663,2.55852
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.007854711824440214,75,65.48253333333332,65.33093333333335,65.63653400000001
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.0045888360785062135,75,100.90266666666669,100.76266,101.03333333333335
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.0026427615219682516,75,131.85333333333332,131.74533333333335,131.95466666666667
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.3728824696275383,75,4.192533333333333e-05,3.7639973333333335e-05,4.7033386666666664e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.10216688623285042,75,133.5866666666667,130.76000000000002,138.2440066666667
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0036654478143099416,75,99.24093333333334,99.13946666666668,99.35906666666666
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.002750988582083078,75,99.21159999999999,99.13306533333333,99.29640266666665
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.002729729405846673,75,99.33093333333333,99.25573266666667,99.41426866666667
