Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.011098136097269331,75,560684.48,557661.0671333333,563959.9536666666
BenchmarkParseTextGzip,"(1, 4, 1)",0.009352724032586558,4,628480.0,625074.5,630952.5
BenchmarkParseProto,"(1, 3, 4)",0.013956773451775805,12,159890.16666666666,158853.89708333332,161081.41749999998
BenchmarkParseProtoGzip,"(3, 5, 5)",0.004624809604363423,75,222238.98666666666,221757.21173333336,222804.6378
BenchmarkParseProtoMap,"(3, 5, 5)",0.014752792080921033,75,170149.08,168888.24886666666,171476.92213333334
BenchmarkDiscriminatorHTTPHeader,"(2, 2, 1)",0.05637920233869284,4,7183.5,6973.5,7378.5
BenchmarkOpenMetricsCreate,"(2, 4, 4)",0.004857604413957179,32,7147.78125,7133.53109375,7168.18859375
BenchmarkCreate,"(2, 4, 2)",0.003801191224889941,16,6757.75,6745.0625,6770.9375
BenchmarkCreateBuildInfo,"(1, 3, 1)",0.00992761116856253,3,322.3333333333333,320.8,324.0
BenchmarkTextParse,"(1, 3, 4)",0.005021836679771538,12,199416.0,198876.40916666665,199893.50125
BenchmarkParseError,"(3, 5, 5)",0.008848630469351268,75,57536.986666666664,57302.03146666667,57822.18826666667
BenchmarkLabelNames,"(1, 3, 3)",0.0185104096174514,9,279.1222222222222,276.76666666666665,281.8333888888889
BenchmarkLabelValues,"(2, 2, 4)",0.020444525664161755,16,273.60625,270.8375,276.4250625
BenchmarkMetric,"(1, 3, 2)",0.007739557739557739,6,1356.6666666666667,1351.3333333333333,1362.0
BenchmarkLabelToSignatureScalar,"(1, 3, 1)",0.001261918115535662,3,2.377333333333333,2.376,2.379
BenchmarkLabelToSignatureSingle,"(2, 3, 2)",0.016888690708433046,12,149.50833333333333,148.21666666666667,150.74166666666665
BenchmarkLabelToSignatureDouble,"(1, 3, 2)",0.01075123402528909,6,246.48333333333332,245.21658333333335,247.88333333333333
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.0034233256379965537,75,319.3853333333333,318.8386666666667,319.96800666666667
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.001059074948464456,75,2.115053333333333,2.1138800000000004,2.1162133333333335
BenchmarkMetricToFingerprintSingle,"(1, 3, 1)",0.009463722397476379,3,147.93333333333334,147.0,148.4
BenchmarkMetricToFingerprintDouble,"(1, 4, 2)",0.006468041762159433,8,245.4375,244.625,246.22500000000002
BenchmarkMetricToFingerprintTriple,"(1, 3, 1)",0.004378648874061825,3,319.7333333333333,319.2,320.6
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0009489856039714159,75,2.557186666666667,2.5560666666666667,2.5584933333333333
BenchmarkMetricToFastFingerprintSingle,"(2, 3, 4)",0.007483972121011818,24,65.64083333333333,65.38707291666667,65.87375208333333
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.002748589399685458,75,100.90266666666669,100.76,101.03734000000001
BenchmarkMetricToFastFingerprintTriple,"(2, 4, 3)",0.003289215686274571,24,131.75,131.525,131.97083333333333
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.21692707670779807,75,4.192533333333333e-05,3.7663993333333335e-05,4.691739999999998e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.05598378081644901,75,133.5866666666667,130.7626666666667,138.25466666666668
BenchmarkMetricToFastFingerprintTripleConc2,"(2, 2, 4)",0.0027214284814351653,16,99.21375,99.082496875,99.36125
BenchmarkMetricToFastFingerprintTripleConc4,"(2, 2, 1)",0.007797957438245266,4,99.38499999999999,99.10499999999999,99.88
BenchmarkMetricToFastFingerprintTripleConc8,"(2, 2, 1)",0.004441544754209385,4,99.6275,99.3575,99.8
