Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkParseText,63,-0.0038737288623858497,-0.004576546385754616,-0.003934041111362096
BenchmarkParseTextGzip,0,0.0,0.0,0.0
BenchmarkParseProto,63,0.027784688102493935,0.03744546701269272,-0.002706933867235497
BenchmarkParseProtoGzip,0,0.0,0.0,0.0
BenchmarkParseProtoMap,0,0.0,0.0,0.0
BenchmarkDiscriminatorHTTPHeader,66,-0.005260164913278362,-0.0074858757062146895,-0.005840455840455841
BenchmarkOpenMetricsCreate,59,0.00042052144659377626,0.002799552071668533,0.00042087542087542086
BenchmarkCreate,63,-0.0003700962250185048,0.00029563932002956393,-0.0028888888888888888
BenchmarkCreateBuildInfo,51,-0.001711263223397494,0.006639901173564033,0.0
BenchmarkTextParse,63,-0.0020461356052609197,-0.005247476983222995,-0.0024142344467588525
BenchmarkParseError,67,-0.0016150434752243601,0.03838917054304082,-0.0056059359851599756
BenchmarkLabelNames,0,0.0,0.0,0.0
BenchmarkLabelValues,0,0.0,0.0,0.0
BenchmarkMetric,59,0.00036900369003690036,0.008106116433308769,-0.003692762186115214
BenchmarkLabelToSignatureScalar,59,0.0,0.00042087542087537456,0.0
BenchmarkLabelToSignatureSingle,67,0.008411843876177659,0.01473543201607494,-0.003716216216216293
BenchmarkLabelToSignatureDouble,0,0.0,0.0,0.0
BenchmarkLabelToSignatureTriple,51,0.0015664160401002508,0.00390991554582421,-0.0018844221105528353
BenchmarkMetricToFingerprintScalar,0,0.0,0.0,0.0
BenchmarkMetricToFingerprintSingle,43,0.005387205387205464,0.0040026684456303824,0.0006756756756756372
BenchmarkMetricToFingerprintDouble,59,-0.0020300446609825416,-0.0040436716538617065,-0.006506710044733608
BenchmarkMetricToFingerprintTriple,59,0.000470514429109088,0.002506265664160437,-0.00157035175879397
BenchmarkMetricToFastFingerprintScalar,0,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintSingle,0,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintDouble,0,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintTriple,72,0.0,-0.00075700227100677,-0.003037205770690792
BenchmarkEmptyLabelSignature,0,0.0,0.0,0.0
BenchmarkMetricToFastFingerprintTripleConc1,43,0.0007651109410866315,0.001529051987767497,0.0
BenchmarkMetricToFastFingerprintTripleConc2,63,-0.00020163322915612482,0.0006044122091266473,-0.0009591115598181186
BenchmarkMetricToFastFingerprintTripleConc4,51,0.00045394935942703223,0.0018645434388228409,-0.0001514233797698422
BenchmarkMetricToFastFingerprintTripleConc8,63,0.0002517623363543955,0.0027168444355002036,-0.0021671202499746922
