Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/1MValid,57,-0.00016188614090158389,0.0010521041818149133,-0.0005656917563006278
BenchmarkScanComments/10ValidUtf8,69,-0.00020068106135194113,0.0007291504487097726,-0.0015096763943854448
BenchmarkScanComments/1kValidUtf8,0,0.0,0.0,0.0
BenchmarkScanComments/1MValidUtf8,63,0.000802825997233369,0.0019800015409421295,-0.00017726359550061666
BenchmarkScanComments/10Valid,67,0.0029951439616489658,0.011181756321810194,-0.0003334127644855103
BenchmarkScanComments/1kValid,59,0.00016072684926851915,0.0007597741168636523,-0.0004864861480544764
BenchmarkParseLiteralStringValid/10Valid,63,0.0012872379551303935,0.010147962056739613,-0.0009925714918646873
BenchmarkParseLiteralStringValid/1kValid,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/1MValid,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/10ValidUtf8,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/1kValidUtf8,57,-0.0004872024929331695,0.0023967315951022245,-0.002730912324388639
BenchmarkParseLiteralStringValid/1MValidUtf8,0,0.0,0.0,0.0
BenchmarkParseBasicStringWithUnicode/4,67,-0.0033859781667545984,-0.0011163589995319965,-0.0070164915367990155
BenchmarkParseBasicStringWithUnicode/8,72,-0.0017020865325757444,41602228118.48332,-1451.3211099624273
BenchmarkParseBasicStringsEasy/1,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/4,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/8,59,-0.000707928070162884,-0.0013689075186468988,-0.0010441038809490422
BenchmarkParseBasicStringsEasy/16,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/21,67,-0.002114853412015956,-0.0005052620824728074,-0.003300233529069807
BenchmarkUnmarshalDataset/config,67,-0.0013013245862619825,-0.0005849434340340822,-0.0025970865630664465
BenchmarkUnmarshalDataset/canada,67,0.005194206545089173,0.010738318828057737,-0.01598845577173748
BenchmarkUnmarshalDataset/citm_catalog,69,0.002586333389182999,0.10118155823795823,-0.012126558786594372
BenchmarkUnmarshalDataset/twitter,51,-0.004609653000953453,-0.0011030253133294471,-0.008044935493692904
BenchmarkUnmarshalDataset/code,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/example,69,0.0006521998946225191,0.041942656697599175,-0.00716036228879217
BenchmarkUnmarshal/SimpleDocument/struct,51,-0.000266577506280297,0.0018067810883510965,-0.0028214426420039686
BenchmarkUnmarshal/SimpleDocument/map,67,0.002359198623008639,0.017588818946570446,-0.0033440420442298214
BenchmarkUnmarshal/ReferenceFile/struct,0,0.0,0.0,0.0
BenchmarkUnmarshal/ReferenceFile/map,67,8.215276029253586e-05,0.013176601128751486,-0.002037212891964331
BenchmarkUnmarshal/HugoFrontMatter,67,-0.0028368684026726654,0.0023378085100006457,-0.016477313881589156
BenchmarkMarshal/SimpleDocument/struct,67,-0.001011908149328406,-0.0015853566124422692,-0.0022603545723989954
BenchmarkMarshal/SimpleDocument/map,43,-0.0005502850615610544,-0.0005599051290606804,-0.0007246205456836614
BenchmarkMarshal/ReferenceFile/struct,43,-0.002067478291683087,-0.0010315538630065655,-0.0027440967633923443
BenchmarkMarshal/ReferenceFile/map,69,0.0026431367970460497,0.00450171027977282,-0.006927770902404697
BenchmarkMarshal/HugoFrontMatter,0,0.0,0.0,0.0
