Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/10ValidUtf8,71,-0.0005524660627990599,0.003536183711719198,-0.0044691111078097685
BenchmarkScanComments/1kValidUtf8,63,-0.0003627743654218353,-0.00031830385562834186,-0.0005069841920667728
BenchmarkScanComments/1MValidUtf8,71,-0.0009614733390427619,-1.4617887594686935e-05,-0.0019587585814777554
BenchmarkScanComments/10Valid,51,-0.00016033824836240442,0.0014194647835343759,-0.0016740689438565633
BenchmarkScanComments/1kValid,0,0.0,0.0,0.0
BenchmarkScanComments/1MValid,51,-0.00010325915973275726,0.0007657788738199512,-0.000876838357223801
BenchmarkParseLiteralStringValid/10Valid,59,-0.0007137717052019593,0.0007360540083347346,-0.002272895713933718
BenchmarkParseLiteralStringValid/1kValid,67,-0.0008931917147988373,0.0010592536484805982,-0.002736076027433729
BenchmarkParseLiteralStringValid/1MValid,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/10ValidUtf8,63,0.0007155640363147316,0.0020564494637538818,-0.0006463702456208196
BenchmarkParseLiteralStringValid/1kValidUtf8,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/1MValidUtf8,63,-0.00027500214362314836,0.0010649903407898309,-0.0014451884706174634
BenchmarkParseBasicStringWithUnicode/4,67,0.0013601380042461788,0.0031123264916635665,-0.000689733052273625
BenchmarkParseBasicStringWithUnicode/8,57,-0.001127232687308959,0.0003879428071400233,-0.002229744995570314
BenchmarkParseBasicStringsEasy/1,66,3.873052669253008e-05,0.0007471696439475815,-0.0006669081977659671
BenchmarkParseBasicStringsEasy/4,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/8,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/16,63,0.0006095989532743679,0.000959827884733467,0.0004076313346506615
BenchmarkParseBasicStringsEasy/21,63,0.0003207395227641269,0.0013815324453582047,-0.0006970035953461059
BenchmarkUnmarshalDataset/config,67,-0.0016289845617190228,0.0007942690427134759,-0.004995259152198211
BenchmarkUnmarshalDataset/canada,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/citm_catalog,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/twitter,69,-0.005668873388638111,0.012073534570002693,-0.01676087810429217
BenchmarkUnmarshalDataset/code,51,0.0007725560403666599,0.0015684515139182866,-9.172716304833201e-05
BenchmarkUnmarshalDataset/example,51,-0.0019596077663892116,-0.0005514572432542667,-0.002999640061527202
BenchmarkUnmarshal/SimpleDocument/struct,0,0.0,0.0,0.0
BenchmarkUnmarshal/SimpleDocument/map,0,0.0,0.0,0.0
BenchmarkUnmarshal/ReferenceFile/struct,59,-0.001967943634717183,-0.0004895649846080019,-0.0031169659095460103
BenchmarkUnmarshal/ReferenceFile/map,51,-0.00038683808371018475,0.0013502416454850643,-0.0019709375099109276
BenchmarkUnmarshal/HugoFrontMatter,0,0.0,0.0,0.0
BenchmarkMarshal/SimpleDocument/struct,66,-0.003398313640177065,-0.0029135207323564027,-0.00553995234752299
BenchmarkMarshal/SimpleDocument/map,67,-0.0009499100748434824,0.0033172169194165234,-0.0053194733000756925
BenchmarkMarshal/ReferenceFile/struct,0,0.0,0.0,0.0
BenchmarkMarshal/ReferenceFile/map,67,-0.0020872805823401665,-0.0005894675053493595,-0.004112414543133198
BenchmarkMarshal/HugoFrontMatter,69,0.004719660200770708,0.019487547236990324,-0.00654175734882215
