Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.0008893508496572031,75,2318523.0,2317142.0,2319678.0
BenchmarkScanComments/10Valid,"(2, 2, 3)",0.0022592708008724836,12,32.09,32.04,32.144999999999996
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.0008148417606401534,75,2749.0,2748.0,2750.0
BenchmarkScanComments/1MValid,"(1, 4, 4)",0.0015289109542530183,16,2802318.0,2799162.0,2804584.0
BenchmarkScanComments/10ValidUtf8,"(1, 4, 4)",0.0016458970138725673,16,21.265,21.24,21.29
BenchmarkScanComments/1kValidUtf8,"(2, 4, 3)",0.0011002886002885346,24,2310.0,2309.0,2312.0
BenchmarkParseLiteralStringValid/10Valid,"(1, 4, 3)",0.003221352968246786,12,32.595,32.5,32.65
BenchmarkParseLiteralStringValid/1kValid,"(2, 4, 1)",0.0019070105339629496,8,2753.0,2747.5,2755.5
BenchmarkParseLiteralStringValid/1MValid,"(2, 4, 4)",0.0010839264323949114,32,2805005.0,2803443.7975,2806261.5
BenchmarkParseLiteralStringValid/10ValidUtf8,"(2, 3, 3)",0.004599871404901331,18,22.465,22.405,22.5
BenchmarkParseLiteralStringValid/1kValidUtf8,"(2, 3, 3)",0.0031012259533847856,18,2293.0,2290.5,2302.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(1, 3, 4)",0.0011435341342116673,12,2339764.0,2337295.0,2340899.5
BenchmarkParseBasicStringWithUnicode/4,"(2, 2, 1)",0.004606099110546523,4,157.4,157.2,158.1
BenchmarkParseBasicStringWithUnicode/8,"(1, 3, 3)",0.003940110323089046,9,253.8,253.0,254.0
BenchmarkParseBasicStringsEasy/1,"(2, 4, 2)",0.0021556706725586105,16,9.277999999999999,9.26,9.288
BenchmarkParseBasicStringsEasy/4,"(2, 3, 2)",0.013106971153846321,12,14.56,14.559975,14.61
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0014919789969219965,75,18.41,18.4,18.41
BenchmarkParseBasicStringsEasy/16,"(2, 3, 4)",0.0021784465534465266,24,30.03,30.0,30.09
BenchmarkParseBasicStringsEasy/21,"(1, 3, 4)",0.0013145786775339626,12,38.035,38.0,38.06
BenchmarkUnmarshalDataset/config,"(2, 4, 2)",0.003945784976847673,16,26312094.5,26244145.0,26400188.0
BenchmarkUnmarshalDataset/canada,"(2, 2, 4)",0.007690315658997439,16,124951776.5,124162372.0,125613735.0
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.00815129252718495,75,41705970.0,41457181.0,41916109.0
BenchmarkUnmarshalDataset/twitter,"(2, 2, 1)",0.021432287713373136,4,15756904.0,15698273.0,16113521.0
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.002328660506053156,75,114191224.0,114054435.0,114379816.0
BenchmarkUnmarshalDataset/example,"(2, 4, 1)",0.014211282083068502,8,193599.0,192017.5,196063.0
BenchmarkUnmarshal/SimpleDocument/struct,"(2, 4, 2)",0.01304335338244239,16,739.85,733.2,745.1
BenchmarkUnmarshal/SimpleDocument/map,"(2, 3, 2)",0.013125823451910379,12,1012.0,1007.0,1020.0
BenchmarkUnmarshal/ReferenceFile/struct,"(2, 2, 1)",0.007932765033546297,4,56191.0,56066.0,56657.0
BenchmarkUnmarshal/ReferenceFile/map,"(2, 4, 1)",0.005987216037106722,8,83219.5,82970.0,83591.5
BenchmarkUnmarshal/HugoFrontMatter,"(2, 4, 4)",0.009065850764633605,32,14222.5,14178.5,14272.0
BenchmarkMarshal/SimpleDocument/struct,"(1, 3, 3)",0.005381721198266438,9,466.6,466.0,467.7
BenchmarkMarshal/SimpleDocument/map,"(2, 3, 3)",0.003755430938668159,18,659.8,658.8,660.6
BenchmarkMarshal/ReferenceFile/struct,"(2, 3, 3)",0.007409312692006442,18,41502.5,41379.5,41692.5
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.002965987410388593,75,54913.0,54851.0,55049.0
BenchmarkMarshal/HugoFrontMatter,"(2, 3, 1)",0.005243023533831956,6,9759.0,9721.0,9795.0
