Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10Valid,"(3, 5, 5)",0.0032041281577323217,75,32.46,32.43,32.5
BenchmarkScanComments/1kValid,"(3, 5, 5)",0.00138750302151317,75,2758.0,2756.0,2761.0
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.0021570738030119154,75,2816493.0,2814474.0,2821286.0
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.0010578720787205154,75,21.68,21.67,21.69
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0012690283112818427,75,2343.0,2342.0,2344.0
BenchmarkScanComments/1MValidUtf8,"(3, 5, 5)",0.0014488375121878955,75,2346935.0,2345542.0,2348263.0
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.0017093114754097173,75,3050.0,3045.0,3052.0
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.001879736503765062,75,3108052.0,3105860.0,3110319.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(3, 5, 5)",0.0018482148214820288,75,22.22,22.2,22.24
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.0013450394354504716,75,2409.0,2407.0,2411.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0017540058269882957,75,2456043.0,2452972.0,2458565.0
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.0019080453203848251,75,35.01,34.98,35.06
BenchmarkParseBasicStringWithUnicode/4,"(3, 5, 5)",0.0035884344766930146,75,151.6,151.1,151.8
BenchmarkParseBasicStringWithUnicode/8,"(3, 5, 5)",0.26910709132979455,75,244.9,244.3,245.3
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.0012912969283277382,75,9.376,9.369,9.383
BenchmarkParseBasicStringsEasy/4,"(3, 5, 5)",0.0016645090268600606,75,15.14,15.12,15.15
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0018264278799611242,75,20.66,20.64,20.67
BenchmarkParseBasicStringsEasy/16,"(3, 5, 5)",0.16655844457341865,75,34.46,34.44,34.48
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.0013063213213214396,75,44.4,44.38,44.44
BenchmarkUnmarshalDataset/config,"(3, 5, 5)",0.005107418002157476,75,26133838.0,26087011.0,26210502.0
BenchmarkUnmarshalDataset/canada,"(3, 5, 5)",0.02107800926576007,75,124948411.0,123155278.0,126375798.0
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.17407821650042407,75,42418371.0,42193483.0,42879626.0
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.011386803981207255,75,15209557.0,15087111.0,15369403.0
BenchmarkUnmarshalDataset/code,"(3, 5, 5)",0.022444546878286724,75,115205849.0,114115818.0,117119447.0
BenchmarkUnmarshalDataset/example,"(3, 5, 5)",0.008016477421632114,75,186971.0,186494.0,187321.0
BenchmarkUnmarshal/SimpleDocument/struct,"(3, 5, 5)",0.06517670971464053,75,751.1,749.5,758.5
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.12739595498179346,75,1007.0,1003.0,1030.0
BenchmarkUnmarshal/ReferenceFile/struct,"(3, 5, 5)",0.01700050126219273,75,55327.0,55196.0,55540.0
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.008981891008327102,75,83303.0,83168.0,83472.0
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.0220710316073883,75,14311.0,14240.0,14448.0
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.03845538762944285,75,476.4,474.7,494.2
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.027762972960813367,75,740.9,738.1,745.0
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.0590251798791725,75,41602.0,41526.0,41730.0
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.04014284581014707,75,57146.0,57008.0,57600.0
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.03296877727835318,75,10234.0,10198.0,10278.0
