Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0017030063684475814,75,12.109866666666667,12.103866666666669,12.116266666666666
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.018434517067177022,75,14.359199999999998,14.282531333333333,14.437068000000005
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.08999907119998617,75,12.835733333333334,12.490846000000001,13.173867333333334
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.009418495921380426,75,60.578266666666664,60.41133066666666,60.754934
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.0030629755793355287,75,39.3204,39.28599933333333,39.357734
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.002982781138948387,75,55.38626666666667,55.33973266666668,55.4384
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.009933772359032367,75,54.44693333333334,54.314665333333345,54.62973466666666
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.054793993209323835,75,615.2786666666667,604.2662866666667,624.14404
BenchmarkZapConsole,"(3, 5, 5)",0.014398955822247062,75,1680.32,1672.8799333333334,1687.5202
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.015188234775644679,75,502.10533333333336,499.91065333333324,504.45200666666665
BenchmarkZapJSONFloat32AndComplex64,"(3, 5, 5)",0.011985343039368808,75,797.9373333333334,795.04396,800.6774333333334
BenchmarkZapJSON,"(3, 5, 5)",0.010548683063516405,75,1212.4666666666667,1208.5599333333332,1216.2800666666667
BenchmarkStandardJSON,"(3, 5, 5)",0.01299101797746583,75,3687.9333333333334,3674.1196,3702.7601333333337
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.0038203243324288266,75,24.363733333333336,24.332932666666665,24.38853333333333
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.0016170839098599156,75,27.4676,27.455066000000002,27.48160066666667
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0012397744947857654,75,27.476800000000004,27.466666666666665,27.486799999999995
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.018848903026672015,75,28.21066666666667,28.099732666666668,28.39826733333333
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.010548113128650774,75,31.215999999999998,31.132665999999993,31.327868666666667
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.010755066635410296,75,31.2016,31.121333333333332,31.317736000000007
BenchmarkTeeCheck,"(3, 5, 5)",0.042519734860223986,75,760.3280000000001,751.2719666666667,770.0133800000001
BenchmarkWriter/single,"(3, 5, 5)",0.0078086616692890215,75,244.40400000000002,243.86399333333327,244.99599999999995
BenchmarkWriter/splits,"(3, 5, 5)",0.008372391306630993,75,284.2306666666667,283.5666533333333,284.9680133333334
