Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0010019928653220587,75,12.109866666666667,12.103866666666669,12.116134
BenchmarkBuffers/BytesBuffer,"(2, 3, 3)",0.020123100186103908,18,14.32888888888889,14.193333333333333,14.48611111111111
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.052779739892799195,75,12.835733333333334,12.492399333333333,13.17613333333333
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 2)",0.025383674377223994,6,59.94666666666666,59.20666666666667,60.725
BenchmarkMultiWriteSyncer/2_discarder,"(2, 4, 1)",0.005588879715483228,8,39.365,39.260000000000005,39.4825
BenchmarkMultiWriteSyncer/4_discarder,"(2, 2, 2)",0.005255909952179077,8,55.415,55.27499375,55.56750625
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(2, 4, 1)",0.0070899129874313505,8,54.3025,54.098743750000004,54.493756250000004
BenchmarkWriteSyncer/write_file_with_no_buffer,"(2, 4, 3)",0.0658279828967015,24,613.9166666666666,591.2791458333334,631.0751041666666
BenchmarkZapConsole,"(2, 2, 1)",0.04107115992176922,4,1661.75,1626.75,1695.0
BenchmarkJSONLogMarshalerFunc,"(2, 4, 1)",0.024762010566335833,8,506.325,499.7875,512.3753125
BenchmarkZapJSONFloat32AndComplex64,"(2, 3, 4)",0.01029319218223996,24,795.8375,791.7123541666666,800.0541874999998
BenchmarkZapJSON,"(3, 5, 5)",0.006323197888601624,75,1212.4666666666667,1208.76,1216.2800666666667
BenchmarkStandardJSON,"(2, 4, 2)",0.016912561367868655,16,3691.875,3665.061875,3727.5
BenchmarkSampler_Check/7_keys,"(2, 3, 2)",0.004544522654274822,12,24.388333333333332,24.334166666666672,24.445833333333336
BenchmarkSampler_Check/50_keys,"(1, 3, 3)",0.0017805114923923795,9,27.45777777777778,27.436666666666667,27.484444444444446
BenchmarkSampler_Check/100_keys,"(2, 3, 1)",0.002728926622195244,6,27.483333333333334,27.439999999999998,27.514999999999997
BenchmarkSampler_CheckWithHook/7_keys,"(2, 3, 2)",0.012335088445838149,12,28.171666666666667,28.069999999999997,28.419999999999998
BenchmarkSampler_CheckWithHook/50_keys,"(1, 4, 3)",0.012144477659744718,12,31.221666666666668,31.101662499999993,31.4858375
BenchmarkSampler_CheckWithHook/100_keys,"(2, 2, 2)",0.0016860698514652248,8,31.1375,31.1125,31.165
BenchmarkTeeCheck,"(2, 4, 3)",0.03457544867670873,24,751.2833333333333,739.5332291666666,765.5042708333333
BenchmarkWriter/single,"(3, 5, 5)",0.004729900765400135,75,244.40400000000002,243.8693266666666,245.01068666666666
BenchmarkWriter/splits,"(1, 4, 2)",0.005110352422907494,8,283.75,283.0,284.42499999999995
