Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.0010349573355352562,75,12.11,12.1,12.12
BenchmarkBuffers/BytesBuffer,"(3, 5, 5)",0.010888669487541832,75,14.18,14.14,14.65
BenchmarkBuffers/CustomBuffer,"(3, 5, 5)",0.048815946205571344,75,13.88,11.62,13.89
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(3, 5, 5)",0.005520928952726681,75,60.57,60.49,60.77
BenchmarkMultiWriteSyncer/2_discarder,"(3, 5, 5)",0.0017808021707792496,75,39.31,39.25,39.36
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.0017830140946877818,75,55.34,55.3,55.42
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(3, 5, 5)",0.00602138387927835,75,54.34,54.27,54.4
BenchmarkWriteSyncer/write_file_with_no_buffer,"(3, 5, 5)",0.031568573850391794,75,629.2,623.8,631.5
BenchmarkZapConsole,"(3, 5, 5)",0.008823028141101854,75,1682.0,1671.0,1694.0
BenchmarkJSONLogMarshalerFunc,"(3, 5, 5)",0.008901524188204203,75,503.0,497.7,505.9
BenchmarkZapJSONFloat32AndComplex64,"(3, 5, 5)",0.007177610818933255,75,798.6,793.0,802.9
BenchmarkZapJSON,"(3, 5, 5)",0.006342401758724967,75,1213.0,1207.0,1218.0
BenchmarkStandardJSON,"(3, 5, 5)",0.007658953467318501,75,3682.0,3666.0,3701.0
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.002243222541376057,75,24.37,24.34,24.4
BenchmarkSampler_Check/50_keys,"(3, 5, 5)",0.0009517115804806624,75,27.46,27.45,27.47
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0007523358815676557,75,27.47,27.46,27.49
BenchmarkSampler_CheckWithHook/7_keys,"(3, 5, 5)",0.010689877773822385,75,28.09,28.07,28.12
BenchmarkSampler_CheckWithHook/50_keys,"(3, 5, 5)",0.006227365263045023,75,31.11,31.1,31.13
BenchmarkSampler_CheckWithHook/100_keys,"(3, 5, 5)",0.006338904960891491,75,31.11,31.1,31.14
BenchmarkTeeCheck,"(3, 5, 5)",0.025396699141420943,75,749.3,739.1945000000001,764.2
BenchmarkWriter/single,"(3, 5, 5)",0.004694016393442525,75,244.0,243.3,244.9
BenchmarkWriter/splits,"(3, 5, 5)",0.004927197931358752,75,283.6,282.9,284.4
