Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.04036365858572453,75,498003.0,497339.0,502213.0
BenchmarkParseTextGzip,"(3, 5, 5)",0.02932807273908098,75,558416.0,557356.0,559531.0
BenchmarkParseProto,"(3, 5, 5)",0.05139917845107953,75,136409.0,136173.0,137168.0
BenchmarkParseProtoGzip,"(3, 5, 5)",0.06929401469904167,75,179150.0,178636.0,179711.0
BenchmarkParseProtoMap,"(3, 5, 5)",0.04106842663540339,75,143298.0,143040.92,143724.0
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.0482580113856187,75,6031.0,6019.0,6046.0
BenchmarkOpenMetricsCreate,"(3, 5, 5)",0.045767763157894895,75,6080.0,6072.0,6091.0
BenchmarkCreate,"(3, 5, 5)",0.04609848377161814,75,5628.0,5613.0,5641.0
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.08086679795194984,75,253.9,251.6,260.0
BenchmarkTextParse,"(3, 5, 5)",0.05804964100029854,75,161885.0,161698.0,162439.0
BenchmarkParseError,"(3, 5, 5)",0.03598385673534897,75,51299.0,51242.0,51488.0
BenchmarkLabelNames,"(3, 5, 5)",0.056586250722126134,75,230.8,230.6,231.9
BenchmarkLabelValues,"(3, 5, 5)",0.04440385674931096,75,229.9,229.7,230.4
BenchmarkMetric,"(3, 5, 5)",0.04501020349670381,75,1163.0,1160.0,1166.0
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.029497801316000532,75,2.077,2.075,2.078
BenchmarkLabelToSignatureSingle,"(3, 5, 5)",0.057966091954023406,75,116.0,115.8,116.4
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.046470564005069895,75,210.4,210.1,211.0
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.04198063503561483,75,276.1,275.4,277.1
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.017898988860325583,75,1.945,1.943,1.946
BenchmarkMetricToFingerprintSingle,"(3, 5, 5)",0.07564049467932175,75,115.9,115.6,116.7
BenchmarkMetricToFingerprintDouble,"(3, 5, 5)",0.02683900031837001,75,209.4,209.1,209.6
BenchmarkMetricToFingerprintTriple,"(3, 5, 5)",0.03872435710819994,75,274.8,274.6,275.8
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.05442510030492665,75,2.077,2.076,2.079
BenchmarkMetricToFastFingerprintSingle,"(3, 5, 5)",0.044352684723212264,75,56.12,56.05,56.27
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.05168678678678664,75,84.36,84.22,84.64
BenchmarkMetricToFastFingerprintTriple,"(3, 5, 5)",0.047260557053009834,75,111.3,111.2,111.7
BenchmarkEmptyLabelSignature,"(3, 5, 5)",0.3183708879184861,75,2.29e-05,2.1e-05,2.62e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(3, 5, 5)",0.04825935908954678,75,111.3,111.2,111.5
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.011611701454775426,75,105.4,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc4,"(3, 5, 5)",0.011966065781151171,75,105.4,105.3,105.4
BenchmarkMetricToFastFingerprintTripleConc8,"(3, 5, 5)",0.011717963314357857,75,105.4,105.3,105.4
