Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(3, 5, 5)",0.011124069042657673,75,560684.48,557630.1842,564093.8070666667
BenchmarkParseTextGzip,"(2, 2, 4)",0.033292204013470196,16,636571.9375,627191.184375,648423.36625
BenchmarkParseProto,"(1, 3, 4)",0.014350254497618594,12,159890.16666666666,158885.07333333333,161104.84083333335
BenchmarkParseProtoGzip,"(1, 3, 2)",0.03145560022504485,6,223659.16666666666,220527.16666666666,227492.66666666666
BenchmarkParseProtoMap,"(3, 5, 5)",0.014821011080400659,75,170149.08,168956.01633333333,171465.00393333333
BenchmarkDiscriminatorHTTPHeader,"(3, 5, 5)",0.012297090179849403,75,7107.426666666666,7065.5456,7152.6015333333335
BenchmarkOpenMetricsCreate,"(1, 4, 3)",0.004551400996627351,12,7140.75,7124.582916666666,7157.58375
BenchmarkCreate,"(3, 5, 5)",0.002335472201291609,75,6759.546666666667,6752.319866666667,6768.066733333333
BenchmarkCreateBuildInfo,"(3, 5, 5)",0.006732885856110095,75,322.59866666666665,321.5293333333334,323.69205999999997
BenchmarkTextParse,"(1, 3, 3)",0.006406312234801483,9,199457.44444444444,198767.5311111111,200013.78222222222
BenchmarkParseError,"(3, 5, 5)",0.008942554980286213,75,57536.986666666664,57305.213,57827.672333333336
BenchmarkLabelNames,"(1, 3, 1)",0.025846595668301983,3,278.56666666666666,275.5,282.7
BenchmarkLabelValues,"(2, 3, 1)",0.035618606916707256,6,273.73333333333335,268.8664166666666,278.6166666666666
BenchmarkMetric,"(2, 2, 4)",0.008249690636601128,16,1363.6875,1357.9996875,1369.0
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0005836204671205547,75,2.3759733333333326,2.375293333333333,2.3766800000000003
BenchmarkLabelToSignatureSingle,"(1, 3, 1)",0.02624495289367433,3,148.6,147.0,150.9
BenchmarkLabelToSignatureDouble,"(1, 3, 4)",0.007596391874936401,12,245.74166666666667,244.89166666666674,246.74166666666667
BenchmarkLabelToSignatureTriple,"(3, 5, 5)",0.003565244072990041,75,319.3853333333333,318.83866000000006,319.9746666666666
BenchmarkMetricToFingerprintScalar,"(2, 3, 2)",0.002442772152397509,12,2.115083333333333,2.1125000000000003,2.1175833333333336
BenchmarkMetricToFingerprintSingle,"(1, 3, 3)",0.005254466296351856,9,148.0222222222222,147.59994444444445,148.36666666666667
BenchmarkMetricToFingerprintDouble,"(2, 2, 2)",0.017547914032869795,8,247.1875,245.07500000000002,249.475
BenchmarkMetricToFingerprintTriple,"(1, 4, 1)",0.0036744586037057666,4,319.775,319.25,320.425
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0009437454702827239,75,2.557186666666667,2.5560265999999996,2.5585066666666663
BenchmarkMetricToFastFingerprintSingle,"(2, 2, 2)",0.010518292682926795,8,65.6,65.19375,65.88625
BenchmarkMetricToFastFingerprintDouble,"(3, 5, 5)",0.0027089472362808345,75,100.90266666666669,100.76266,101.03600666666668
BenchmarkMetricToFastFingerprintTriple,"(2, 2, 4)",0.004125219287848075,16,131.81875,131.53125,132.075
BenchmarkEmptyLabelSignature,"(1, 4, 2)",0.5842479536152793,8,3.665e-05,2.6187375e-05,4.720037499999994e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(2, 3, 4)",0.16651782515227517,24,139.54999999999998,130.78333333333333,151.3210208333333
BenchmarkMetricToFastFingerprintTripleConc2,"(1, 4, 1)",0.004339489353113544,4,99.09,98.86999999999999,99.30000000000001
BenchmarkMetricToFastFingerprintTripleConc4,"(2, 3, 1)",0.007701192812924472,6,99.34500000000001,99.03833333333334,99.77333333333335
BenchmarkMetricToFastFingerprintTripleConc8,"(1, 3, 2)",0.006337049455154956,6,99.41666666666667,99.07666666666665,99.71002499999999
