Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkParseText,"(1, 3, 3)",0.010476282307563967,9,553490.2222222222,551355.577109527,556927.3061439913
BenchmarkParseTextGzip,"(2, 3, 3)",0.05909012453687603,18,634246.0555555555,627016.5138330011,664140.8057360939
BenchmarkParseProto,"(2, 4, 2)",0.037626077296343034,16,163596.5,160695.7495516798,166952.74550999684
BenchmarkParseProtoGzip,"(1, 3, 4)",0.02202124974724509,12,222934.0,221243.13990099204,226292.22285190457
BenchmarkParseProtoMap,"(3, 5, 5)",0.01607742546697052,75,170149.08,168920.32605823808,171674.81715759757
BenchmarkDiscriminatorHTTPHeader,"(2, 2, 2)",0.06725922006044428,8,7194.0,6932.343716237521,7419.707740143767
BenchmarkOpenMetricsCreate,"(2, 2, 4)",0.005373623667829403,16,7145.25,7132.223656467248,7170.522179031887
BenchmarkCreate,"(2, 2, 1)",23771.469435326093,4,6757.0,6722.067591681903,160630541.0420901
BenchmarkCreateBuildInfo,"(2, 3, 2)",0.025492837723451862,12,322.9,320.5521216900061,328.8761461185055
BenchmarkTextParse,"(2, 3, 4)",0.030688870120233067,24,202965.125,200424.85732630416,206582.3488524314
BenchmarkParseError,"(1, 4, 4)",0.019269877392670238,16,57595.5625,57277.648209662286,58320.61452988133
BenchmarkLabelNames,"(3, 5, 5)",0.009533063142290655,75,279.4893333333333,278.3040245383849,280.986238365134
BenchmarkLabelValues,"(3, 5, 5)",0.009577959532137864,75,271.3733333333334,270.20490799428046,272.95686161290354
BenchmarkMetric,"(2, 4, 1)",0.03120826483076412,8,1357.375,1346.9145943319747,1390.6437424716262
BenchmarkLabelToSignatureScalar,"(3, 5, 5)",0.0006288121640403154,75,2.3759733333333326,2.375329432995677,2.3768044217678637
BenchmarkLabelToSignatureSingle,"(2, 4, 1)",0.03645846714084461,8,149.60000000000002,146.50980478427635,151.76475386027553
BenchmarkLabelToSignatureDouble,"(3, 5, 5)",0.005201891680009775,75,246.4546666666666,245.89186439273996,247.14344801698255
BenchmarkLabelToSignatureTriple,"(2, 2, 3)",0.017465206640981102,12,320.325,317.75331222936944,323.25854189236327
BenchmarkMetricToFingerprintScalar,"(3, 5, 5)",0.0011341377351916763,75,2.115053333333333,2.1138851149651576,2.1163002874541768
BenchmarkMetricToFingerprintSingle,"(1, 3, 3)",0.008073336606033304,9,148.0222222222222,147.21516930934212,148.43114484446303
BenchmarkMetricToFingerprintDouble,"(2, 4, 1)",0.026424231347638126,8,247.025,244.50960797473027,251.30207830059308
BenchmarkMetricToFingerprintTriple,"(2, 4, 1)",0.006704808679051486,8,319.22499999999997,318.47635354271836,320.5494345827871
BenchmarkMetricToFastFingerprintScalar,"(3, 5, 5)",0.0010290849546064104,75,2.557186666666667,2.556125415511425,2.5588526228897717
BenchmarkMetricToFastFingerprintSingle,"(2, 3, 4)",0.00973132736430246,24,65.64083333333333,65.24475819390612,65.87319448880966
BenchmarkMetricToFastFingerprintDouble,"(1, 4, 4)",0.00801090676442496,16,100.8375,100.34937343060217,101.13149468372322
BenchmarkMetricToFastFingerprintTriple,"(1, 4, 2)",350.10894199970323,8,131.875,130.43851744081002,132.19360532597793
BenchmarkEmptyLabelSignature,"(2, 2, 1)",3.3950659166724555,4,4.1475000000000005e-05,-8.720610376796637e-05,5.360425512602375e-05
BenchmarkMetricToFastFingerprintTripleConc1,"(1, 3, 4)",13.60827494340517,12,148.3,127.85007245086273,2201.5178909253705
BenchmarkMetricToFastFingerprintTripleConc2,"(3, 5, 5)",0.0023672009796140573,75,99.24093333333334,99.14669485610342,99.38555934776078
BenchmarkMetricToFastFingerprintTripleConc4,"(2, 3, 4)",0.0036474971907446835,24,99.18958333333335,99.07430191142276,99.44151176157118
BenchmarkMetricToFastFingerprintTripleConc8,"(2, 2, 1)",368.2721931239492,4,99.6275,-36590.08708392626,99.95083652999298
