Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
BenchmarkScanComments/10ValidUtf8,0,0.0,0.0,0.0
BenchmarkScanComments/1kValidUtf8,0,0.0,0.0,0.0
BenchmarkScanComments/1MValidUtf8,72,0.0004694473084172801,16916899.47810267,-17186323.63790608
BenchmarkScanComments/10Valid,51,0.001251246159793193,0.0021218127886598512,0.0003661240140200738
BenchmarkScanComments/1kValid,63,0.001354974692800783,0.0048781079336073134,-0.000935086116821541
BenchmarkScanComments/1MValid,67,0.001026644017567022,0.002641625629219023,0.0001814854036474697
BenchmarkParseLiteralStringValid/1MValid,59,-0.00017423494171956696,0.0006907746733862271,-0.0017579294871490742
BenchmarkParseLiteralStringValid/10ValidUtf8,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/1kValidUtf8,0,0.0,0.0,0.0
BenchmarkParseLiteralStringValid/1MValidUtf8,66,0.00011948593108889565,0.0037540441827213127,-0.0013667011229666357
BenchmarkParseLiteralStringValid/10Valid,69,-0.0031829950503396934,-0.0007334782106881166,-0.008045857944424657
BenchmarkParseLiteralStringValid/1kValid,0,0.0,0.0,0.0
BenchmarkParseBasicStringWithUnicode/4,63,0.00012952442205301634,0.0023681019225047597,-0.0005325262333912487
BenchmarkParseBasicStringWithUnicode/8,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/1,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/4,71,0.0013797219795331067,136.61290606065103,-136.9943598831949
BenchmarkParseBasicStringsEasy/8,0,0.0,0.0,0.0
BenchmarkParseBasicStringsEasy/16,59,0.00031068373342678325,0.0004486961588111295,3.0035785817557116e-05
BenchmarkParseBasicStringsEasy/21,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/config,67,0.0012483928751003087,0.010389016704773468,7.403603337554778e-05
BenchmarkUnmarshalDataset/canada,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/citm_catalog,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/twitter,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/code,0,0.0,0.0,0.0
BenchmarkUnmarshalDataset/example,59,0.0030402042336797105,0.011872818698756414,-0.0027863197192604695
BenchmarkUnmarshal/SimpleDocument/struct,59,-0.0008529524442868356,-0.0015564265708029063,-0.0016015580714837678
BenchmarkUnmarshal/SimpleDocument/map,51,-0.0007852911438607529,-0.00104602560546421,-0.0011013671660476505
BenchmarkUnmarshal/ReferenceFile/struct,67,-0.0003308002513060217,0.004098498828916963,-0.007109230789192499
BenchmarkUnmarshal/ReferenceFile/map,0,0.0,0.0,0.0
BenchmarkUnmarshal/HugoFrontMatter,69,0.0041299338927865735,0.009362763082523446,-0.001273166459271968
BenchmarkMarshal/SimpleDocument/struct,0,0.0,0.0,0.0
BenchmarkMarshal/SimpleDocument/map,0,0.0,0.0,0.0
BenchmarkMarshal/ReferenceFile/struct,57,0.00711011434660283,0.0258192780764703,0.002665897251517459
BenchmarkMarshal/ReferenceFile/map,67,-0.0024825879548410873,0.0008969264242432919,-0.0065653288822102585
BenchmarkMarshal/HugoFrontMatter,0,0.0,0.0,0.0
