Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/10ValidUtf8,"(2, 4, 3)",0.0028677643573380997,24,21.94,21.89,22.005000000000003
BenchmarkScanComments/1kValidUtf8,"(3, 5, 5)",0.0009140285279045768,75,2407.0,2406.0,2408.0
BenchmarkScanComments/1MValidUtf8,"(1, 3, 2)",0.004018466142354255,6,2366782.0,2358663.0,2372602.0
BenchmarkScanComments/10Valid,"(2, 3, 3)",0.007139871248223385,18,33.225,33.02,33.34
BenchmarkScanComments/1kValid,"(2, 2, 2)",0.00730605738575983,8,2823.0,2804.0,2831.5
BenchmarkScanComments/1MValid,"(2, 3, 3)",0.004241847054555104,18,2861488.0,2853126.0,2871992.0
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.002111970843846513,75,35.67,35.62,35.7
BenchmarkParseLiteralStringValid/1kValid,"(3, 5, 5)",0.0015417958656329402,75,3096.0,3093.0,3098.0
BenchmarkParseLiteralStringValid/1MValid,"(3, 5, 5)",0.0021118473978781445,75,3161721.0,3158484.0,3165613.0
BenchmarkParseLiteralStringValid/10ValidUtf8,"(1, 3, 4)",0.004071544895995352,12,22.515,22.455,22.57004999999999
BenchmarkParseLiteralStringValid/1kValidUtf8,"(2, 2, 1)",0.003282724661469019,4,2437.0,2429.0,2439.0
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0016427448782554196,75,2478371.0,2476004.0,2480326.0
BenchmarkParseBasicStringWithUnicode/4,"(2, 2, 4)",0.004094970218398449,16,151.1,150.7,151.3
BenchmarkParseBasicStringWithUnicode/8,"(2, 4, 1)",0.008561552843928455,8,254.05,253.35,256.45000000000005
BenchmarkParseBasicStringsEasy/1,"(1, 3, 4)",0.0022573962925585824,12,9.413499999999999,9.3975,9.426
BenchmarkParseBasicStringsEasy/4,"(2, 2, 1)",0.0004943968358602693,4,15.17,15.17,15.18
BenchmarkParseBasicStringsEasy/8,"(2, 2, 2)",0.004554287102258926,8,20.585,20.54,20.665
BenchmarkParseBasicStringsEasy/16,"(2, 3, 2)",0.0020576131687243112,12,33.614999999999995,33.595,33.67
BenchmarkParseBasicStringsEasy/21,"(3, 5, 5)",0.0012553080750095174,75,43.55,43.52,43.57
BenchmarkUnmarshalDataset/config,"(1, 3, 2)",0.008864884572890223,6,26313879.0,26110480.0,26426839.0
BenchmarkUnmarshalDataset/canada,"(2, 4, 3)",0.00909459960143092,24,124643991.5,123911704.7925,125412427.18999994
BenchmarkUnmarshalDataset/citm_catalog,"(2, 3, 2)",0.02793393539232387,12,41754878.5,40859889.0,42496322.5
BenchmarkUnmarshalDataset/twitter,"(2, 4, 4)",0.015426059404384533,32,15966241.5,15734741.0,16072001.0
BenchmarkUnmarshalDataset/code,"(1, 3, 1)",0.008973862308050156,3,114341848.0,113492542.0,114518630.0
BenchmarkUnmarshalDataset/example,"(2, 3, 2)",0.008122217410808237,12,192828.5,192308.0,194545.0
BenchmarkUnmarshal/SimpleDocument/struct,"(2, 4, 1)",0.01267452894130393,8,737.7,729.14925,741.8
BenchmarkUnmarshal/SimpleDocument/map,"(3, 5, 5)",0.003644970297029706,75,1010.0,1008.0,1012.0
BenchmarkUnmarshal/ReferenceFile/struct,"(2, 3, 4)",0.005774889234056176,24,56011.5,55816.0,56232.0125
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.003473324459474221,75,83391.0,83179.0,83625.0
BenchmarkUnmarshal/HugoFrontMatter,"(2, 2, 2)",0.011983645187287612,8,14269.5,14126.5,14347.5
BenchmarkMarshal/SimpleDocument/struct,"(1, 3, 4)",0.008995315450109032,12,467.85,465.6,469.05
BenchmarkMarshal/SimpleDocument/map,"(2, 3, 3)",0.0074322370191012965,18,660.8,657.4000000000001,664.05
BenchmarkMarshal/ReferenceFile/struct,"(3, 5, 5)",0.0037038866136672936,75,41510.0,41419.0,41632.0
BenchmarkMarshal/ReferenceFile/map,"(3, 5, 5)",0.00323321850603005,75,54865.0,54786.0,55010.0
BenchmarkMarshal/HugoFrontMatter,"(3, 5, 5)",0.005211318446008033,75,9807.0,9773.0,9834.0
