Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkScanComments/1MValidUtf8,"(2, 4, 2)",0.0010088296947152308,16,2317997.5625,2316600.73875,2319530.9509375
BenchmarkScanComments/10Valid,"(2, 2, 1)",0.0018483774273902963,4,32.0925,32.0425,32.165
BenchmarkScanComments/1kValid,"(2, 4, 1)",0.0025677956711666165,8,2749.875,2745.25,2757.5
BenchmarkScanComments/1MValid,"(3, 5, 5)",0.0011515580618746484,75,2802484.9066666667,2801558.5598,2803475.9781333334
BenchmarkScanComments/10ValidUtf8,"(3, 5, 5)",0.001292213219862556,75,21.26253333333333,21.25426666666667,21.270933999999997
BenchmarkScanComments/1kValidUtf8,"(2, 4, 3)",0.0010200617155028096,24,2310.6666666666665,2309.583125,2311.9583333333335
BenchmarkParseLiteralStringValid/10Valid,"(3, 5, 5)",0.022129938305868666,75,32.68666666666666,32.56839933333334,32.95800733333332
BenchmarkParseLiteralStringValid/1kValid,"(2, 3, 1)",0.0010416959635556585,6,2752.6666666666665,2749.3333333333335,2755.1666666666665
BenchmarkParseLiteralStringValid/1MValid,"(2, 2, 3)",0.0011706769024380263,12,2805192.3333333335,2802958.2845833334,2807734.4216666664
BenchmarkParseLiteralStringValid/10ValidUtf8,"(2, 3, 3)",0.0037741129120410846,18,22.45777777777778,22.407222222222224,22.512777777777774
BenchmarkParseLiteralStringValid/1kValidUtf8,"(3, 5, 5)",0.002909757884792697,75,2296.7066666666665,2294.733333333333,2298.6800666666663
BenchmarkParseLiteralStringValid/1MValidUtf8,"(3, 5, 5)",0.0022131567690219394,75,2339048.56,2337809.9945333335,2340832.525933333
BenchmarkParseBasicStringWithUnicode/4,"(1, 3, 2)",0.002552572443755973,6,157.38333333333333,157.01666666666665,157.8
BenchmarkParseBasicStringWithUnicode/8,"(2, 3, 4)",0.0031597532551835466,24,254.11666666666667,253.6875,254.5166875
BenchmarkParseBasicStringsEasy/1,"(3, 5, 5)",0.0016046402584934535,75,9.27228,9.267893266666666,9.276613333333334
BenchmarkParseBasicStringsEasy/4,"(2, 4, 1)",0.01195346993623351,8,14.63375,14.55,14.830006249999999
BenchmarkParseBasicStringsEasy/8,"(3, 5, 5)",0.0026214519993417135,75,18.413733333333337,18.402533333333338,18.430800666666666
BenchmarkParseBasicStringsEasy/16,"(1, 4, 1)",0.0008148668472332421,4,30.06,30.029999999999998,30.08
BenchmarkParseBasicStringsEasy/21,"(1, 3, 3)",0.0008313032755437564,9,38.04,38.01333333333333,38.06777777777777
BenchmarkUnmarshalDataset/config,"(2, 4, 4)",0.0036983389344929507,32,26331603.0,26288116.83796875,26376477.3403125
BenchmarkUnmarshalDataset/canada,"(2, 2, 2)",0.005215410590578632,8,124690986.125,124153916.824375,125288016.315625
BenchmarkUnmarshalDataset/citm_catalog,"(3, 5, 5)",0.014156629372056096,75,41758305.06666667,41588072.02993333,41935586.9702
BenchmarkUnmarshalDataset/twitter,"(3, 5, 5)",0.017264475521366195,75,15929108.346666666,15850191.204866666,16017620.920266666
BenchmarkUnmarshalDataset/code,"(1, 4, 2)",0.002541214147441977,8,114337844.875,114102070.0,114607479.875
BenchmarkUnmarshalDataset/example,"(2, 3, 1)",0.00932120794303604,6,193998.0,192094.5,195841.0
BenchmarkUnmarshal/SimpleDocument/struct,"(1, 3, 3)",0.009503947414503106,9,737.1111111111111,730.9333333333334,742.5667222222221
BenchmarkUnmarshal/SimpleDocument/map,"(1, 3, 4)",0.008733957350208415,12,1009.6750000000001,1002.3000000000002,1015.3333333333334
BenchmarkUnmarshal/ReferenceFile/struct,"(2, 4, 4)",0.004090015292274855,32,56237.0,56130.6246875,56339.90671875
BenchmarkUnmarshal/ReferenceFile/map,"(3, 5, 5)",0.0055220562884642724,75,83383.17333333334,83257.95946666667,83528.65406666667
BenchmarkUnmarshal/HugoFrontMatter,"(3, 5, 5)",0.007833800631781884,75,14237.853333333333,14207.359666666667,14274.347066666667
BenchmarkMarshal/SimpleDocument/struct,"(3, 5, 5)",0.004276874006404774,75,466.82,466.2426533333333,467.4226733333335
BenchmarkMarshal/SimpleDocument/map,"(3, 5, 5)",0.005074119692178852,75,660.4106666666667,659.4426666666668,661.4253333333332
BenchmarkMarshal/ReferenceFile/struct,"(2, 3, 3)",0.00614824782495472,18,41502.444444444445,41339.60111111111,41648.11305555555
BenchmarkMarshal/ReferenceFile/map,"(1, 4, 2)",0.005243051065349827,8,54978.125,54748.999375,55261.50625
BenchmarkMarshal/HugoFrontMatter,"(2, 2, 2)",0.005444590461450976,8,9756.5,9714.125,9808.25
