Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
BenchmarkBuffers/ByteSlice,"(3, 5, 5)",0.001927907284184558,75,12.102933333333334,12.093733333333335,12.117200666666667
BenchmarkBuffers/BytesBuffer,"(2, 2, 3)",0.04175711184736652,12,14.588333333333331,14.326666666666668,14.935
BenchmarkBuffers/CustomBuffer,"(2, 3, 4)",0.09010295582862839,24,12.545833333333334,11.981250000000001,13.192504166666668
BenchmarkBufferedWriteSyncer/write_file_with_buffer,"(1, 3, 3)",0.02001862128039928,9,59.66888888888889,59.15111111111111,60.353333333333325
BenchmarkMultiWriteSyncer/2_discarder,"(1, 3, 1)",0.004058510188551533,3,39.423333333333325,39.35,39.51
BenchmarkMultiWriteSyncer/4_discarder,"(3, 5, 5)",0.001974892328930473,75,55.632400000000004,55.57706600000001,55.688268666666666
BenchmarkMultiWriteSyncer/4_discarder_with_buffer,"(2, 4, 1)",0.01154068083331411,8,53.94125,53.62624375,54.2375
BenchmarkWriteSyncer/write_file_with_no_buffer,"(1, 3, 4)",0.01273851822608228,12,633.2500000000001,628.966625,636.9500833333334
BenchmarkZapConsole,"(2, 3, 1)",0.030110775427995926,6,1655.0,1630.6633333333334,1680.1666666666667
BenchmarkJSONLogMarshalerFunc,"(2, 3, 1)",0.035815143360244356,6,501.65000000000003,492.43333333333334,509.9833333333333
BenchmarkZapJSON,"(1, 3, 2)",0.012637586628618018,6,1226.5,1218.3333333333333,1234.3333333333333
BenchmarkStandardJSON,"(2, 2, 3)",0.025652193445495186,12,3709.9166666666665,3660.165833333333,3756.3341666666665
BenchmarkSampler_Check/7_keys,"(3, 5, 5)",0.001001562219331419,75,24.49506666666667,24.484399333333332,24.509334
BenchmarkSampler_Check/50_keys,"(2, 3, 3)",0.0012728301276869617,18,27.49777777777778,27.480555555555558,27.516111111111112
BenchmarkSampler_Check/100_keys,"(3, 5, 5)",0.0005669538586783697,75,27.515466666666665,27.507866000000003,27.523333333333333
BenchmarkSampler_CheckWithHook/7_keys,"(2, 3, 4)",0.002004900868790326,24,28.056249999999995,28.028333333333336,28.08458333333333
BenchmarkSampler_CheckWithHook/50_keys,"(2, 3, 4)",0.01136665021278857,24,31.232083333333332,31.089583333333334,31.445006249999995
BenchmarkSampler_CheckWithHook/100_keys,"(1, 3, 2)",0.0023039005572226493,6,31.106666666666666,31.068333333333328,31.138333333333332
BenchmarkTeeCheck,"(3, 5, 5)",0.015509841261749943,75,732.3586666666666,727.2626533333334,738.6880066666666
BenchmarkWriter/single,"(1, 3, 1)",0.003187674325939858,3,250.9666666666667,250.5,251.30000000000004
BenchmarkWriter/splits,"(1, 4, 4)",0.017766928465293954,16,294.4375,292.43121874999997,297.71878125
