Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib#,"(5, 100)",0.0722579751490111,500,32.55998740463963,31.474583906643538,33.835298210714534
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#,"(5, 100)",0.07536640941445308,500,7.9758663975703605,7.6905524424774665,8.310653706642485
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline#,"(5, 100)",0.0501887272606194,500,38.608628286630776,37.776003273515904,39.75842025567949
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#,"(5, 100)",0.06744121551347484,500,829170.5046019907,800898.5280828093,857883.4504279587
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.016408350021131647,500,5.144069435176193,5.106888786877652,5.191937652328994
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool#,"(5, 100)",0.07678418258101923,500,6687062.719496794,6458765.289143472,6975171.465978357
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized#,"(5, 100)",0.06602513205884349,500,833002.499447653,808877.3123698109,863477.588404782
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist#,"(5, 100)",0.06289956094841569,500,40.790764265195044,39.61669222598248,42.189775532684905
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.06226355159476628,500,724418.0970274336,703459.6579817993,748317.2991330501
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 100)",0.08631908467484715,500,8.131821686440217,7.826244520600201,8.52832519049942
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.0608197464495045,500,12.747433989263463,12.408407146995893,13.176138498260073
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool#,"(5, 100)",0.07836385384139125,500,6648616.090623309,6430307.028965301,6943477.754912082
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist#,"(5, 100)",0.09076491880809244,500,1392829.5953353788,1333120.067612047,1461796.4119091826
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool#,"(5, 100)",0.0685744900034172,500,3889868.6356315534,3774680.1373521946,4038342.5713093905
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool#,"(5, 100)",0.06522787621997447,500,1088595.0212688784,1056840.6436184056,1128420.911702628
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib#,"(5, 100)",0.023373459817095,500,1184095.5984754616,1170877.7190584277,1197706.5423536955
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.01324627853031253,500,1203707.7194928722,1195833.146727442,1211703.8275382416
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix#,"(5, 100)",0.06719915001932596,500,954269.0033665242,925910.4902069451,990386.1426780256
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool#,"(5, 100)",0.06764593640362318,500,3991523.0238771266,3870711.981856622,4140926.1610149965
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy#,"(5, 100)",0.07622508389549475,500,164258.02241990084,158715.73054354536,171418.86067698424
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#,"(5, 100)",0.06980855596963008,500,8.3798204705881,8.114535223985097,8.681856817251612
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool#,"(5, 100)",0.0663920231794362,500,1066520.7738990765,1034952.9124542575,1105598.805388148
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool#,"(5, 100)",0.058807996785249214,500,961487.3090081968,935830.0961920894,993612.7269312005
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.07884582636338108,500,5869629.778655019,5668543.878982285,6129506.895307752
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy#,"(5, 100)",0.08826372738255055,500,8.324187051616802,8.00763441117268,8.733833469062445
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator#,"(5, 100)",0.06754772191142606,500,959794.1380422543,930836.4198087006,995818.6031673178
byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline#,"(5, 100)",0.07598427625195063,500,43.05360995815114,41.54667710218908,44.869794573530676
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 100)",0.07066238778869731,500,2590336.1774967043,2507806.0649959333,2691038.989227489
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.baseline#,"(5, 100)",0.015037582597744499,500,5.132434013818649,5.098674184822402,5.175469762200507
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy#,"(5, 100)",0.019975552871586776,500,114765.43516359049,113706.5942761592,115978.62614479299
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator#,"(5, 100)",0.07792926835594435,500,5827996.054169261,5637191.331388109,6090851.394743026
byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor#,"(5, 100)",0.056476630422332655,500,33.31711653939505,32.437430956859366,34.359743837963315
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist#,"(5, 100)",0.07120557144141679,500,17.50211640641296,16.924644916168308,18.174157669929876
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator#,"(5, 100)",0.06809143670250507,500,2576556.833791611,2497694.188882062,2672180.0599320615
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline#,"(5, 100)",0.014361769653071012,500,34.50332818974764,34.27563224550953,34.761424492731095
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib#,"(5, 100)",0.016607017478580868,500,1651470.82250554,1639288.0088332905,1666829.6043658645
byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib#,"(5, 100)",0.01621024074898248,500,5.914631056714435,5.8740070041639765,5.970080021148654
byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist#,"(5, 100)",0.023445543850451396,500,841167.7447032066,832147.4955276146,851811.427981529
byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist#,"(5, 100)",0.026751466892672826,500,239172.77810840454,236038.4042066329,242432.21789235182
