Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jctools#org.jctools.jmh.collections.SetOps.remove#keyBound=2048&occupancy=512&size=1024&type=org.jctools.sets.OpenHashSet,"(5, 100)",0.01685004271541862,500,40.81171240991793,40.519157735424955,41.189954180469044
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs#limit=1,"(5, 100)",0.0722771106567483,500,159.3458329589772,153.62890626260636,165.11271919592318
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg#limit=128000,"(5, 100)",0.06601948749975568,500,2457.240910222568,2377.3803370025976,2538.4072870838154
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=SpscArrayQueue,"(5, 100)",0.008593745956283622,500,1221.3179656684251,1216.1259138695514,1226.580675430047
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=MpscArrayQueue,"(5, 100)",0.023421565055539363,500,5540.881789929658,5471.866153167126,5602.780319776175
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=1,"(5, 100)",0.011326947419373836,500,39.826903383616944,39.61894990726112,40.08313684096819
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=SpscArrayQueue,"(5, 100)",0.00792081778337195,500,2.01249742502093,2.005811248920642,2.021591304253585
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=MpmcArrayQueue,"(5, 100)",0.015011689455452417,500,15143.923010028459,15018.2849152628,15243.431410057272
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=10000,"(5, 100)",0.037958533826505075,500,3232.5680474848236,3180.2001391909153,3301.060523793245
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=SpscArrayQueue,"(5, 100)",0.0025581936841196653,500,448.0718985914746,447.5246239940335,448.68539663812
jctools#org.jctools.jmh.throughput.channels.ChannelThroughputBackoffNone.tpt#capacity=132000&type=Spsc,"(5, 100)",0.049765936472894026,500,52.464743677502284,51.140692582817614,53.830252657099116
jctools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,"(5, 100)",0.01757226665050008,500,2598.6771246773583,2576.3602896086486,2622.3584216720114
jctools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,"(5, 100)",0.014773446564514625,500,38.66003468205763,38.40587585346248,39.004017843508635
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=SpmcArrayQueue,"(5, 100)",0.03465097012048847,500,155.51035553226245,152.86024937131663,158.18965848227637
jctools#org.jctools.jmh.throughput.channels.SpscChannelThroughputTest.backoffOneNano#capacity=32000,"(5, 100)",0.05051161989422173,500,45.694496498681495,44.65453722530336,46.90431895243004
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline#limit=1,"(5, 100)",0.009968365676003921,500,37.67374100850945,37.49969411035305,37.87366971114386
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=SpscArrayQueue,"(5, 100)",0.017461117699343942,500,6751.088075438179,6692.56207543704,6810.833173574512
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=SpscArrayQueue,"(5, 100)",0.010027930747524219,500,1283.0930925188436,1276.4901086611205,1289.4433115880065
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs#limit=10000,"(5, 100)",0.04301277054134509,500,3245.2700079051538,3182.140542486049,3326.268545646923
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=10000,"(5, 100)",0.010799671323730196,500,39.70977345563425,39.51480494681225,39.95196379769984
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=MpscArrayQueue,"(5, 100)",0.002945241765254237,500,470.43991851174644,469.74518584641635,471.13897726857465
jctools#org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove#implementation=NonBlockingHashMap&readRatio=50&tableSize=100000,"(5, 100)",0.015137617828816707,500,233.15211965345324,231.72494368264603,235.28694756747157
jctools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=MpmcArrayQueue,"(5, 100)",0.013915601987832796,500,14080.975987793612,13971.770020858727,14171.061967093421
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs#limit=128000,"(5, 100)",0.11738021967370524,500,364.87679759716553,349.7810373420016,392.7155698256255
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=1,"(5, 100)",0.012136543132917888,500,41.37002322729482,41.15335779313113,41.63440709630009
jctools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=MpmcArrayQueue,"(5, 100)",0.0011172050199161584,500,13.04239615169647,13.03577942504909,13.050156639022104
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.cr#qCapacity=132000&qType=MpmcArrayQueue,"(5, 100)",0.06387626032245898,500,142.07723839018504,137.49344118576954,146.5874929716705
jctools#org.jctools.jmh.counters.CountersBenchmark.rw#stripes=0,"(5, 100)",0.010088628482300861,500,127.58815832796405,127.0317021214098,128.32987004310917
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline#limit=128000,"(5, 100)",0.008089526499496763,500,39.517799947215345,39.37523666743477,39.68426559869637
jctools#org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop#qType=MpmcArrayQueue,"(5, 100)",0.007577320744989396,500,15.503574249468961,15.445239048083883,15.56152177830909
jctools#org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr#qCapacity=132000&qType=SpscArrayQueue,"(5, 100)",0.023575460324516635,500,45.146398507075745,44.62225327522207,45.701972020710016
jctools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs#limit=128000,"(5, 100)",0.19046757578823104,500,300.6688091914919,279.1465500513049,336.5410975159312
jctools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qType=MpscArrayQueue,"(5, 100)",0.02674810398134002,500,5329.671703116287,5256.131449147536,5396.972165506391
jctools#org.jctools.jmh.latency.spsc.RingCqBurstRoundTripWithGroups.ring#,"(5, 100)",0.008590627259415496,500,338.2926702238019,336.87350980611023,339.789169898109
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline#limit=10000,"(5, 100)",0.008490641805503792,500,37.17486064306105,37.02546737788904,37.337674359811395
jctools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs#limit=1,"(5, 100)",0.056199119220001384,500,2535.916633072005,2473.2409608190274,2614.087202498239
