Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jenetics#io.jenetics.util.ThreadIDPerf.getThreadId#,497,0.2484360205545106,3446486.988281244,-7006858.0189539045
jenetics#io.jenetics.util.SeqPerf.array_set#,497,2.299148237556502,1.8489493916239124e+16,-1.9377993911028904e+16
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort160#,497,-0.016002024789193492,128995465.57549329,-99426635.67478007
jenetics#io.jenetics.util.SeqPerf.arrayList_contains#,497,0.08221642194150446,84366.88488814166,-138401.96213113383
jenetics#io.jenetics.util.SeqPerf.array_forLoop#,497,9.795118650097647,541701.1141332722,-2361659.01889143
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80#,497,0.23725870167488416,89961.70334667015,-129197.79348352554
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20#,497,0.3030885733717501,200641171644881.66,-3614177.76022544
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10#,497,0.2129651634311212,54048580028511.58,-1662900.3261375814
jenetics#io.jenetics.util.SeqPerf.array_get#,497,9.472764132141759,417253.80517409527,-1630684.9432643966
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40#,497,0.18609071972683391,2533716.885790678,-2984880.349343778
jenetics#io.jenetics.util.SeqPerf.arrayList_forLoop#,497,0.10643291400767368,19197.794815452922,-38092.494260465355
jenetics#io.jenetics.util.SeqPerf.mseq_set#,497,7.177247968823186,812443.4239912411,-3136096.2679456575
jenetics#io.jenetics.util.SeqPerf.mseq_contains#,497,0.05660283315994828,3644857644922.55,-1091598.3818892557
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160#,497,0.14510324418811363,509944.16198692535,-739760.3975723591
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort250#,497,0.04038745009958019,62075599.746844575,-53447576.67643151
jenetics#io.jenetics.util.SeqPerf.arrayList_set#,497,7.290104877781282,875285.4968298057,-3129153.8604076137
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort250#,497,-0.011144517345953356,225327647.74949604,-344152011.25730574
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40#,497,0.1306661854119173,145108625700281.97,-1742117.0558147142
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250#,497,0.1185567216470224,227830836610644.0,-192289766041700.62
jenetics#io.jenetics.util.SeqPerf.arrayList_forEachLoop#,497,0.08448778871317113,13109.69476890527,-25353.335215824973
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort160#,497,0.054502778370516,840309639262.6959,-97689389.65806828
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15#,497,0.15727835686804595,163116067175060.78,-4103748.143224558
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort320#,497,-0.03545105464838689,656488230.0418761,-37075971032721.336
jenetics#io.jenetics.internal.util.IndexSorterPerf.insertionSort80#,497,0.0823904429728675,4211779.962790283,-3601295.013921106
jenetics#io.jenetics.util.SeqPerf.mseq_forLoop#,497,0.15186463622710572,38527.74498848581,-296183794011571.6
jenetics#io.jenetics.util.SeqPerf.array_copy#,497,4.584214394921594,56515.118195418036,-48761.62562506346
jenetics#io.jenetics.util.SeqPerf.arrayList_copy#,497,7.045453081742996,650191.366084478,-1727808.1797375088
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250#,497,0.1979729722268791,2038322.7235207192,-3250724.6145093245
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort320#,497,0.06973043908805918,9915194745223.582,-44909788.62785256
jenetics#io.jenetics.util.SeqPerf.mseq_get#,497,0.10427724426120459,18796.858331458374,-36984.417428671164
jenetics#io.jenetics.util.SeqPerf.mseq_copy#,497,12.081764741480896,12752285.420149282,-58538111.73180215
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160#,497,0.1209172650677439,108390087872926.44,-2812862.905909868
jenetics#io.jenetics.internal.util.IndexSorterPerf.heapSort80#,497,0.04262523298226503,1991977072739.2078,-4011549.99253224
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80#,497,0.21002392209353196,5243694.313068876,-531869464093203.7
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15#,497,0.06861119713005548,857044.9826961765,-183787157929040.03
jenetics#io.jenetics.util.ThreadIDPerf.getThread#,497,0.11881853957856077,1085587.6043151892,-1365715.1292034774
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10#,497,0.13088448040887035,59889366223026.91,-852952.1869928992
jenetics#io.jenetics.util.SeqPerf.arrayList_get#,497,0.05892132958582493,5913.580668689213,-11422.700712063684
jenetics#io.jenetics.util.SeqPerf.mseq_forEachLoop#,497,0.12023955290799071,28282.04536305493,-55870.622032761305
jenetics#io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20#,497,0.11702171090543304,167575926625423.1,-2710314.111145613
