Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.compiler.InnerClassNullRef.refIsNull#,"(1, 3)",17576298952302.094,3,31.99028790019418,-4728517.333046299,562270858975508.0
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.tasks.PrimesFilter.t100.Bulk.bulk_seq_inner#,"(1, 3)",1615450459915.5312,3,1062557013.3333334,-1.1443388105828073e+21,5.721694052929994e+20
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.AllMatch.par_invoke#size=100000,"(1, 3)",117378062108.84908,3,330912.5481278331,-2.30041818865982e+16,1.5837691740148106e+16
jmh-jdk-microbenchmarks#org.openjdk.bench.java.util.stream.ops.ref.Filter.seq_chain_123#size=100000,"(1, 3)",457795573503038.6,3,1058884.3416968554,-1.652591346502303e+17,4.845873053458492e+20
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.chain.ChainAnonymCap4.call4#,"(1, 3)",17019955.112846974,3,50.4115570728435,-569599740.1197875,288402698.4287324
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnReference.test_1_Convert#,"(1, 3)",50375297.912459716,3,65.55029432088668,-2159764042.5033054,1142351562.1607769
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.KeyPairGeneratorBench.generateKeyPair#algorithm=DiffieHellman&keyLength=2048,"(1, 3)",62950685166556.48,3,5908291.488628264,-3.71711983275873e+20,2.190140970101239e+17
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringIndexOf.advancedWithShortSub1#,"(1, 3)",5285243.333774147,3,1005.7516719976707,-3288702778.91413,2026939540.943761
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testSinglePutShort#size=1000,"(1, 3)",111200298.39083473,3,1102.9874026391224,-42322477877.09207,80330050417.71011
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.StringUpperLower.upperToUpper#,"(1, 3)",15117165.677406682,3,153.49304256324226,-1439525297.7383924,880854457.0193764
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.ArrayCopyAligned.testInt#length=5,"(1, 3)",143688.0365543074,3,39.87545830350614,-3650672.057851894,2078954.2524820569
jmh-jdk-microbenchmarks#org.openjdk.bench.javax.crypto.full.SignatureBench.verify#algorithm=SHA256withDSA&dataSize=1024&keyLength=1024,"(1, 3)",1424558138.009188,3,559409.3336696393,-488596988044010.75,308314130713371.1
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lang.Throw.throwWith32Frames#,"(1, 3)",607280604065.6289,3,5708.759630621763,-139641141193.78696,3466679355808266.5
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.LookupDefaultFind.testStaticGetter#,"(1, 3)",888829089854371.0,3,1252.2222461522558,-1.1130113616001021e+18,197742803398.86545
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testDirectSinglePutByte#size=100000,"(1, 3)",66556389567636.63,3,1838.5534175769196,-52504189585.90127,1.2236742499696958e+17
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function0.mrefL_L#,"(1, 3)",4530471.907082397,3,41.36683140456052,-117711839.93887615,69699427.62449916
jmh-jdk-microbenchmarks#org.openjdk.bench.java.lang.invoke.MethodHandleConvertReturnPrimitive.test_3_Call#,"(1, 3)",3302752621990012.0,3,97.33092412370983,-3.2145995919358637e+17,5656707226.408772
jmh-jdk-microbenchmarks#org.openjdk.bench.vm.lambda.invoke.Function0.mref_bndL_I#,"(1, 3)",15374913.420449976,3,52.95819546603715,-517946875.31400496,296280794.87958264
jmh-jdk-microbenchmarks#org.openjdk.bench.java.nio.ByteBuffers.testDirectSingleGetFloat#size=10,"(1, 3)",227373767599596.47,3,1513.8573446768594,-3.442113976898067e+17,50377691699.71687
