Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(1, 3)",0.03111662111037126,3,235055.11508590257,232153.0318382524,239467.15279443515
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(1, 3)",0.10732863324723979,3,125337.01796256752,119639.95204986817,133092.20288307528
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(1, 3)",0.08886736865713872,3,1188488.5333333334,1121505.2570145903,1227123.1056511058
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(1, 3)",0.125154861174746,3,26887006.31578948,25370624.0,28735663.54285715
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(1, 3)",0.14064933631210208,3,5837133.395348838,5630343.191011237,6451332.129032259
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(1, 3)",0.23985773121741527,3,10779438.795698926,8346692.266666668,10932224.0
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(1, 3)",0.04545738336670342,3,34989444.4137931,33509649.066666663,35100177.655172415
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(1, 3)",0.3335330952171448,3,40936.4015843505,37843.26462726464,51496.90935474509
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(1, 3)",0.21794729795178988,3,9259.309553950405,8429.605445773577,10447.64694395626
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(1, 3)",0.14919452573898484,3,42241.87711396278,42176.42910387296,48478.68592621511
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(1, 3)",1.995306777817108,3,103.9329289190486,83.0758440257174,290.4539215362788
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(1, 3)",0.07207731911543162,3,26069.47990839059,24508.27205702847,26387.290279558867
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(1, 3)",1.3348479943027811,3,215.808253721934,102.09494222803578,390.1661568627451
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(1, 3)",0.22007326144647596,3,1878365.0037453184,1777380.2628774422,2190758.1754385964
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(1, 3)",0.03365012708586548,3,169438646.8571429,167138645.33333337,172840277.3333333
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(1, 3)",0.027704146111731682,3,347290.8817802503,345184.77401520393,354806.1713473161
rxjava#io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableDedicated#count=100000,"(1, 3)",0.07019300129565358,3,9460523.471698117,9457277.584905658,10121340.121212125
rxjava#io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain#count=10,"(1, 3)",1.3249888192907602,3,375.6442681963184,246.04709119288876,743.7715465836703
rxjava#io.reactivex.BinaryFlatMapPerf.maybeFlatMapHideObservable#times=1000,"(1, 3)",0.023815956689786928,3,11054.1407052986,10841.359267541451,11104.624203821655
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100000&maxConcurrency=1&work=10,"(1, 3)",0.009575923392612857,3,6132072448.000001,6123683840.0,6182404096.0
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(1, 3)",0.11008405632584672,3,107767398.4,101266227.2,113129699.55555557
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(1, 3)",1.3749122602926054,3,111.29258855302795,105.59638156951571,258.6139260507743
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(1, 3)",1.302732652416379,3,1334.2991888953927,1294.453478523896,3032.688599990614
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(1, 3)",1.437919344082785,3,95.6939174819226,82.63669229594176,220.23682735426007
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(1, 3)",0.6869853049307018,3,1911.3138067931184,1306.100745962784,2619.1452443408148
