Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
rxjava#io.reactivex.XMapYPerf.flowFlatMapFlowable1#times=10000,"(5, 100)",0.0013918309598394717,500,227840.05838084378,227684.5568466621,228386.39389536215
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=1000,"(5, 100)",0.006466392983212634,500,105739.95470420152,105638.11988582303,105875.47737628483
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=10000,"(5, 100)",0.01969405773829375,500,912424.6423357665,910962.6497632059,913552.9497716896
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=32&work=100,"(5, 100)",0.023922854220175874,500,24871311.609756105,24736643.121951215,24996663.296
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=100&maxConcurrency=1&work=100,"(5, 100)",0.029970637840839993,500,5899998.870588236,5858046.502923978,5936921.75147929
rxjava#io.reactivex.FlattenCrossMapPerf.observable#times=1000,"(5, 100)",0.003750341486244306,500,8256360.918032786,8253540.721311474,8263223.008264462
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10000&maxConcurrency=8&work=1000,"(5, 100)",0.03329872606449457,500,27229322.378378384,27052198.05405405,27466673.40108108
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=10&maxConcurrency=8&work=1000,"(5, 100)",0.04208905860116581,500,39246.98399949047,39009.01131392367,39725.65961218017
rxjava#io.reactivex.xmapz.ObservableSwitchMapSinglePerf.observablePlain#count=100,"(5, 100)",0.007975820784944732,500,8168.942263550627,8145.602686412763,8177.097838845882
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1&maxConcurrency=8&work=100,"(5, 100)",0.045244539509710587,500,51849.83879299776,51440.96466174061,52215.09212399677
rxjava#io.reactivex.XMapYPerf.flowFlatMapCompletable0#times=1000000,"(5, 100)",0.010239567233384723,500,92513000.72727272,92298519.27272728,92655988.36363636
rxjava#io.reactivex.ReducePerf.obsSingle#times=1,"(5, 100)",0.018830311221025665,500,62.90531986100993,62.67362563637082,63.17289940828404
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybe0#times=10,"(5, 100)",0.03202140003476664,500,1248.495041163137,1242.8057733567389,1257.8911864787049
rxjava#io.reactivex.ReducePerf.flowSingle#times=1,"(5, 100)",0.019891082256861654,500,61.176334315482194,60.92722958233608,61.44478093016173
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable#items=10&maxConcurrency=1,"(5, 100)",0.02002656163048192,500,1212.2637886144594,1208.1134396045366,1232.7392000569657
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain#count=100,"(5, 100)",0.003152418288128549,500,3874.9214578721812,3870.8003081189354,3891.160036081993
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=1000&count=10000&parallelism=4,"(5, 100)",0.2863141104620271,500,63886904.8888889,57893774.222222224,68017892.01066662
rxjava#io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000&maxConcurrency=8&work=100,"(5, 100)",0.016268232571816366,500,2492022.7431421448,2484117.2803970226,2499450.9056
rxjava#io.reactivex.parallel.ParallelPerf.flatMap#compute=100&count=10000&parallelism=3,"(5, 100)",0.030365769496204252,500,227907993.6,226439987.2,229533286.40000007
rxjava#io.reactivex.xmapz.ObservableConcatMapMaybePerf.observablePlain#count=1000000,"(5, 100)",0.012433436532507626,500,63232000.0,62990325.76,63633408.0
rxjava#io.reactivex.BlockingPerf.flowableBlockingLast#times=1,"(5, 100)",0.011735468725395722,500,74.7569294097299,74.55524295082927,74.96030936140502
rxjava#io.reactivex.XMapYPerf.flowFlatMapIterable1#times=1000,"(5, 100)",0.007982451174088709,500,19476.67222662587,19451.74943052815,19502.52237819341
rxjava#io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert#count=1,"(5, 100)",0.017380173863469735,500,90.15441663937344,89.8312699338112,90.47779337739276
rxjava#io.reactivex.XMapYPerf.obsFlatMapMaybeAsObs1#times=10000,"(5, 100)",0.006280399688113085,500,1758110.8189806677,1755933.6421052632,1759696.847941781
rxjava#io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap#items=1000000&maxConcurrency=32,"(5, 100)",0.017014304619068624,500,129998848.0,129351680.0,131072000.0
rxjava#io.reactivex.xmapz.ObservableFlatMapCompletablePerf.observablePlain#count=100000,"(5, 100)",0.00028294241660495236,500,344558.3387374957,344543.6910344828,344590.038145853
